,0
"Arnold, Tedd ",5220
" Arnold, Tedd (ILT)",5220
"Stewart, Melissa ",4324
"Blewett, Ashlee Brown ",2645
"Halls, Kelly Milner ",1666
"Patterson, James ",1649
"Newman, Aline Alexander ",1555
" Ledwidge, Michael ",1289
"Long, Ethan ",1216
" Long, Ethan (ILT)",1216
"Flounders, Anne ",1138
" Rockwell, Lizzy (ILT)",1115
"Rockwell, Lizzy ",1115
"Knudsen, Michelle ",1075
" Cocca-Leffler, Maryann (ILT)",1075
"Bosch, Pseudonymous ",1034
" Sims, Blanche (ILT)",989
"Jackson, Ellen ",826
"Burlingame, Jeff ",815
"Torres, John Albert ",744
" Avillez, Joana (ILT)",624
"Dunham, Lena ",624
" Reynolds, Peter H. (ILT)",592
"McDonald, Megan ",592
"Rappoport, Ken ",465
"Miller, Ron ",407
"Jance, Judith A. ",400
"Friedman, Laurie B. ",399
"Montgomery, L. M. ",388
" Schmitz, Tamara (ILT)",380
"May, Eleanor ",376
" Wummer, Amy (ILT)",375
"Gitlin, Marty ",369
" Grabenstein, Chris ",360
" Neufeld, Juliana (ILT)",360
"Shalvis, Jill ",341
"Hills, Tad ",323
"Schmidt, Tiffany ",297
"Bohjalian, Christopher A. ",281
" Harasimowicz, Ellen (PHT)",279
"Griffin Burns, Loree ",279
" Wallace, Amy ",277
"Catmull, Ed ",277
"Woelfle, Gretchen ",276
" Delinois, Alix (ILT)",276
"Coble, Colleen ",273
"Lewis, Beverly ",266
"Howell, Brian ",256
"Richard, Laurent ",238
" Ryser, Nicolas (ILT)",238
"Temple, Peter ",237
"Rowell, Rainbow ",235
"Fishman, Jon M. ",214
"Wingard-Nelson, Rebecca ",214
" LaBaff, Tom (ILT)",214
"Mischel, Walter ",211
"Gaynor, Hazel ",210
"Corris, Peter ",207
"Fleming, Candace ",204
"Hale, Shannon ",204
"Miranda, Megan ",202
"Fuhrman, Joel ",198
"Knight, Michelle ",192
"Donoghue, Emma ",192
" Burford, Michelle ",192
"McCreely, Havelock ",190
"Wilner, Barry ",185
"Cline-Ransome, Lesa ",179
" Ransome, James E. (ILT)",179
"Thomson, Jamie ",175
"Green, Tim ",169
"Johansen, Iris ",169
"Alberto, Daisy ",169
"Morgan, Kass ",164
"Higgins, Nadia ",163
"Doeden, Matt ",161
Walter Foster Creative Team ,160
 Elyum Studio (ILT),155
"Sands, Lynsay ",150
"McCarty, Monica ",142
"Doescher, Ian ",136
"Crownover, Jay ",132
" Page, Tyler (ILT)",131
"Robbins, Trina ",131
"Nix, Garth ",125
" Williams, Sean ",125
" Nez, John (ILT)",125
"Savage, Jeff ",124
"Lawlor, Laurie ",123
" Beingessner, Laura (ILT)",123
"Bass, Jefferson ",122
" Dibley, Glin (ILT)",122
"Raczka, Robert ",122
" Fortnum, Peggy (ILT)",122
"Bond, Michael ",122
"Northup, Solomon ",121
"Willson, Sarah ",120
"Leaf, Christina ",119
"Roberts, Robin ",119
"McIntosh, Fiona ",118
"Long, Jeffrey ",116
" Perry, Paul ",116
"Kuklin, Susan ",113
"Ryan, R. C. ",111
" Kubley, Ashley Newsome (ILT)",110
" Johansen, Roy ",107
"Maxwell, John ",104
"Rader-Day, Lori ",102
"Bredeson, Carmen ",99
"Nguyen, Andrea ",97
"Boothroyd, Jennifer ",96
"Jackson, Donna M. ",95
"Schwartz, Heather E. ",93
"Perish, Patrick ",90
"Snicket, Lemony ",89
"Kraatz, Jeramey ",88
"Castillo, Linda ",86
"Ladd, Sarah ",86
" Degen, Bruce (ILT)",86
"Degen, Bruce ",86
"Meyer, Joyce ",85
"Wojton, Djuna ",84
"Bellisario, Gina ",82
"Sandberg, Sheryl ",82
"Johnston, E. K. ",81
"Taraborrelli, J. Randy ",81
"Wells, Robison ",80
"MacFarlane, Seth ",80
" Serritella, Francesca ",78
"Scottoline, Lisa ",78
"Morell, Sally Fallon ",76
"Behrens, Rebecca ",76
" Daniel, Kaayla T. ",76
"Laurens, Stephanie ",75
"Gulley, Philip ",74
" Lapadula, Tom (ILT)",74
" Shelly, Jeff (ILT)",74
"Flint, Shamini ",72
" Cuddy, Robin (ILT)",71
"Owings, Lisa ",70
"Coel, Margaret ",70
"Mayne, Andrew ",69
Fodor's Travel Guides (COR),69
"McPhail, David ",68
"Banks, Maya ",68
" McPhail, David (ILT)",68
"Burke, James Lee ",67
"McCully, Emily Arnold ",67
" McCully, Emily Arnold (ILT)",67
"Grahame-Smith, Seth ",66
"Porter, Steve ",66
"James, Elliott ",64
"Hoblin, Paul ",64
"Farquhar, Michael ",63
"Rusch, Elizabeth ",63
"Williams, Tad ",63
" Lawrence, Mike (ILT)",63
"Lee, Jade ",62
"Crim, Carla Hegeman ",62
"Huffington, Arianna ",62
"Cabrera, Jane ",61
" Cabrera, Jane (ILT)",61
"Newman, Patricia ",60
" Evans, Shane W. (ILT)",60
"Pinkney, Andrea Davis ",60
"Cervantes Saavedra, Miguel de ",59
"Turnage, Sheila ",59
"Hunt, Laird ",59
"Adler, David A. ",58
"Cabot, Laurie ",58
"Young, Sarah ",58
"Salas, Laura Purdie ",57
"Goff, Bob ",57
" Dabija, Violeta (ILT)",57
"Dinardo, Jeff ",56
"Greer, Judy ",55
"Meader, Kate ",54
"Berger, Marcia Naomi ",54
"Bennett, Sam ",53
"Austen, Jane ",53
"Warren, Rachel Meltzer ",53
"Kontzias, Bill ",52
" Kontzias, Bill (PHT)",52
"Amidon Lusted, Marcia ",52
"Braithwaite, E. R. ",51
" Foreman, Michael (ILT)",50
"Foreman, Michael ",50
"Beddoe, Noel ",50
"Freeman, Brian ",50
"Halvorson, Heidi Grant ",50
" Weber, Jill (ILT)",49
" Ritz, David (CON)",49
"Aretha, David ",49
"Chesterton, G. K. ",49
"Smiley, Tavis ",49
"Kenney, Karen Latchana ",48
" Coffey, Wayne (CON)",48
"Junor, Penny ",48
" Corbett, Sue (CON)",48
"Rivera, Mariano ",48
"Swarup, Vikas ",48
"Schulman, Nev ",47
"Lewin, Ted ",47
" Lewin, Ted (ILT)",47
" Gaudin, Thierry ",46
"Yates, Maisey ",46
"Hart, Amber ",46
"Lyga, Barry ",46
"Cerami, Matteo ",46
" Cerami, Vincenzo ",46
" Kurilla, Renée (ILT)",45
