,0
" Henry, Steve (ILT)",5338
"Henry, Steve ",5338
" McCully, Emily Arnold (ILT)",4087
"McCully, Emily Arnold ",4087
" Gorbachev, Valeri (ILT)",3567
"Gorbachev, Valeri ",3567
" Lewin, Betsy (ILT)",3056
"Lewin, Betsy ",3056
" Hassett, Ann (ILT)",2984
" Hassett, John ",2984
" Hassett, John (ILT)",2984
"Hassett, Ann ",2984
"Alexander, Kwame ",1744
"Maas, Sarah J. ",1584
"Yancey, Rick ",1131
"Cass, Kiera ",973
" Calo, Marcos (ILT)",932
"Wells, Marcia ",932
"Fitzek, Sebastian ",898
" Mann, Jennifer K. (ILT)",853
"Shannon, George ",853
"Rush, Jennifer ",780
"Roth, Veronica ",775
"Grisham, John ",745
"Charbonneau, Joelle ",593
"Wiesner, David ",579
"Leckie, Ann ",540
" Zollars, Jaime ",506
"Milford, Kate ",506
" Stohl, Margaret ",504
"Garcia, Kami ",504
"Parker, Robert B. ",486
"O'Reilly, Bill ",448
" Dugard, Martin ",448
"Rey, H. A. ",399
"Peterson, Tracie ",396
"MacDonald, John D. ",346
" Koontz, Dean R. (INT)",346
"Davies, Jacqueline ",321
"Griffiths, Elly ",275
"Alexander, Tamera ",264
"Klassen, Julie ",250
"Maroh, Julie ",249
"Gross, Andrew ",246
"Bradley, Alan ",244
Better Homes and Gardens Books (COR),224
"Sullivan, Michael J. ",218
"Eason, Lynette ",201
"Thompson, Janice ",198
"Fisher, Suzanne Woods ",196
"Lamb, Wally ",190
"Wingate, Lisa ",190
"Wambaugh, Joseph ",188
"Bushkin, Henry ",180
" Dale, Steve (CON)",174
" Horwitz, Debra F. ",174
American College of Veterinary Behaviorists ,174
" Ciribassi, John (CON)",174
"Elliott, Rob ",168
"Van Dyken, Rachel ",161
"Doiron, Paul ",149
"Hagstrom, Robert ",146
"Armstrong, Cathleen ",146
"Connealy, Mary ",143
"Henderson, Dee ",143
"Schreiber, Joe ",138
"White, Beth ",134
"Baldwin, James ",134
"Robertson, Robin ",125
"Harkrader, Lisa ",121
" Scarlett, Sarah (CRT)",117
"Miodownik, Mark ",117
"Cooney, Ellen ",116
"Clark, Mindy Starns ",115
" Gould, Leslie ",115
"Swafford, Jan ",109
"O'Dea, Stephanie ",108
"Bonnett, Alastair ",105
"Crocker, Betty ",105
" Brann, Helen ",105
"Sternbergh, Adam ",102
"Kate, Lauren ",100
"Jans, Nick ",100
"Williamson, Marianne ",99
"Sigler, Scott ",99
"Cahill, Thomas ",94
"Conroy, Pat ",90
"Harper, Charise Mericle ",89
"Deering, Julianna ",89
"Breslin, Kate ",88
Countess of Carnarvon ,88
"Tyler, Alison ",88
"Chang, Jung ",88
"MacMillan, Margaret ",85
"James, Lorelei ",84
"Jennings, Regina ",83
"McCall Smith, Alexander ",81
" Woodhouse, Kimberley ",80
"Cabot, Amanda ",79
"Krieger, Ellie ",79
" Banks, Maya (FRW)",78
"Devlin, Delilah (EDT)",78
"Kirkman, Robert ",77
"Hahn, Rebecca ",77
"Vonnegut, Kurt ",75
" Sumner, Gregory D. (EDT)",75
" Rash, Andy (ILT)",71
"Racculia, Kate ",71
"Lightman, Alan ",71
"Miller, Judith ",69
"Lucier, Makiia ",68
"Brownley, Margaret ",65
Diabetic Living ,65
"Harris, Eve ",64
"Croggon, Alison ",64
"Smith, April ",64
"Lessman, Julie ",63
"Gutman, Dan ",62
"Michaels, Fern ",62
"Doctorow, E. L. ",62
"Reinfeld, Mark ",61
"Lagasse, Emeril ",60
"Park, Linda Sue ",60
" Phelan, Matt (ILT)",60
"Rogers, Adam ",60
" Jennings, Regina ",59
" Witemeyer, Karen ",59
" Cox, Carol ",59
"Lewisohn, Mark ",56
"Hatcher, Robin Lee ",56
"Howard, Clark ",55
" Meltzer, Mark ",55
LearningExpress (COR),55
"Chabon, Michael ",54
"Sundin, Sarah ",54
" Bloom, Claire ",54
"Bean, Kendra ",54
"Pilley, John W. ",54
" Hinzmann, Hilary ",54
"White, Roseanna M. ",54
"Bishop, Jim ",54
" Seaberg, Maureen Ann ",53
"Bauer, Shane ",53
"Seltzer, Neill ",53
" Shourd, Sarah ",53
"Padgett, Jason ",53
" Fattal, Joshua ",53
"Gould, Leslie ",53
"Nestor, James ",53
"Stanton, Hannah ",52
"Bradley, Patricia ",52
"Sendker, Jan-Philipp ",51
"Clopton, Debra ",51
"Lundquist, Jenny ",49
"Streep, Peg ",48
"Fossum, Karin ",48
" Bernstein, Alan ",48
"Zinczenko, David ",47
" Barton, Patrice ",45
"Cheng, Andrea ",45
"Fantaskey, Beth ",45
"Galdone, Paul ",45
"Seilstad, Lorna ",44
"Calvo, Janit ",44
" Christy, Jana (ILT)",43
"Coble, Colleen ",43
"Pinborough, Sarah ",43
"Thorpe, Kiki ",43
"McElroy, Ken ",42
"Swanson, James L. ",41
"Cohen, Deborah ",41
"Fenster, Carol ",40
"See, Lisa ",40
"Hodgson, Antonia ",40
"Levison, Clare K. ",40
"Longman, Tremper, III (EDT)",39
"Brunstetter, Wanda E. ",38
" Griffin, Pamela ",37
"Brand, Irene B. ",37
" Farrier, Nancy J. ",37
" Dykes, Kristy ",37
" Parsons, Mikeal (EDT)",37
" Talbert, Charles (EDT)",37
" Grote, Joann A. ",37
"Parsons, Mikeal C. ",37
"Long, Sylvia ",37
"Wolf, Naomi ",37
" Pammi, Tara ",36
" Fox, Louis (EDT)",36
"Birnbaum, Juliana (EDT)",36
" Milburne, Melanie ",36
"Barr, Luke ",36
"Northup, Solomon ",36
"Howell, Hannah ",36
"King, Laurie R. ",35
"Costigan, Fran ",35
"Coulter, Ann H. ",34
"Redman, Jason ",34
"Beaton, M. C. ",34
"Gantos, Jack ",34
"Austen, Jane ",34
"Simkin, Penny ",34
" Bruning, John ",34
"Shorto, Russell ",34
" Mann, David (ILT)",34
"Reffetto, Meri ",33
"Tizon, Alex ",33
"Schrag, Ariel ",32
"Alers, Rochelle ",32
"Nepo, Mark ",32
"Sasson, Jean ",32
"Mones, Nicole ",32
"Levine, Daniel ",32
" Muller, Wayne (FRW)",32
"Lewis, Beverly ",32
"Dekker, Ted ",31
"Gibbs, C. C. ",31
" Reid, Ruth ",31
"Schultz, Samuel J. ",30
"Wasson, Sam ",30
"Plame, Valerie ",30
" Lovett, Sarah ",30
"Morris, Gilbert ",30
"Orchard, Sandra ",29
"Bodden, Marlen Suyapa ",29
"Youssef, Michael ",29
"Yeung, Rob ",28
"Clines, Peter ",28
"De Sena, Joe ",28
" Johnson, Patricia ",27
"Allison, Shane (EDT)",27
" Wiseman, Beth ",27
"Rawlings, Deirdre ",27
"Bronte, Emily ",27
"Wright, Kristina (EDT)",27
"Axtell, Ruth ",27
" Michaels, Mark A. ",27
"Drabble, Margaret ",27
"Maynard, Janice ",26
"Bradley, Elizabeth H. ",26
" Fineberg, Harvey V. (FRW)",26
"Blue, Violet ",26
"Andrews, Donna ",26
" Bell, Anthea (TRN)",26
" Jeanroy, Amelia ",26
"Compestine, Ying ",26
"Zweig, Stefan ",26
"Tymony, Cy ",26
" Glickman, Charlie (FRW)",26
" Taylor, Lauren A. ",26
"Wasserman, Marni ",26
"Baker, Peter ",25
"Jenkins, Beverly ",25
"Carlson, Melody ",25
"Chomsky, Noam ",25
"Fossen, Delores ",25
"Carroll, James ",24
"Wesselhoeft, Conrad ",24
" Patel, Meera Lee (PHT)",24
"Caporimo, Alison ",24
"Calvino, Italo ",23
"Gefter, Amanda ",23
