,0
" Beavers, Ethen (ILT)",13004
"Buckley, Michael ",13004
" McCully, Emily Arnold (ILT)",2915
"McCully, Emily Arnold ",2903
"Janovitz, Marilyn ",2689
" Janovitz, Marilyn (ILT)",2689
"Peirce, Lincoln ",2531
"Sharmat, Marjorie Weinman ",2273
"Donnelly, Judy ",1750
"Giffin, Emily ",1211
" Weston, Martha (ILT)",1075
" Sharmat, Mitchell ",1075
"Belfoure, Charles ",841
" Goldstein, Ann (TRN)",826
"Ferrante, Elena ",826
"Lloyd, Natalie ",699
"Eggers, Dave ",678
"Belviso, Meg ",654
" Pollack, Pamela D. ",654
"Demuth, Patricia Brennan ",595
" Mantha, John (ILT)",544
" Tomkinson, Tim (ILT)",544
"Fabiny, Sarah ",495
" Hoare, Jerry (ILT)",495
"Berry, Steve ",486
"Tarshis, Lauren ",467
 Who Hq (COR),465
"Lord, Cynthia ",458
" Harrison, Nancy (ILT)",434
" Marchesi, Stephen (ILT)",415
"Day, Sylvia ",399
"Macomber, Debbie ",396
" Simont, Marc (ILT)",368
"Spinner, Stephanie ",364
" Groff, David (ILT)",364
" Mather, Daniel (ILT)",364
"Bader, Bonnie ",359
" Bennett, James (ILT)",355
" Mortimer, Lauren (ILT)",355
"McDonough, Yona Zeldis ",355
"Meadows, Daisy ",355
"Murakami, Haruki ",346
"Buckley Jr., James ",333
" Hammond, Ted (ILT)",328
Various ,287
"Bruchac, Joseph ",283
"Davis, Jim ",276
"Nielsen, Jennifer A. ",258
"Burrowes, Grace ",227
"Wingate, Lisa ",219
"Pavone, Chris ",215
" Squier, Robert (ILT)",200
"Herman, Gail ",200
"Bittman, Mark ",196
"Planet, Lonely ",195
"Biddulph, Steve ",185
"Kaku, Michio ",174
"Nesbø, Jo ",172
"Wiggs, Susan ",170
"Amato, Mary ",170
" Jenkins, Ward (ILT)",170
"Woods, Sherryl ",165
"Frost, Jo ",162
"Connelly, Michael ",159
Fodor's Travel Guides (COR),148
"Doescher, Ian ",144
"Rice, Anne ",140
"Martin, Paul ",139
"Eulberg, Elizabeth ",136
"Miles, Ellen ",130
" Meyers, Mark (ILT)",127
"Kelly, David A. ",127
"Elkeles, Simone ",124
"Offill, Jenny ",123
"Lupica, Mike ",122
Dover Publications (COR),115
"Alcott, Kate ",112
Princeton Review (COR),109
"Belfort, Jordan ",108
"Ashford, Jane ",108
"Walker, Martin ",107
"Messner, Kate ",101
"Ward, Jesmyn ",100
"Stanton, Angie ",97
"Stine, R. L. ",94
"Levingston, Steven ",93
"Sands, Lynsay ",91
"Walters, Minette ",91
"Elliott, Christopher ",89
"Carr, Robyn ",87
"Graham, Peter ",86
"Hellenga, Robert ",86
"Kaye, Laura ",85
"Ashley, Kristen ",84
"Murphy, Monica ",81
"Jacobs, Diane ",79
"Fitzhugh, Louise ",77
" Rowthorn, Chris ",76
" Holden, Trent ",76
" Bender, Andrew ",76
"Greiner, Lori ",76
"Wolff, Tracy ",76
" Crawford, Laura ",76
"Cuyler, Margery ",70
" Terry, Will (ILT)",70
"Moore, Lorrie ",69
"Ridgway, Christie ",69
"Bradford, Isabella ",69
"Hawking, Stephen W. ",68
"Perry, Douglas ",68
"Lidström, Clara ",68
"Neggers, Carla ",67
"Corey, James S. A. ",66
"Palmer, Diana ",66
" Gibbons, Gail (ILT)",66
"Gibbons, Gail ",66
"Pratchett, Terry ",65
"Durst, Sarah Beth ",64
"Beal, Susan ",63
" Molinari, Carlo (ILT)",62
"Forman, Deborah ",62
"Harness, Cheryl ",62
" Karlin, Adam ",61
" Benson, Sara ",61
" Skolnick, Adam ",61
" Balfour, Amy C ",61
"Heyer, Georgette ",60
"Gherman, Beverly ",60
"Reedy, Trent ",59
"Vermeulen, Kristy ",57
"Black, Cara ",57
" Van Lith, Dirk (FRW)",57
"Meier, Leslie ",57
"Benison, C. C. ",56
" Sharmat, Craig ",56
"O'Neal, Barbara ",55
" Hicks, Jerry ",55
"Freethy, Barbara ",55
"Hicks, Esther ",55
"Goodwin, Rosie ",55
" Stranahan, Susan Q. ",53
 Union of Concerned Scientists (COR),53
" Lyman, Edwin ",53
"Lochbaum, David ",53
"Standiford, Natalie ",53
"Arthur, Keri ",52
"Adler, David A. ",52
"Calhoun, Kenneth ",51
"Philbrick, W. R. ",51
" Foley, Tim (ILT)",51
" Andersen, Jessica ",50
" Monroe, Jill ",50
" Singh, Nalini ",50
"Showalter, Gena ",50
" O'Brien, John (ILT)",50
"Allen, Nancy ",49
"Milan, Courtney ",48
"Baca, Ricardo ",47
" Galloway, Lindsey ",47
"Dahl, Roald ",46
"Mikaelsen, Ben ",46
"Bommersbach, Jana ",46
"Vines, Matthew ",46
"Cottam, F. G. ",46
" Yesh, Jeff (ILT)",46
"Greene, Amy ",45
"Toye, Richard ",44
"Gribbin, John ",44
" Ringerud, Tanner ",43
"Sonheim, Steve ",43
" Sonheim, Carla ",43
"Jiang Stein, Deborah ",43
"Shepherd, Jack ",43
"Fonda, Jane ",43
"Liney, Peter ",42
"Hirsch, Edward ",41
"Hirsch, Jeff ",41
"Penzler, Otto (EDT)",40
"Martin, Felix ",40
"Walsh, Therese ",38
"Young, Samantha ",37
"Scott, Victoria ",37
"Goldstein, Rebecca ",37
"Dilloway, Margaret ",37
"Greenwood, Kerry ",36
"Mengestu, Dinaw ",36
"Child, Lincoln ",36
"Lauer, Rosalind ",36
"Tartt, Donna ",36
"Maitland, Barry ",36
"Hobb, Robin ",36
"Banks, Rosie ",36
"Bonner, Natalia ",35
"Buck, Pearl S. ",35
" Whiting, Kathleen ",35
"Calvino, Italo ",34
"Wodehouse, P. G. ",34
" Kawana, Masano (PHT)",34
"Davidson, Robyn ",34
"Chin, Katie ",34
" Workman, Katie (FRW)",34
"Holub, Joan ",34
" Jones, Chris (FRW)",33
"Brindle, Mark ",33
"Campbell, T. Colin ",33
"Nixon, Joan Lowery ",33
" Jacobson, Howard (CON)",33
" Day, S. J. ",33
