,0
" Helquist, Brett (ILT)",5364
"Snicket, Lemony ",5364
" Kupperman, Michael (ILT)",5364
"Christie, Agatha ",3286
"Dashner, James ",3107
"Osborne, Mary Pope ",1975
" Murdocca, Sal (ILT)",1975
"Moriarty, Liane ",1663
"Flynn, Gillian ",1507
" Gurney, John Steven (ILT)",1438
"Roy, Ron ",1438
"Child, Lee ",1070
"Van Draanen, Wendelin ",876
"Lore, Pittacus ",780
"Park, Barbara ",761
" Brunkus, Denise (ILT)",761
"Gutman, Dan ",755
" Paillot, Jim (ILT)",729
"Feehan, Christine ",729
"Kellerman, Jonathan ",697
"Carnegie, Dale ",696
"Gardner, Lisa ",681
"Oliver, Lauren ",631
"Perry, Anne ",627
"Sands, Lynsay ",593
"Lipsyte, Robert ",525
"McLain, Paula ",513
"Chbosky, Stephen ",494
"Auel, Jean M. ",486
"McCarthy, Cormac ",407
"Larson, Erik ",378
"Steel, Danielle ",321
"Ishiguro, Kazuo ",316
"Flynn, Vince ",314
"Cialdini, Robert B. ",300
"Kellerman, Faye ",287
"Scieszka, Jon ",283
"Kline, Christina Baker ",260
"Clare, Cassandra ",256
"Pierce, Tamora ",252
"Wilkerson, Isabel ",245
"Lehane, Dennis ",243
"Parker, Robert B. ",242
"Follett, Ken ",229
"Pirsig, Robert M. ",223
"MacLean, Sarah ",212
"Adams, Douglas ",210
"White, Kiersten ",208
"Slaughter, Karin ",208
"Nelsen, Jane ",206
"Kate, Lauren ",198
" Frantz, Jennifer ",196
"Martin, Charles ",191
"James, Eloisa ",184
"Garwood, Julie ",175
"Shusterman, Neal ",169
"Gaarder-Juntti, Oona ",165
"Bradley, Alan ",164
"Green, Jane ",160
"Hawk, Tony ",148
"Fisher, Carrie ",148
" Mortimer, Sean ",148
"O'Neal, Eilis ",146
"Woods, Stuart ",145
"Sheldon, Sidney ",144
"Castle, Richard ",142
"Lindsey, Johanna ",135
"Plaidy, Jean ",134
"Achor, Shawn ",134
" Erwin, Cheryl ",133
"Morton, Kate ",132
" Duffy, Roslyn Ann ",132
"Verdon, John ",128
"Kinsella, Sophie ",128
"Chopra, Deepak ",120
"Hunter, Erin ",119
" McLoughlin, Wayne (ILT)",119
"Manning, Peyton ",116
" Underwood, John ",116
" Peydirt, Inc. ",116
" Manning, Archie ",116
"Greenblatt, Joel ",115
"Han, Jenny ",113
" Zelinsky, Paul O. (ILT)",112
"Jenkins, Emily ",112
"Ephron, Nora ",112
"McMurtry, Larry ",111
"McCafferty, Megan ",110
"Bryson, Bill ",109
"Mayes, Frances ",108
"Kava, Alex ",107
"Newport, Cal ",102
"Crombie, Deborah ",101
"Laurens, Stephanie ",99
"Green, Tim ",98
"Lebovitz, David ",94
"Frank, Dorothea Benton ",94
"Gowda, Shilpi Somaya ",91
"Aron, Elaine N. ",90
"Orman, Suze ",90
"Wilde, Lori ",89
"Dunnett, Dorothy ",85
"Walker, Martin ",85
"Landy, Derek ",82
"Holub, Joan ",80
" Williams, Suzanne ",80
"Holm, Jennifer L. ",80
"Drehobl, John ",79
"Love, Patricia ",75
" Stosny, Steven ",75
"Katie, Byron ",74
"Todd, Charles ",74
" Mitchell, Steven ",72
"Genova, Lisa ",71
"Paget, Lou ",70
"Burke, James Lee ",70
"Frost, Jeaniene ",70
"Alvarez, Julia ",69
" Ross, Tony (ILT)",69
"Simon, Francesca ",69
"Hooper, Kay ",69
"Gundry, Steven R., M.D. ",68
"Henry, Sara J. ",68
"Pratchett, Terry ",68
"Heath, Lorraine ",67
"Mull, Brandon ",64
"Stevens, Taylor ",64
"Quindlen, Anna ",64
"Joyce, Brenda ",63
LA Leche League International (COR),63
"Unger, Lisa ",61
"Moody, Raymond A. ",60
"Beck, Martha Nibley ",60
"Rice, Luanne ",60
"Bach, David ",59
"Runkel, Hal Edward ",58
"Brockmann, Suzanne ",57
"Robinson, Peter ",57
"Wiseman, Rosalind ",55
"Slade, Arthur ",54
"Koontz, Dean R. ",53
" Myers, Christopher (ILT)",52
"Bragg, Rick ",52
"Lupton, Rosamund ",52
"Myers, Walter Dean ",52
"Stout, Martha, Ph.D. ",51
"Canada, Geoffrey ",51
"Gilmore, Susan Gregg ",51
"Novik, Naomi ",51
"Barks, Coleman ",50
"Sher, Barbara ",49
"Maynard, Joyce ",49
"McCrumb, Sharyn ",49
"Harvey, Steve ",49
"Sutton, Caroline ",48
"Long, Julie Anne ",48
"Standiford, Les ",48
"Yeager, Jeff ",47
"Franklin, Tom ",47
"Lippman, Laura ",47
"Shakespeare, William ",46
"Gruen, Sara ",43
"Rice, Condoleezza ",42
"Ferris, Aimee ",41
"Thor, Brad ",41
"Riley, James ",40
"McCaffrey, Anne ",40
" Escobar, Linda ",39
" Plec, Julie ",39
"Look, Lenore ",39
" Williamson, Kevin ",39
"Amen, Daniel G. ",39
"Smith, L. J. (CRT)",39
"Rosenthal, Amy Krouse ",39
"Couloumbis, Audrey ",37
" Pham, Leuyen (ILT)",37
"Hemphill, Stephanie ",36
"Hoffer, Eric ",36
"Krueger, William Kent ",36
"Bell, Ted ",36
"O'Reilly, Bill ",35
"Wiseman, Liz ",35
"Hart, Carolyn G. ",35
"Grimm, Jacob ",35
" Yorio, Kimberly ",35
" Grimm, Wilhelm ",35
" McKeown, Greg ",35
"Dutton, Judy ",35
"Cross, Donna Woolfolk ",35
"Friedman, Caitlin ",35
"Mosley, Walter ",35
"Farrington, Tim ",34
"Jordan, Sophie ",34
" Redding, Stan ",34
" Lott, Lynn ",34
"Abagnale, Frank W. ",34
"Bennett, Sara ",34
"Schwab, Charles ",34
"Brown, Sandra ",33
" Glenn, H. Stephen ",33
"Moran, Michelle ",32
"Brown, Rita Mae ",32
" Hogan, Chuck ",31
"Jance, Judith A. ",31
"Lipsky, David ",31
"Wallace, Benjamin ",31
"Ornish, Dean ",31
"Magoon, Kekla ",31
"Toro, Guillermo del ",31
" Mlodinow, Leonard ",30
" Salat, Harris ",30
"Shepherd, Margaret ",30
"Eichenwald, Kurt ",30
Dalai Lama XIV ,30
"Sholl, Jessie ",30
"Ono, Tadashi ",30
" Stril-Rever, Sofia ",30
"Hawking, Stephen W. ",30
"Opdyke, Jeff D. ",30
"Stout, Rex ",29
"Atlas, Nava ",29
" Kaplan, James ",28
" Hoffman, Michael (TRN)",28
"Weeks, Sarah ",28
"Stamm, Peter ",28
"Daheim, Mary ",28
"Lewis, Jerry ",28
"Godbersen, Anna ",28
"Elias, Jason ",27
"Fletcher, Donna ",27
"Gaiman, Neil (EDT)",27
"Strasser, Todd ",27
" Ketcham, Katherine ",27
" Sarrantonio, Al (EDT)",27
"Trout, Nick ",27
"Wooldridge, Jane ",26
"Yu, Charles ",26
"Weatherford, Jack ",26
"Grove, Andrew S. ",26
"Degroff, Dale ",26
" Bleiberg, Larry ",26
" Pease, Barbara ",25
"Nemethy, Judith, Ph.D. ",25
"McGilligan, Patrick ",25
"Karasyov, Carrie ",25
"Lindsay, Jeffry P. ",25
"Fitzpatrick, Becca ",25
"Pease, Allan ",25
" Kargman, Jill ",25
"Coates, Denise ",24
" Economides, Annette ",24
"Enoch, Suzanne ",24
"Cummings, Troy ",24
"Armstrong, Alan ",24
"Donnelly, Jennifer ",24
"Ward, Lauri ",24
"Tyson, Timothy B. ",24
"Raymond, Carole ",24
"Miéville, China ",24
"Economides, Steve ",24
"Eliot, Marc ",24
"Orloff, Judith ",24
"Carolla, Adam ",24
"Wellington, David ",24
"Casey, Susan ",23
"Heyer, Georgette ",23
" Roberts, David ",23
"Viesturs, Ed ",23
"Graham, Winston ",22
"Foley, Gaelen ",22
"Boyle, Elizabeth ",22
"Gerritsen, Tess ",22
"Dweck, Poopa ",22
"Destefano, Lauren ",22
"Strauss, William ",22
"Aron, Elisabeth A. ",22
"Morris, Edmund ",22
"Coulter, Ann H. ",22
" Howe, Neil ",22
"Ray, Rachael ",21
"Carroll, Andrew ",21
"Robison, John Elder ",21
"Daniel, Susanna ",21
"Dayton, Anne ",21
"Cornwell, Bernard ",21
"Albom, Mitch ",21
" Vanderbilt, May ",21
" Declaire, Joan ",20
"Hancock, Graham ",20
"Grossman, David ",20
"Smith, Jean ",20
"Dolnick, Edward ",20
Ikari Studio ,20
"Giff, Patricia Reilly ",20
"Kalotay, Daphne ",20
" Gottman, Julie Schwartz ",20
"Gottman, John ",20
" Cohen, Jessica (TRN)",20
"Kargman, Jill ",19
"Herman, Arthur ",19
"Whaley, John Corey ",19
"Talty, Stephan ",19
"Pearson, Ridley ",19
" Percival, Tom (ILT)",18
"Salvatore, R. A. ",18
"Birmingham, John ",18
"Fox, Emmet ",18
"Dyer, Wayne W. ",18
"Howard, Jonathan L. ",18
"Sanchez, Alex ",18
"Gibson, Rachel ",18
"Callen, Gayle ",18
"Ray, Robert J. ",17
"Kennedy, Kerry ",17
" Norris, Bret ",17
"Levine, Stephen ",17
"Dare, Lydia ",17
"Laskin, David ",17
"McPherson, Charlotte ",17
"Murphy, Shirley Rousseau ",17
"Lockhart, E. ",17
"McQuirter, Tracye Lynn ",16
"Shearer, Alistair ",16
"Sparks, Kerrelyn ",16
"Brown, Dale ",16
"Dobson, Linda ",16
"Crook, David ",16
" DeFelice, Jim ",16
"Moore, Jane ",16
"Wolff, Tobias ",16
"Lelyveld, Joseph ",16
"Masley, Steven ",15
" Zielinski, Joan M. ",15
"Gold, Lauramaery ",15
"Glass, Julia ",15
"Chiaverini, Jennifer ",15
"Finlay, Victoria ",15
"Sundem, Garth ",15
"Brown, Cupcake ",15
"Deaver, Jeffery ",15
"Sax, Leonard, M.D. ",15
"Winchester, Simon ",15
"Hoffman, Alice ",15
"Stein, Garth ",15
"Delderfield, R. F. ",14
"Blair, Clay ",14
"Rouse, Wade ",14
"Cooper, Susan ",14
" Gabel, Claudia ",14
"Olsen, Gregg ",14
"Curran, John ",14
"Tanner, Lian ",14
"MacKs, Jon ",14
" Lamont, Priscilla (ILT)",13
"Arana, Marie ",13
"Kloester, Jennifer ",13
"Veness, Susan ",13
" Clinton, Bill (FRW)",13
"Lagasse, Emeril ",13
"Lanier, Carlotta Walls ",13
"Alt, Carol ",13
"Vida, Vendela ",13
"Stauffacher, Sue ",13
"Viorst, Judith ",13
"Casey, Kathryn ",13
"Gordon, Thomas ",13
"Simner, Janni Lee ",13
People for the Ethical Treatment of Animals ,13
"Choquette, Sonia ",13
" Smith, Lane (ILT)",13
" Page, Lisa Frazier ",13
"Ware, Ciji ",13
"Ashworth, Adele ",13
" Gies, Frances ",13
"Dhami, Narinder ",13
"Gies, Joseph ",13
"Isaacs, Florence ",13
"Noonan, Peggy ",12
"Krishnamurti, Jiddu ",12
" Diclemente, Carlo C. ",12
" Lloyd, John ",12
"Gurganus, Allan ",12
"Kaeter, Margaret ",12
"Mistry, Rohinton ",12
"Topolnicki, Denise M. ",12
"Rakoff, David ",12
"Miles, Rosalind ",12
" Norcross, John C. ",12
"Black, Lisa ",12
"Hirsch, E. D. ",12
"Prochaska, James O. ",12
"Edlund, Matthew ",12
"Williams, Wendy ",11
"Ettus, Samantha ",11
"Bedell, Gene ",11
"Nepo, Mark ",11
"Mittelmark, Howard ",11
"Hager, Thomas ",11
"Lancaster, Mike A. ",11
"Halpern, Sue ",11
"Moore, Thomas ",11
" Newman, Sandra ",11
"Westerfeld, Scott ",11
"Aslan, Reza ",11
" Langheld, Jennifer ",11
" Isenberg, Nancy ",11
"Greaux, Jacquie Noelle ",11
"Goldstein, Joseph ",11
"Burstein, Andrew ",11
"Goodheart, Adam ",11
"Barnard, Neal D. ",11
" Roth, David ",11
" Fleming, Charles ",11
"Bohjalian, Christopher A. ",11
"Dully, Howard ",11
"Forester, Amanda ",11
" Thompson, Keith (ILT)",11
" Hunter, Karen ",11
"Pfeffer, Jeffrey ",10
"Indichova, Julia ",10
"Ranney, Karen ",10
"Harvey, Andrew ",10
"Thomas, Trisha R. ",10
"Iverson, Annemarie ",10
"Stern, Robin ",10
