,0
"Russell, Rachel Renee ",9325
" Russell, Rachel Renee (ILT)",9308
"Kirby, Stan ",6922
" O'Connor, George (ILT)",6922
" Blecha, Aaron (ILT)",5218
"Ocean, Davy ",5218
"Rissi, Anica Mrose ",4652
" Park, Meg (ILT)",4652
"Gibbs, Stuart ",3764
"West, Tracey (ADP)",3231
" Geddes, Serena (ILT)",3038
"Earhart, Kristin ",3038
"Katschke, Judy (ADP)",2876
" Avakyan, Tatevik (ILT)",1748
"Dadey, Debbie ",1748
" Riti, Marsha (ILT)",1427
"Barkley, Callie ",1427
"Green, Poppy ",1200
" Bell, Jennifer A. (ILT)",1200
" Waters, Erica-Jane (ILT)",713
"Perelman, Helen ",713
" Francis, Guy (ILT)",601
"Deutsch, Stacia ",601
" Cohon, Rhody ",601
"Lakin, Patricia ",541
"Sharpe, Luke ",516
" Ross, Graham (ILT)",516
" Williams, Suzanne ",447
"Holub, Joan ",447
"Santopolo, Jill ",435
"Christopher, John ",268
" Mantell, Paul (CON)",257
"Jeter, Derek ",257
"Rinehart, J. D. ",206
"Knoll, Jessica ",200
"Backman, Fredrik ",198
"Rylant, Cynthia ",186
" Howard, Arthur (ILT)",186
"Morgan, Alex ",176
"Dixon, Franklin W. ",173
"Payton, Belle ",167
"Stevens, Robin ",156
"Coville, Bruce ",144
" Coville, Katherine (ILT)",144
"Wallace, Brandon ",118
" Burroughs, Scott (ILT)",117
"McCullough, David ",106
"Vaughan, M. M. ",104
"Montgomery, Sy ",103
"Clark, Mary Higgins ",91
"Lawson, Jessica ",70
" Andrewson, Natalie (ILT)",70
"King, Stephen ",66
"Freeman, Martha ",55
"Jewell, Lisa ",46
"Roberts, Willo Davis ",38
"McKinnon, Hannah ",35
"Fernando, Chantal ",33
"Han, Jenny ",28
"Lindsey, Johanna ",28
"Mezrich, Ben ",25
"Dalton, Michelle ",25
" Lee, Ellice M. (ILT)",20
"Montgomery, L. M. ",20
"Oliver, Isaac ",17
"Gist, Deeanne ",17
"Page, Robin ",15
" Page, Robin (ILT)",15
"Gurian, Michael ",14
"Clare, Cassandra ",14
"Posnanski, Joe ",13
"Dobson, Melanie ",13
"Rosen, Lev ",12
" Adler, Stephen ",12
"Grunwald, Lisa ",12
" Evans, Cordelia (ADP)",11
"Schulz, Charles M. ",11
" Burns Ortiz, Maria (CON)",11
" Yak, Will (ILT)",11
"Rousey, Ronda ",11
"Lescroart, John T. ",10
"Abramowitz, Andy ",8
" Rees Brennan, Sarah ",8
"Blake, Heidi ",7
" Calvert, Jonathan ",7
"Gray, Linda ",7
" Johnson, Maureen ",6
"Hunter, Stephen ",5
"Mitchell, George J. ",5
"Abbot, Judi (ILT)",4
"McDowell, Christina ",4
"Miyares, Daniel ",4
" Miyares, Daniel (ILT)",4
" Walsh, Joanna ",4
"Otto, Kate ",4
"Velasquez, Crystal ",4
" Correll, Gemma (ILT)",3
"Fremantle, Elizabeth ",3
"Berry, Lynne ",3
"Green, S. E. ",2
"Frank, E. R. ",1
"Sumanasara, Alubomulle ",1
"Young, Suzanne ",1
"Glatt, Lisa ",1
"Benwell, Sarah ",1
