,0
"Hawkins, Paula ",4745
"Slaughter, Karin ",2075
"Steel, Danielle ",1530
"Gerritsen, Tess ",1302
"Patterson, James ",1279
" Kellerman, Jesse ",1228
"Kellerman, Jonathan ",1228
"Macomber, Debbie ",1024
"Woods, Stuart ",1024
"Sandberg, Sheryl ",869
" Grant, Adam ",869
" Paetro, Maxine ",599
"Gabaldon, Diana ",531
"Mallery, Susan ",528
"Mcraven, William ",519
"Meloy, Maile ",513
"Gibbs, Stuart ",499
"Gregory, Philippa ",491
"Graham, Heather ",482
" Swierczynski, Duane ",467
"Ginder, Grant ",445
"Wright, Robert ",399
"Ellison, J. T. ",396
"Turow, Scott ",382
"Thor, Brad ",378
"Cook, Robin ",364
"Dare, Tessa ",351
"Connolly, John ",343
"Gitlin, Marty ",343
"Brown, Pierce ",318
"Fridlund, Emily ",311
"Foster, Lori ",309
"Jenoff, Pam ",303
"Hart, Kevin ",295
" Strauss, Neil (CON)",295
"Waite, Jen ",289
"Neggers, Carla ",284
"Kelly, Erin ",265
"Boyne, John ",262
"Joyce, Rachel ",257
Various ,249
"Dailey, Janet ",244
"Leon, Donna ",241
"Ashenden, Jackie ",238
"Monroe, Mary Alice ",236
"Hatmaker, Jen ",232
"Sager, Riley ",229
"Phillips, Gin ",228
"MacNeal, Susan Elia ",227
"Stilton, Geronimo ",224
"Doiron, Paul ",206
"Roberts, Nora ",197
"Hauck, Rachel ",195
"Dane, Lauren ",189
"Telgemeier, Raina ",189
"Henry, Veronica ",185
"Fairstein, Linda A. ",179
"Fuller, Claire ",178
"Cameron, Morgaine ",171
"Cantor, Jillian ",168
"Novak, Brenda ",166
"Adebayo, Ayobami ",158
"Lucado, Max ",158
"Mastromonaco, Alyssa ",155
"Wiggs, Susan ",149
"Coble, Colleen ",149
"Pearl, Nancy ",145
" Stewart, Amanda ",141
" Bardan, Amber ",141
"Meadows, Daisy ",139
"Goldberg, Leonard ",136
"Lane, Karly ",135
"Ward, J. R. ",134
"Mlynowski, Sarah ",131
"Cantero, Edgar ",128
"Castle, Richard ",127
Lonely Planet Publications (COR),126
"Kennedy, Elle ",125
"Parker, T. Jefferson ",125
"Proby, Kristen ",124
"Carr, Robyn ",124
"Forest, Laurie ",124
"Sutherland, Tui ",122
"Bolles, Richard Nelson ",122
"Fox, Calista ",120
"Collins, Dani ",118
"Lauren, Christina ",115
"Jackson, Brenda ",115
"Stine, R. L. ",113
"Showalter, Gena ",111
"Russell, Rachel Renee ",109
"Baldwin, James ",109
"Bredesen, Dale ",108
"Baldacci, David ",107
"Giles, Jeff ",106
"Thomas, Jodi ",103
Martha Stewart Living ,102
"Verducci, Tom ",101
"Harper, Fiona ",100
" Morgan, Sarah ",98
"Sala, Sharon ",98
"Gary, Codi ",98
"Montefiore, Santa ",96
"Moore, Meg Mitchell ",96
"Selfors, Suzanne ",95
" Taylor, Taryn Leigh ",95
" Shalvis, Jill ",95
"Lanier, Wendy Hinote ",95
"Moretti, Kate ",95
" Fisinger, Barbara (ILT)",95
"Sedoti, Chelsea ",94
"Pérez, Celia C. ",94
"Smart, Michelle ",94
"Chesterfield, Sadie ",93
"Ashe, Katharine ",90
"London, Julia ",88
"Mekhennet, Souad ",87
" Hess, Mary Rand ",86
"Alexander, Kwame ",86
" Miralles, Francesc ",85
"Garcia, Hector ",85
" Elliott, Rebecca (ILT)",84
"Elliott, Rebecca ",84
"Robinson, Peter ",84
"Ballis, Stacey ",83
"Gundar-Goshen, Ayelet ",83
"Bordas, Camille ",82
"Shetterly, Margot Lee ",81
"Rice, Luanne ",81
"Senna, Danzy ",81
" Hart, Rob ",80
"Harding, Robyn ",79
" Campbell, Cassandra ",79
"Fuhrman, Joel ",79
"Cotterill, Colin ",78
" Grabenstein, Chris ",78
"Blake, Elly ",78
"Palmer, Diana ",77
 Who Hq (COR),76
"Fossen, Delores ",76
"Harrison, Colin ",75
"Stevens, Courtney ",73
"Kendrick, Sharon ",73
"Glass, Julia ",72
"Sala, Michael ",71
"Niederhoffer, Galt ",70
"Petersen, Anne Helen ",70
"James, E. L. ",68
"Elston, Ashley ",68
"Stine, Megan ",68
" Fisher, David ",67
"Beasley, Cassie ",67
"Bardan, Amber ",67
"Abdul-Jabbar, Kareem ",67
"Marinelli, Carol ",67
"McGee, Katharine ",67
"Fisher, Suzanne Woods ",67
"Jordan, Nicole ",66
"Ramsay, Hope ",66
"Crawford, Isis ",65
"Lee, Robinne ",65
"Gigliotti, Jim ",64
"Gannon, Genevieve ",64
"Hickie, Amanda ",64
"Carey, M. R. ",64
"Eisenstadt, Jill ",64
"Warner, Gertrude Chandler ",62
"Kelly, Brynn ",61
"Morgan, Sarah ",60
"Leigh, Lora ",60
"Sanders, Ben ",60
"North, Claire ",59
"Heath, Lorraine ",59
"Lamothe, Matt ",59
"Yacka, Douglas ",58
" Thaxton, Candace ",58
" Murray, Jake (ILT)",58
"Kukafka, Danya ",58
"Kaufman, Amie ",58
"Henry-Jones, Eliza ",58
" Diamandis, Peter ",57
"Edelman, Ric ",57
"Alexander, Tamera ",56
" Yates, Maisey ",56
"Messner, Kate ",55
"Me, Tara Sue ",55
"Quinn, Spencer ",55
"Russell, Romina ",55
" Gerstein, Mordicai (ILT)",55
"Leonard, Dion ",55
