,0
"Dashner, James ",3298
"Child, Lee ",2773
"Cline, Ernest ",1893
"L'Engle, Madeleine ",1823
"Duhigg, Charles ",1653
"Riordan, Rick ",1648
"Riggs, Ransom ",1564
"Kellerman, Jonathan ",1015
"Strayed, Cheryl ",971
"Grisham, John ",893
"Evanovich, Janet ",772
"King, Stephen ",764
"Skloot, Rebecca ",678
"Morgenstern, Erin ",595
"Berry, Steve ",578
"Grafton, Sue ",530
"Diamond, Jared ",524
"Larson, Erik ",480
"Towles, Amor ",468
"McLain, Paula ",464
"Brown, Dan ",459
"Nesbo, Jo ",442
"Hart, Carolyn ",415
"Bryson, Bill ",403
"Parker, Robert B. ",395
"Bradley, Alan ",389
"Colfer, Eoin ",386
"Oliver, Lauren ",381
"Nesbø, Jo ",374
"Grossman, Lev ",365
"Amen, Daniel G., M.D. ",356
"Stevens, Taylor ",326
"Bourdain, Anthony ",321
"Gardner, Lisa ",303
"Druckerman, Pamela ",302
"Woods, Stuart ",298
"Lindsay, Jeffry P. ",274
"Guillebeau, Chris ",274
"Angelou, Maya ",274
"Ries, Eric ",270
"L'Amour, Louis ",257
"Schwalbe, Will ",250
"Perkins, Stephanie ",246
"MacNeal, Susan Elia ",246
"Phillips, Susan Elizabeth ",234
"Child, Lincoln ",233
"Achor, Shawn ",232
"Garwood, Julie ",230
"Pink, Daniel H. ",230
"Orman, Suze ",224
"Coben, Harlan ",221
"Boo, Katherine ",215
"Walker, Karen Thompson ",213
"Thayer, Nancy ",212
"Hartman, Rachel ",210
"Mosley, Walter ",206
"Rice, Anne ",205
"Levithan, David ",203
"Clancy, Tom ",201
"Wilson, Daniel H. ",201
" Pieczenik, Steve R. ",201
"Kinsella, Sophie ",199
"Alcott, Kate ",199
"Unger, Lisa ",188
"Heath, Chip ",186
" Heath, Dan ",186
"Bohjalian, Christopher A. ",182
"Lowry, Lois ",179
"Wood, Maryrose ",179
"Bray, Libba ",173
"Kate, Lauren ",170
"Cussler, Clive ",169
"Cornwell, Patricia Daniels ",165
"Moore, Wes ",164
"Griffin, W. E. B. ",158
"Quinn, Julia ",157
"Vanderpool, Clare ",154
"Pavone, Chris ",153
"Asimov, Isaac ",152
"Berendt, John ",152
"Millard, Candice ",149
"Zahn, Timothy ",146
"See, Lisa ",143
"Kabat-Zinn, Jon ",140
"James, P. D. ",133
"Le Carre, John ",131
"Mann, Charles C. ",131
"Levine, Kristin ",131
"Joyce, Rachel ",129
"Taubes, Gary ",128
"Quindlen, Anna ",125
"Scott, Michael ",125
"Martin, Charles ",124
"Atkins, Ace ",121
"Schiff, Stacy ",120
"Trigiani, Adriana ",117
"Foer, Joshua ",117
"Choldenko, Gennifer ",117
"Levitt, Steven D. ",116
"Michaels, Jillian ",115
"Jordan, Robert ",114
"Williams, Amanda Kyle ",113
"Couric, Katie ",111
"Brooks, David ",110
"Heller, Peter ",108
"Morrison, Toni ",105
"Hillenbrand, Laura ",102
"Howard, Linda ",100
"Eagleman, David ",100
"Kundera, Milan ",99
"Hoffman, Alice ",98
"Stewart, Trenton Lee ",98
"Atwood, Margaret Eleanor ",92
"Stuart, Julia ",92
"Flagg, Fannie ",91
"Hoag, Tami ",91
"Wiesel, Elie ",90
"Shipstead, Maggie ",86
"Gibson, William ",85
"Alford, Mimi ",84
"Pyron, Bobbie ",82
"MacIntyre, Ben ",81
"Schmidt, Gary D. ",81
"Tyler, Anne ",77
"Blum, Howard ",75
"Rossi, Veronica ",75
"Benison, C. C. ",72
" Cussler, Dirk ",71
"Malone, Marianne ",71
"Stutz, Phil ",69
"Hiaasen, Carl ",69
"Kaku, Michio ",69
" Michels, Barry ",69
"Greene, Brian ",68
"Diffenbaugh, Vanessa ",67
"Whitehead, Colson ",67
"Frost, Mark ",66
"Curtis, Christopher Paul ",66
"Kwok, Jean ",66
"Zuckoff, Mitchell ",64
"Mankell, Henning ",60
"Mezrich, Ben ",60
"Stroud, Carsten ",59
