,0
"Patterson, James ",3233
"Clemens, Samuel Langhorne ",3036
"Robb, J. D. ",2033
"Tate, Nikki ",1967
" Ledwidge, Michael ",1688
"Dickens, Charles ",1686
"Shakespeare, William ",1641
" Sullivan, Mark ",1545
"Burke, Alafair ",1213
"Mulder, Michelle ",1156
" Whamond, Dave (ILT)",1068
"Thomas, Leah ",1044
"Bryson, Bill ",1021
"Benjamin, Melanie ",972
" Saint-Onge, Danielle ",864
"Szpirglas, Jeff ",864
"McLain, Paula ",838
"Clare, Cassandra ",806
"Peirce, Lincoln ",804
"McClintock, Norah ",764
"Kellerman, Faye ",737
" Tate-stratton, Dani ",704
"Thomas, T. R. ",683
"Kang, Han ",654
"Ward, J. R. ",538
"Arden, Katherine ",534
"Reeve, Philip ",532
" McIntyre, Sarah (ILT)",532
"Balogh, Mary ",443
"Crane, Stephen ",430
"Reichs, Kathy ",415
"Laurens, Stephanie ",402
"Kubica, Mary ",394
"Hunter, Erin ",370
"Burton, Jaci ",369
"Donlea, Charlie ",342
"Taekema, Sylvia ",332
"Lowell, Elizabeth ",327
"Newport, Cal ",302
"Carter, Ally ",285
"Buckley, Carla ",283
"Hutchins, Hazel ",281
"Stradal, J. Ryan ",273
"Willig, Lauren ",264
"Gray, Shelley Shepard ",263
"Ellis, Helen ",260
"Kennedy, Elle ",251
"Martin, Kat ",249
"Michener, James A. ",247
"Dorsey, Tim ",247
"Feehan, Christine ",240
" Weitz, Katy ",225
"Middleton, Tressa ",225
"Brouwer, Sigmund ",225
"Martel, Yann ",212
"Abbott, Jeff ",207
"Stine, R. L. ",192
"Frampton, Megan ",188
"Francesc, Miralles ",184
" Wark, Julie (TRN)",184
"McLynn, Frank ",183
"Reid, Taylor Jenkins ",182
"Castillo, Linda ",179
"Rose, Karen ",178
"Murphy, Brian ",172
" Parkins, David (ILT)",169
"Helmer, Marilyn ",169
"Gowda, Shilpi Somaya ",168
"McLaughlin, Jen ",156
"Howard, Linda ",156
"Roby, Kimberla Lawson ",155
Cook's Country (EDT),152
"Cole, Kresley ",149
"Searle, Nicholas ",143
" Luceno, James ",142
"Miller, John Jackson ",142
"Rodale, Maya ",141
"Cantor, Rachel ",140
" Covington, Stephanie ",136
"Weber, Carl ",136
"Osborne, Mary Pope ",136
"Arlidge, M. J. ",133
"Hunter, Faith ",132
"Bock, Charles ",131
"Yapa, Sunil ",127
"Miles, Rachael ",126
"Sands, Lynsay ",125
"Cooper, James Fenimore ",125
"Me, Tara Sue ",124
" Steinke, Lisa ",123
"Fenton, Liz ",123
"Miéville, China ",120
"Wilson, Sari ",119
"Tsiang, Sarah Yi-Mei ",115
"Clark, Roy Peter ",115
"Kincaid, Kimberly ",112
"Addison, Corban ",111
"Jenkins, Beverly ",109
"Carlson, Melody ",108
"Bussi, Michel ",107
"Barron, Stephanie ",107
" Lys, Thomas Z. ",100
"Neale, Margaret A. ",100
"Baker, Jo ",99
"Steil, Jennifer ",99
"Woods, Sherryl ",97
"McKillip, Patricia A. ",97
"Von Kreisler, Kristin ",95
"Bradley, Celeste ",92
"Eliopulos, Nick ",91
"Tan, Cecilia ",91
" Sutherland, Tui (INT)",91
"Huang, Eddie ",85
"Wiseman, Beth ",84
"Martin, Madeline ",84
"Karjel, Robert ",83
"Kantra, Virginia ",83
"Ryan, Annelise ",82
"Rizga, Kristina ",82
"Murphy, Monica ",80
"Grant, Michael ",80
"Gafni, Ramy ",78
"Armstrong, Kelley ",77
"James, Miranda ",77
"Rains, Annie ",77
"Ashman, Linda ",74
"Coble, Colleen ",74
"Seppala, Emma ",74
" Hughes, Brooke Boynton (ILT)",74
"Cogburn, Emily Beck ",73
"Canin, Ethan ",73
"Zanetti, Rebecca ",73
"Bronte, Charlotte ",72
"Freer, Amelia ",70
"Bissinger, H. G. ",69
"Jacobs, Harriet A. ",69
 Civil War Classics (COR),69
"Henry, Patti Callahan ",69
"Stewart, Leah ",68
"Savit, Gavriel ",66
" Barron, Robert (AFT)",65
"Pitre, Brant ",65
" Pezzullo, Ralph ",62
"Chase, Simon ",62
"Shearin, Lisa ",60
"Walters, Eric ",60
"Salhani, Claude ",59
"Bure, Candace Cameron ",59
"Lackey, Mercedes ",59
"Lewis, Marc ",59
" Davis, Erin ",59
"Le Guin, Ursula K. ",59
"Aames, Avery ",58
"Lore, Pittacus ",58
"Ashley, Katie ",58
"Brothers, Meagan ",57
"Hawkins, Alexandra ",57
"Stein, Jean ",56
"Spivack, Kathleen ",55
"Purdy, Brandy ",55
"Gottlieb, Eli ",55
"Doyle, Laura ",54
"Webb, Caroline ",53
"Beck, Richard ",53
"Hocker, Karla ",52
"Platt, Geoff ",52
"Wurst, Conchita ",50
"Zamora, Francesc ",50
"Sigler, Scott ",49
"Cronin, Doreen ",49
"Choyce, Lesley ",49
"Morris, Keith Lee ",48
"Rasula, Jed ",48
"Dog, Tieraona Low ",47
"Andrews, Gavin ",47
"Torre, Alessandra ",46
