,0
"Slaughter, Karin ",2973
"Patterson, James ",2240
"Koontz, Dean R. ",1498
"Benjamin, Tina ",1393
"Ansari, Aziz ",1231
" Klinenberg, Eric ",1231
" Paetro, Maxine ",1205
"Backman, Fredrik ",1176
"George, Nina ",1100
"McCullough, David ",1006
" Roughan, Howard ",923
"Jackson, Lisa ",848
"Scottoline, Lisa ",752
"Meltzer, Brad ",745
"Silva, Daniel ",656
"Benjamin, Ali ",630
"Andrews, Mary Kay ",597
"Robards, Karen ",592
"DeMille, Nelson ",592
"Hilderbrand, Elin ",589
"Taylor, Brad ",544
"Sandford, John ",518
"King, Stephen ",517
"Deveraux, Jude ",488
"Novik, Naomi ",470
"Layne, Lauren ",451
"Fisher, David ",394
" O'Reilly, Bill ",394
"Appleby, Alex ",390
" Green, Christina (TRN)",390
"Cozzo, Karole ",382
"West, Temple ",362
"Rollins, James ",357
"Kenner, J. ",329
"Jance, Judith A. ",327
"Atkinson, Kate ",327
"Meissner, Susan ",325
"Michaels, Fern ",322
"Green, Jane ",315
"Deaver, Jeffery ",306
"Kurson, Robert ",295
"Bracken, Alexandra ",282
"Offerman, Nick ",277
"Nelson, Willie ",265
" Babin, Leif ",257
"Willink, Jocko ",257
"Mazer, Norma Fox ",254
"Finder, Joseph ",249
"Swyler, Erika ",246
"Maxwell, John C. ",241
Lonely Planet Publications (COR),232
"Stiefvater, Maggie ",225
" Pearce, Jackson ",225
"Stevens, Taylor ",214
"Hall, Sandy ",210
"Winslow, Don ",209
" Gurney, John Steven (ILT)",206
"Roy, Ron ",206
"Turano, Jen ",198
"Wiseman, Ellen Marie ",192
"White, Kate ",192
"Jones, Darynda ",188
"Munro, Alice ",188
"Carter, Jimmy ",188
"Binchy, Maeve ",187
"Hearne, Kevin ",186
"Bushnell, Candace ",182
"Reich, Christopher ",178
"Price, Charlie ",175
"Chase, Loretta Lynda ",174
"Dean, James ",171
"Shalvis, Jill ",170
"Bolz-Weber, Nadia ",162
"O'Reilly, Bill ",160
"Harper, Karen ",159
"Ferrante, Elena ",153
"Benway, Robin ",151
"Doiron, Paul ",150
"Swanson, Peter ",146
"Laing, Olivia ",143
"Oakley, Tyler ",142
"Cleeves, Ann ",141
"Warner, Dave ",140
"Laurens, Stephanie ",137
"Williams, Beatriz ",133
"Jeffries, Joyce ",131
"Cabot, Meg ",131
"Singh, Nalini ",131
"Vanderkam, Laura ",131
"Kagawa, Julie ",130
"Banks, Maya ",130
"Pratchett, Terry ",128
" Baxter, Stephen ",128
" Chambers, Veronica (CON)",128
"Strahan, Michael ",128
"Cussler, Clive ",126
" Morrison, Boyd ",126
"Klass, David ",125
"Hamilton, Laurell K. ",122
"Miller, Emma ",121
"Meyer, Joyce ",120
"Maxwell, Alyssa ",119
"Delinsky, Barbara ",118
"Boyne, John ",118
" Jeffers, Oliver (ILT)",118
"Wilson, Sarah ",117
"Grisham, John ",115
