,0
" Falconer, Ian (ILT)",14467
"Falconer, Ian ",14467
"Martin, Bill ",5184
" Ehlert, Lois (ILT)",5184
" Sampson, Michael ",5184
"Holub, Joan ",5082
"Thomas, Jan ",3139
" Thomas, Jan (ILT)",3139
"Wilson, Karma ",2834
" Chapman, Jane (ILT)",2834
" Terry, Will (ILT)",2654
" Williams, Suzanne ",2428
" Mack, Jeff (ILT)",2132
"Sauer, Tammi ",2132
"Hennessy, B. G. ",1525
" Mitchell, Susan (ILT)",1525
" Butler, John (ILT)",1340
"Thompson, Lauren ",1340
" Lowery, Mike (ILT)",1136
"Nesbo, Jo ",1136
" Chace, Tara F. (TRN)",1136
" Bryan, Ashley (ILT)",1068
"Alexander, Cecil F. ",1068
" Burleigh, Robert (CON)",942
" Root, Barry (ILT)",942
"Barber, Tiki ",942
" Barber, Ronde ",942
" Cowdrey, Richard (ILT)",865
"Bauer, Marion Dane ",865
" Paillot, Jim (ILT)",847
"Trueit, Trudi ",847
"Fischer, Scott M. ",743
" Fischer, Scott M. (ILT)",743
" Katz, Karen (ILT)",724
"Katz, Karen ",724
"Ferguson, Sarah ",691
" Preiss-Glasser, Robin (ILT)",691
"Warnes, Tim (ILT)",664
" Goode, Diane (ILT)",596
"Primavera, Elise ",596
" Karas, G. Brian (ILT)",536
"Kilodavis, Cheryl ",530
" Desimone, Suzanne (ILT)",530
"Look, Lenore ",507
" Choi, Stef (ILT)",507
"Fleming, Candace ",439
" Harper, Lee (ILT)",424
"Harper, Lee ",424
"Konigsburg, E. L. ",394
"Perelman, Helen ",335
" Waters, Erica-Jane (ILT)",335
"Dixon, Franklin W. ",327
" Konigsburg, E. L. (ILT)",317
" Minor, Wendell (ILT)",284
" Burroughs, Scott (ILT)",276
"Mull, Brandon ",265
"Clark, Mary Higgins ",263
Kennedy Center ,238
"Haddix, Margaret Peterson ",231
"Magoon, Kekla ",226
" Prigmore, Shane (ILT)",172
"Scieszka, Jon ",172
" Denos, Julia (ILT)",152
"Merchant, Peter ",152
"Whittemore, Jo ",141
"Gruelle, Johnny ",129
" Hoyt, Ard (ILT)",129
" Kidd, Ronald ",129
"Cooper, Susan ",125
"Nolen, Jerdine ",113
" Strickland, Shadra ",113
" Bush, Laura ",109
" Kidd, Ronald (ADP)",109
"Draper, Sharon M. ",109
" Hoyt, Ard ",109
"Burgis, Stephanie ",108
"Walden, Mark ",101
"Dakos, Kalli ",97
" Hawking, Lucy ",95
"Hawking, Stephen W. ",95
" Parsons, Garry (ILT)",95
"Devillers, Julia ",91
" Roy, Jennifer ",91
"Catanese, P. W. ",82
" DiTerlizzi, Tony (ILT)",77
"DiTerlizzi, Tony ",77
"Brink, Carol Ryrie ",70
" Davis, Marguerite (ILT)",70
"Rylant, Cynthia ",49
" Schindler, S. D. (ILT)",49
"Burkhart, Jessica ",30
" Gustavson, Adam ",22
"Holm, Jennifer L. ",22
"Robinet, Harriette Gillem ",21
"Andrews, V. C. ",15
"McCarthy, Meghan ",12
" McCarthy, Meghan (ILT)",12
"Han, Jenny ",12
"Clare, Cassandra ",11
"Souljah, Sister ",3
"Card, Orson Scott ",3
"Black, Holly ",2
" Gasteyer, Ana ",1
