,0
"Deutsch, Stacia (ADP)",8691
"Russell, Rachel Renee ",6485
" Russell, Rachel Renee (ILT)",6485
" Eastland, Chris ",3780
"Bleiman, Andrew ",3780
"Dixon, Franklin W. ",3588
" Riti, Marsha (ILT)",2787
"Barkley, Callie ",2787
"Deutsch, Stacia ",2264
" O'Connor, George (ILT)",2256
"Kirby, Stan ",2256
"O'Ryan, Ray ",1640
" Jack, Colin (ILT)",1640
" Waters, Erica-Jane (ILT)",1608
"Perelman, Helen ",1608
" Avakyan, Tatevik (ILT)",1604
"Dadey, Debbie ",1604
"Appleton, Victor ",1436
" Wallace, John (ILT)",1191
"Bauer, Marion Dane ",1191
"Armstrong, Jennifer ",1117
" Lorenz, Albert (ILT)",1117
" Cohon, Rhody ",1103
" Wenzel, David (ILT)",1103
" Barrett, Ron (ILT)",1087
"Barrett, Judi ",1087
" Harran, Marilyn J. ",1055
"Leyson, Leon ",1055
" Leyson, Elisabeth B. ",1055
"Bach, Shelby ",942
" Baines, Nigel (ILT)",842
Matt and Dave ,842
"Holub, Joan ",746
" Williams, Suzanne ",746
" Burroughs, Scott (ILT)",688
"Haddix, Margaret Peterson ",640
"Keene, Carolyn ",613
" Montalvo, Rodolfo (ILT)",597
"Dewitt, Fowler ",597
"Night, P. J. ",536
"Christopher, John ",418
" Dungy, Lauren ",408
"Dungy, Tony ",408
" Brantley-Newton, Vanessa (ILT)",408
" Phillips, Craig (ILT)",400
"Cooper, Susan ",355
"McMann, Lisa ",332
"Legrand, Claire ",273
" Kwasny, Karl (ILT)",273
"Collins, Tim ",229
" Pinder, Andrew (ILT)",229
" Ramsey, Marcy Dunn (ILT)",221
"Darling, Angela ",202
"Barnholdt, Lauren ",200
"Snyder, Zilpha Keatley ",200
"Walden, Mark ",183
"Rivers, Phoebe ",182
"Wise, Rachel ",181
"Morgan, Alex ",141
"Berry, Lynne ",137
" Cordell, Matthew (ILT)",137
"Branford, Anna ",105
" Allen, Elanna (ILT)",105
" Mckuen, Pamela Dittmer ",100
"Walker, Jackie ",100
"Snow, Alan ",91
" Snow, Alan (ILT)",91
"Schroeder, Lisa ",87
"Dowell, Frances O'Roark ",77
"Burns, T. R. ",69
"Baskin, Nora Raleigh ",68
"Fletcher, Susan ",62
" Bricking, Jennifer (ILT)",58
"Appelt, Kathi ",58
" Fan, Terry ",42
"Rundell, Katherine ",42
"McKay, Hilary ",41
" Player, Micah ",41
" Slater, Kate (ILT)",39
"Calhoun, Dia ",39
"Pascal, Francine ",35
"Hoover, Colleen ",22
"Laughlin, Florence ",21
"Evans, Richard Paul ",19
"Frankel, Bethenny ",14
"Turgeon, Carolyn ",13
"McGraw, Eloise ",13
"James, J. Alison ",13
"King, Stephen ",12
"Ripley, Amanda ",11
"Simsion, Graeme ",11
" Halpin, Abigail (ILT)",10
"Krishnaswami, Uma ",10
"Van Diepen, Allison ",10
"Probst, Jennifer ",5
"Maberry, Jonathan ",2
"Pike, Christopher ",2
"Taylor, Chloe ",1
"Osteen, Joel ",1
" Zhang, Nancy (ILT)",1
