,0
"Callen, Sharon ",5336
"Patterson, James ",2660
"Dustman, Jeanne ",2625
"Grisham, John ",2499
"Coan, Sharon ",2246
"Honeyman, Gail ",2010
"Evanovich, Janet ",1457
"Baldacci, David ",1266
"Kendrick, Anna ",913
"Quick, Amanda ",875
" Burke, Alafair ",805
"Clark, Mary Higgins ",805
"Feehan, Christine ",696
"Moyes, Jojo ",602
"Banks, Maya ",599
"Meyer, Marissa ",508
"Robbins, Tony ",476
"Mcraven, William ",436
"Smith, Zadie ",401
"Cornwell, Patricia Daniels ",396
"Chabon, Michael ",393
"Brown, Dale ",348
"Shaara, Jeff ",334
"Cussler, Clive ",332
" Cussler, Dirk ",332
"Archer, Jeffrey ",306
"Thien, Madeleine ",294
"Evans, Richard Paul ",292
"Stevens, Chevy ",272
"Hannon, Irene ",264
"Burton, Jaci ",258
"Coelho, Paulo ",258
"Warren, Susan May ",245
"Mcarthur, Marcus ",239
"Pastis, Stephan ",236
" Pastis, Stephan (ILT)",236
"Gardner, Lisa ",233
"Gracie, Anne ",229
"Sykes, Plum ",225
"Nguyen, Viet Thanh ",215
"Lockwood, Patricia ",211
" Swierczynski, Duane (CON)",206
"Murakami, Haruki ",202
" Gabriel, Philip (TRN)",199
" Goossen, Ted (TRN)",199
"Lamb, Wally ",199
"Michaels, Fern ",193
" Larson, Hope (ILT)",191
"L'Engle, Madeleine ",191
"Kiernan, Stephen P. ",187
"Stilton, Geronimo ",187
"Childs, Laura ",184
"Lepucki, Edan ",182
"Hart, Carolyn ",182
"Lewis, Beverly ",179
"Ross, Ann B. ",176
"Cohen, Andy ",168
"Sanderson, Brandon ",167
"Ruby, Laura ",163
" Stevenson, Dave (ILT)",163
"Castillo, Linda ",156
"Smith, Sally Bedell ",155
"Leigh, Lora ",154
"Kuligowski, Stephanie ",154
"Scott, Kim Malone ",151
"Prior, Jennifer ",148
"Barker, Eric ",146
"Graff, Lisa ",146
"Torjussen, Mary ",135
"Kelly, Megyn ",135
" Patterson, James (FRW)",134
"McLaughlin, Jen ",134
" Towle, Samantha ",134
"Fisher, Suzanne Woods ",133
" Kim, Aram (ILT)",132
"Kim, Aram ",132
"Hunter, Stephen ",131
"Bowen, Sarina ",130
"Bradley, Timothy ",129
"Oz, Mehmet, M.D. ",127
"Atherton, Nancy ",127
"Harris, Robert ",127
"Weir, Alison ",123
"Gerber, Alyson ",120
"Colfer, Chris ",120
"Shipman, Viola ",120
"Bosker, Bianca ",114
