,0
"Roth, Veronica ",3752
"Cotugno, Katie ",1907
"Roy, Ron ",1456
" Gurney, John Steven (ILT)",1456
"Rodriguez, Tania ",1338
"Bernard, Romily ",1054
"Brown, Dan ",1026
"Levitt, Steven D. ",1002
" Dubner, Stephen J. ",1002
"Hunter, Erin ",958
"Gaffigan, Jim ",880
"Gaiman, Neil ",864
" Young, Skottie (ILT)",864
" Paillot, Jim (ILT)",774
"Gutman, Dan ",774
"Tan, Amy ",773
" Schlosser, Eric ",751
"Wilson, Charles ",751
"Mallery, Susan ",648
"Banks, Anna ",553
"Kinsella, Sophie ",527
"Parish, Herman ",468
" Avril, Lynne (ILT)",458
"Roberts, Nora ",452
"MacLean, Sarah ",445
"Carr, Robyn ",439
"Lamb, Wally ",419
"Patchett, Ann ",395
"Cabot, Meg ",375
"Fuhrman, Joel ",370
"Maynard, Joyce ",357
" Long, Ethan (ILT)",355
"Watson, Tom ",355
"Black, Holly ",340
"Carson, Rae ",333
"Chainani, Soman ",329
"Sandoval, Ana Valay ",327
"Hillerman, Anne ",322
"Creech, Sharon ",305
"Woods, Sherryl ",296
" McLoughlin, Wayne (ILT)",296
" Parker, Robert B. ",281
"Atkins, Ace ",281
"Berne, Jennifer ",274
" Radunsky, Vladimir (ILT)",274
"Green, Tim ",272
"Lakshmi, Padma ",270
"McGarry, Katie ",267
"Jackson, Lisa ",255
"Sittenfeld, Curtis ",249
"Goodwin, Doris Kearns ",245
"Sands, Lynsay ",241
" Beene, Jason (ILT)",230
"Farber, Erica ",230
"Wells, Robison ",229
"Priestley, Chris ",223
"Papazian, Charles ",215
"Todd, Charles ",214
"Miller, Linda Lael ",214
"Lerangis, Peter ",213
"Tartt, Donna ",212
"Diaz, Cameron ",210
"Mafi, Tahereh ",205
"Michaels, Fern ",204
"Lee, J. H. ",198
"Thomas, Sherry ",193
"Scottoline, Lisa ",184
" Preiss-Glasser, Robin (ILT)",181
"O'Connor, Jane ",181
"Box, C. J. ",181
"Kraatz, Jeramey ",171
"Goleman, Daniel ",168
"Barnes, Sophie ",168
"Searles, John ",168
"Sheinkin, Steve ",165
" Norstrand, Torstein ",165
"Berenstain, Stan ",164
" Berenstain, Jan ",164
"Henkes, Kevin ",163
" Henkes, Kevin (ILT)",163
"Jordan, Sophie ",160
"Idle, Molly ",156
"Boyle, Elizabeth ",155
"Nhat Hanh, Thich ",152
"Russell, Rachel Renee ",150
" Russell, Rachel Renee (ILT)",150
"Bravo, Jorge Arturo Miranda ",148
"Rinker, Sherri Duskey ",143
"Lewis, C. S. ",143
"Hurston, Zora Neale ",143
" Lichtenheld, Tom (ILT)",143
"Shannon, Samantha ",141
"Trollope, Joanna ",140
"MacDonald, Maryann ",138
"Vaynerchuk, Gary ",137
"Lobel, Arnold ",137
"McMann, Lisa ",134
"Farizan, Sara ",134
"White, Kiersten ",130
"Black, Shayla ",128
"Graham, Heather ",127
"Sedaris, David ",124
"Lynch, Chris ",124
"Redwine, C. J. ",123
" Jessell, Tim (ILT)",120
"Klimo, Kate ",120
"Jiles, Paulette ",120
" Kubal, Amy ",116
"Rodale, Maya ",116
"Vartanian, Arsy ",116
"Alexander, Kwame ",116
"Ashe, Katharine ",116
" Kresser, Chris (FRW)",116
"Winchester, Simon ",113
"Doescher, Ian ",111
"Albers, Susan ",107
"Kadrey, Richard ",105
