,0
"Silva, Daniel ",2476
Marvel (COR),1723
"Korte, Steve ",1625
"Irvine, Alex ",1548
"Andrews, Mary Kay ",1466
"Miranda, Megan ",1344
"Jewell, Lisa ",1052
"Thor, Brad ",1022
"Hoover, Colleen ",825
"Carr, Robyn ",707
"Fisher, David ",707
"Mead, Richelle ",658
"Dunn, Joeming ",652
"Lindsey, Johanna ",605
"Ephron, Delia ",553
"Patrick, Phaedra ",487
"Bryson, Bill ",465
"Unger, Lisa ",465
"Cabot, Meg ",438
"Simpson, Dana ",434
"Barr, Nevada ",430
"Laurens, Stephanie ",429
"Matharu, Taran ",428
"Andersen, Sarah ",416
"James, Julie ",415
"Rake, Matthew ",412
"Lajiness, Katie ",401
"Graham, Heather ",388
"Weisberger, Lauren ",375
"Bivald, Katarina ",373
"Fox, Jennifer ",360
"Dave, Laura ",352
" Minister, Peter (ILT)",352
"White, Randy Wayne ",348
"Oliva, Alexandra ",347
"Belle, Magnolia ",345
Concrafter ,342
"Kiyosaki, Robert T. ",312
"Balogh, Mary ",310
"Oates, Joyce Carol ",300
"Berry, Flynn ",285
"Reid, Taylor Jenkins ",282
"Slater, Lee ",264
" Lacour, Nina ",258
"Levithan, David ",258
"Tanenbaum, Robert K. ",234
"Kellerman, Faye ",234
"Armstrong, Jennifer Keishin ",232
"Revis, Beth ",229
"Sandford, John ",225
" Cook, Michele ",225
"Armentrout, Jennifer L. ",219
"Birkelund, Elizabeth ",213
"Nagelhout, Ryan ",212
"Selfors, Suzanne ",212
"Gier, Kerstin ",210
" Bell, Anthea (TRN)",210
"Palmer, Daniel ",209
" Palmer, Michael ",209
"McKinnon, Hannah ",200
"Novak, Brenda ",199
"Stewart, Mariah ",195
"Giudice, Teresa ",194
"Richards, Emilie ",194
" Baker, K. C. ",194
"Kenner, J. ",186
"Monstrata, Nessi ",185
"O'Farrell, Maggie ",182
"Mazzeo, Tilar J. ",180
"Palmer, Diana ",177
"Macomber, Debbie ",176
" Bosch, Meritxell (ILT)",172
"Nordling, Lee ",172
"Edwards, Sue Bradford ",172
"Wallace, Rich ",170
"Woods, Sherryl ",169
"Clare, Cassandra ",166
"Kenyon, Sherrilyn ",160
"Wassall, Erika ",160
"Layne, Lauren ",155
"Haymore, Jennifer ",153
"Rosen, Jane L. ",153
"Mallery, Susan ",149
"Ingelman-Sundberg, Catharina ",148
" Axtell, David (ILT)",145
"Axtell, David ",145
"Schmidt, Annie M. G. ",143
" Colmer, David (TRN)",143
"Graham, Lynne ",142
"Larsen, Ward ",138
"Hansen, Grace ",137
"Jennings, Patrick ",132
"Neggers, Carla ",132
"Schulz, Charles M. ",131
"Birney, Betty G. ",130
"Murray, Julie ",128
"Krueger, William Kent ",126
"Black, Shayla ",126
"Ellison, J. T. ",126
"Mortimer, Carole ",124
"Kinsley, Michael ",122
"MacBride, Stuart ",115
"Davis, William ",115
"English, Christy ",115
"McCall Smith, Alexander ",114
"Davis, Jim ",114
"Berrow, G. M. ",113
"Chainani, Soman ",110
"Warner, Penny ",110
" Blank, Michael (ILT)",110
" Franscell, Ron ",107
"Steiner, Susie ",107
"Dimaio, Vincent ",107
Hasbro (COR),107
"Bowman, Valerie ",106
"Karalius, Kimberly ",102
"Heller, Rick ",101
"Rose, M. J. ",101
"Shalvis, Jill ",101
"Ervin, Phil ",97
"Hemmings, Kaui Hart ",96
" Dyer, Stephen ",94
"Dyer, Jonah Lisa ",94
Various ,92
"Dawson, Delilah S. ",91
" Christie, R. Gregory (ILT)",89
"Berger, Jonah ",89
"Nelson, Vaunda Micheaux ",89
"Chevalier, Tracy ",88
"Hewitt, Kate ",88
"Mason, Tyler ",86
"Kenney, Karen Latchana ",86
" Zucker, Caren ",84
"Donvan, John ",84
"Winter, Jessica ",83
"Mullarkey, Lisa ",82
"Isbell, Tom ",81
"Kennedy, Stacey ",80
"Durant, Judith ",80
"Haines, Carolyn ",79
"Wheeler, Lisa ",77
" Gott, Barry (ILT)",77
"Catmull, Katherine ",77
"Hawkins, Karen ",75
"Reisz, Tiffany ",74
"Deboard, Paula Treick ",74
"Pryor, Liz ",74
"Morgan, Sarah ",73
" Stephens, Susan ",72
" Craven, Sara ",72
"Smart, Michelle ",72
" Ellis, Lucy ",72
"Brown, Karma ",71
" Eckman, Edie (EDT)",71
"Cornwell, Bernard ",71
"Berne, Emma Carlson ",70
" Heschke, Elena (ILT)",68
"Brown, Kate Lord ",68
" Loy, Jessica (ILT)",67
"Loy, Jessica ",67
"Kuskowski, Alex ",66
" Ryan, Renee ",66
"Davids, Patricia ",66
" Tracy, Pamela ",66
"Scheff, Matt ",64
"Cole, Scarlett ",64
"Wayne, Teddy ",64
"Lackberg, Camilla ",64
" Piper, Don ",63
"Burke, John ",63
"Johnson, Debbie ",61
"Sosa, Mia ",60
"Das, Indra ",60
" Mendez, Simon (ILT)",60
"Krasner, Barbara ",59
"Goldstein, Lori ",59
" Smart, Michelle ",59
"Greene, Vivi ",58
"Marinelli, Carol ",58
"Tessaro, Kathleen ",58
"Cameron, Stella ",57
"Ashby, Madeline ",57
"Ward, Amanda Eyre ",56
"Campbell, Rick ",56
"Smith, Jean Edward ",56
"Dunmore, Helen ",55
"Whitefield-Madrano, Autumn ",55
" Marinelli, Carol ",54
"Wulf, Andrea ",54
"Dairman, Tara ",53
"Foye, Meghann ",53
" Perry, Paul (CON)",53
" Moody, Raymond (FRW)",53
"Matson, Stacey ",53
"Parti, Rajiv ",53
"Pérez, Ashley Hope ",53
"Braddock, Paige ",53
" Gibson, Rhonda ",52
"Coy, John ",52
" Griggs, Winnie ",52
"Ford, Linda ",52
" Brown, Jo Ann ",52
" Duburke, Randy (ILT)",52
"Harper, Molly ",52
"Torres, John ",51
"Hendrix, Emilia ",51
"Stout, Shawn K. ",50
"Rea, Amy C. ",50
"Andersen, Laura ",50
"Bell, Samantha S. ",50
"Gates, Robert M. ",49
"Greenwood, Elizabeth ",49
"Robson, Jennifer ",49
"Woodward, Bob ",48
"Cohen, Richard ",48
"Wilner, Barry ",48
"Moor, Robert ",47
"Nelson, Craig ",47
"Canfield, Michael ",47
"Sweeney, Cynthia D'Aprix ",47
"Trusdell, Brian ",46
"Colbert, Don ",46
"Myers, Dan ",45
"McFarlane, Mhairi ",45
"Dane, Lauren ",45
"Levy, Lawrence H. ",45
"Thorne, Jenn Marie ",44
" Clayton, Dhonielle ",44
"Charaipotra, Sona ",44
" Butler, Charles ",44
"Grant, Donna ",44
"Steinem, Gloria ",44
"Bowman, Bob ",44
"Barrett, Lorna ",43
"Harmel, Kristin ",42
"Plattner, Josh ",42
"Vega, Danielle ",42
"Dorsette, Chelsea ",42
"Howell, Brian ",42
"Hoy, Timothy ",41
"Ostrovsky, Arkady ",41
"Kuhn, Shane ",41
"Weber, Tawny ",41
" Walker, Kate ",40
"Walker, Shiloh ",40
" Milburne, Melanie ",40
"Daniels, Robert ",40
"Fagan, Jenni ",40
" Blake, Maya ",40
"Karlsson, Jonas ",40
"Cahill, Ellie ",40
"Finn, Katie ",39
" Craft, Elizabeth ",39
"Olsen, Shea ",39
"Pronzini, Bill ",39
"Ramey, Stacie ",39
"Payne, C.c. ",38
" Cantrell, Kat ",38
"Foster, Lori ",38
"Laurence, Andrea ",38
" Lindsay, Yvonne ",38
"Thayne, RaeAnne ",37
"Fuhrman, Elina ",37
"France, Emily ",37
"Wolff, Tracy ",37
" Bagwell, Stella ",37
" Harlen, Brenda ",37
"Herrera, Juan Felipe ",36
"Tsabary, Shefali ",36
"Buruma, Ian ",36
"Sun, Amanda ",36
"Grey, Jeanette ",35
"Neale, Kitty ",35
"Sciolino, Elaine ",35
"Larssen, Erik Bertrand ",35
" Ferrarella, Marie ",34
"Warren, Linda ",34
" Daille, Barbara White ",34
"Buchanan, Michelle ",34
"Polk, Sam ",34
" Leo, Mary ",34
"Chase, Emma ",33
"Robertson, S. D. ",33
"Mason, J. D. ",33
"Miller, John H. ",33
"Hopkins, Ellen ",33
"Lynn, Stacey ",32
"Lee, Jade ",32
"Johnston, Joan ",32
"Smale, Holly ",32
" Gasby, Dan ",32
" Bowden, Jonny ",32
"Smith, B. ",32
"Masley, Steven, M.D. ",32
"Hood, Joshua ",31
"Markell, Denis ",31
"Ripley, J. R. ",31
"Rhodes, Morgan ",31
"Gordon-Smith, Dolores ",31
"Jubak, Jim ",30
Little Bee Books ,30
"Roth, Ruby ",30
"Shahin, Christine ",30
"Salvalaggio, Karin ",30
