,0
"Vance, J. D. ",4979
"Trine, Greg ",2514
" Montijo, Rhode (ILT)",2514
"Shetterly, Margot Lee ",2259
"Fallon, Jimmy ",1631
" Ordóñez, Miguel (ILT)",1631
"Gyasi, Yaa ",1446
"Scottoline, Lisa ",1443
"Cussler, Clive ",1220
" Morrison, Boyd ",1220
"King, Stephen ",1125
"Mallery, Susan ",1076
"Steiner, Susie ",933
"Gutman, Dan ",859
" Paillot, Jim (ILT)",859
"Kaur, Rupi ",794
"Hood, Ann ",677
"Shalvis, Jill ",673
"Russo, Richard ",627
"Gardner, Lisa ",591
"Roach, Mary ",518
"Hart, John ",499
"Ponti, James ",428
"Huntley, Swan ",377
"Foster, Lori ",354
"DiCamillo, Kate ",340
" McCubbin, Lisa ",339
"Hill, Clint ",339
"White, Kiersten ",337
"Miranda, Lin-Manuel ",332
" Mccarter, Jeremy ",332
"Lore, Pittacus ",313
"Grant, Andrew ",312
"Armstrong, Kelley ",305
"Meadows, Daisy ",300
"Putney, Mary Jo ",298
"Moore, Liz ",294
"Sands, Lynsay ",284
"Eagar, Lindsay ",279
"Montijo, Rhode (ILT)",271
" Trine, Greg ",271
"Lancaster, Jen ",266
"Matson, Morgan ",261
"Crownover, Jay ",242
"Hollandsworth, Skip ",236
"Gabaldon, Diana ",220
"Bush, Nancy ",219
" Reynolds, Peter H. (ILT)",216
"McDonald, Megan ",216
"Hilton, L.s. ",213
"Walker, Martin ",210
"Marks, Mary ",201
"Vyleta, Dan ",196
"Anderson, John David ",195
"Howard, Linda ",180
"Freitas, Donna ",178
"Dennis-benn, Nicole Y. ",173
"Neggers, Carla ",173
"Sund, Erik Axl ",169
"Glines, Abbi ",164
"Anstey, Cindy ",161
"Tan, Chade-Meng ",160
"Mosley, Walter ",157
"Blackmoore, Stephanie ",156
" Williams, Suzanne ",155
"Holub, Joan ",155
"Allende, Isabel ",152
"MacLean, Sarah ",148
"Hollon, Cheryl ",145
"Kingston, Karen ",141
"Geni, Abby ",138
"Harvey, Michael ",137
"Evangelista, Kate ",136
"Ward, J. R. ",136
"Callaway, Joy ",136
" Fruchter, Jason (ILT)",134
" Yellowhawk, Jim (ILT)",131
"Marshall, Joseph, III ",131
"Ahrnstedt, Simona ",128
"Jacobson, Mark A. ",126
" Spooner, Meagan ",125
"Roux, Madeleine ",125
"Kaufman, Amie ",125
"Lagercrantz, David ",122
"Kennedy, Stacey ",122
"Greenwood, Kerry ",122
"Hiebert, Michael ",118
"Macomber, Debbie ",116
"Tamaki, Mariko ",115
"Lehane, Con ",115
"Jones, Lisa Renee ",110
"Morgan, Ann ",109
"Millet, Lydia ",104
"Weissbluth, Marc, M.d. ",101
Disney Book Group (COR),101
"Beckstrand, Jennifer ",100
"Barnes, Julian ",98
" Thayne, RaeAnne ",97
"El-Erian, Mohamed A. ",96
"Brooks, Mike ",94
"Zinn, Howard ",93
"Kendrick, Sharon ",93
"Sharma, Ruchir ",92
"Hartinger, Brent ",92
Scholastic Inc. (COR),91
"Kalban, Rachel ",91
"Talib, Nigma ",91
"Turtledove, Harry ",90
"Okorafor, Nnedi ",90
"Smith, Wilbur A. ",89
"Burnett, Dean ",89
"De Waal, Frans ",88
"Haseldine, Jane ",87
" Maguire, Rachel (ILT)",87
"Brallier, Max ",87
" Kelley, Nichole (ILT)",87
"Collins, Renee ",86
"Toten, Teresa ",84
"Levine, Laura ",84
"Rosett, Sara ",84
"Madison, Holly ",82
"Ryder, Dawn ",81
"Hood, Susan ",78
" Comport, Sally Wern (ILT)",78
"Graham, Lynne ",78
"Yate, Martin ",78
