,0
"Meadows, Daisy ",3470
"Doeden, Matt ",2232
"Kazunas, Ariel ",2209
"Kwan, Kevin ",1901
"Donovan, Sandy ",1517
"Laybourne, Emmy ",1424
"Roth, Veronica ",1302
"Cain, Patrick G. ",1213
" Ripper, Georgie (ILT)",1173
"Macomber, Debbie ",1092
"Masters, Nancy Robinson ",1077
"Mara, Wil ",1033
"Sanderson, Brandon ",931
"Walker, Sally M. ",900
"Landau, Elaine ",844
"Sandberg, Sheryl ",818
"Watson, Tom ",815
" Dominguez, Oliver (ILT)",790
"Kelly, David A. ",790
"Charbonneau, Joelle ",652
"Donaldson, Madeline ",651
"Beaton, M. C. ",625
"Minden, Cecilia ",573
" Roth, Kate ",573
"Sutherland, Tui ",560
"Nobleman, Marc Tyler ",504
" MacDonald, Ross (ILT)",504
"Sandford, John ",486
"Penny, Louise ",465
"Thayer, Nancy ",463
"Hiaasen, Carl ",427
"Frisch, Aaron ",399
"Deuker, Carl ",366
" Weitzman, Ilana ",352
" Benjamin, Alison ",352
" Wright, Mike (ILT)",352
" Green, Rosanne ",352
"Blank, Eva ",352
"Binchy, Maeve ",338
"Storad, Conrad J. ",327
"Mullins, Matt ",325
"Higgins, Nadia ",311
"Schwartz, Heather E. ",308
"Riley, Joelle ",298
"Jones, Darynda ",290
" Irwin, Jane Elizabeth (ILT)",278
" I. Tiede, Dirk (ILT)",278
"Mayhall, Robin ",278
" Cella, Kristen (ILT)",278
"Hannon, Irene ",271
" Reynolds, Peter H. (ILT)",268
"McDonald, Megan ",268
"Warren, Susan May ",246
" Stohl, Margaret ",242
"Garcia, Kami ",242
"Reich, Christopher ",236
"Hilderbrand, Elin ",230
"Donnelly, Jennifer ",220
"Depken, Kristen L. ",216
"Bullard, Lisa ",214
"Strout, Elizabeth ",211
"Pomroy, Haylie ",206
"Shaffer, Jody Jensen ",203
"Murdock, Catherine Gilbert ",195
"Braithwaite, Jill ",194
"MacDonald, John D. ",193
" Koontz, Dean R. (FRW)",193
" Heath, Dan ",182
"Heath, Chip ",182
"Robbins, Trina ",176
"Pettrey, Dani ",175
"Osborne, Mary Pope ",168
"Knox, Ruthie ",152
"Jeffrey, Laura S. ",147
"Fisher, Suzanne Woods ",143
"Amsterdam, Elana ",143
"Bozzo, Linda ",142
"McNeal, Tom ",139
"Marshall, Shelley ",138
" Mahan, Ben (ILT)",138
" Cooper, Floyd (ILT)",133
"Skead, Rob ",133
"Smith, Patrick D. ",133
"Brunstetter, Wanda E. ",132
Martha Stewart Living (COR),130
"Korman, Gordon ",129
"Johnson, Terry Lynn ",123
"Taylor, Laini ",122
" Page, Tyler (ILT)",122
"Fodor's Travel Publications, Inc. (COR)",121
" Studio, ╔lyum (ILT)",121
"Adams, Jane A. ",120
"Duke, Shirley Smith ",117
"Wrecks, Billy ",115
"Harper, Charise Mericle ",112
Avi ,111
"Wright, Lawrence ",109
"Patterson, Richard North ",109
"McCall Smith, Alexander ",109
"Jacobs, Anna ",108
"Kontis, Alethea ",107
"Green, Sara ",107
"Winterbottom, Julie ",105
"Bodden, Valerie ",103
"Mackenzie, Robert J. ",101
" Posada, Mia (ILT)",100
"Markle, Sandra ",100
"Brett, Simon ",98
"Kate, Lauren ",97
" Wummer, Amy (ILT)",97
"Montgomery, Lewis B. ",97
"Felton, Sandra ",92
" Sims, Marsha ",92
"Herbst, Judith ",91
"Gordon-Smith, Dolores ",90
"Miller, Dan ",89
" Jakobsen, Lars (ILT)",88
"Jakobsen, Lars ",88
"Grippando, James ",87
"Sheinkin, Steve ",87
"Cussler, Clive ",87
" Brown, Graham ",87
"Comfort, Alex ",87
"Fforde, Jasper ",86
"Moore, Edward Kelsey ",86
"Greenwood, Kerry ",85
"Aronin, Miriam ",84
"O'Reilly, Bill ",82
"Hautman, Pete ",81
"Soderberg, Alexander ",81
"Laroche, Amelia ",81
"Zinn, Bridget ",81
"Unger, Lisa ",81
"Cabot, Amanda ",81
"O'Farrell, Maggie ",78
"Carson, Mary Kay ",75
"Niven, Felicia Lowenstein ",75
"Tippins, Sherill ",74
"Johansen, Iris ",73
"Awdry, W. ",73
 Random House (COR),72
 Das Grup (ILT),68
" Strayed, Cheryl (EDT)",66
"Atwan, Robert (EDT)",66
"Howard, Kate ",65
 Duendes del Sur (ILT),65
"Carew, Opal ",64
" Berger, Joe (ILT)",62
"Iyer, Raghavan ",62
"Wolf, Dick ",62
"Lyga, Barry ",61
" Courtney, Richard (ILT)",61
"Lower, Wendy ",60
"Brooks, Terry ",59
"Potzsch, Oliver ",58
" Bell, Anthea (TRN)",58
"Cahn, Jonathan ",58
"McClafferty, Carla Killough ",58
" Legramandi, Francesco (ILT)",57
"Quinn, Julia ",57
"Mukherjee, Siddhartha (EDT)",57
" Folger, Tim (EDT)",57
" James, Eloisa ",57
Lonely Planet Publications (COR),57
"Millan, Cesar ",56
 Golden Books Publishing Company (COR),55
"Bock, Darrell L. ",54
" Nu Studio, Xian (ILT)",54
" Geneviev Ota, Yuko (ILT)",54
" Simon, Ute (ILT)",54
