,0
" Degrand, David ",4349
"Kloepfer, John ",4349
"Peirce, Lincoln ",2391
"Winerip, Michael ",2272
"Maas, Sarah J. ",1969
"Ollhoff, Jim ",1534
"Charbonneau, Joelle ",1488
"Zimmern, Andrew ",1292
"Cooney, Caroline B. ",1280
"Ford, Michael ",1100
"Webb, Sarah ",1002
" Barton, Patrice (ILT)",998
"Cheng, Andrea ",996
"Hanson, Anders ",859
" Mann, Elissa ",859
"Tieck, Sarah ",792
"Seidel, Jeff ",732
" Sweet, Melissa (ILT)",708
"Bryant, Jen ",708
"Cass, Kiera ",707
" Blackall, Sophie (ILT)",686
"Barrows, Annie ",686
"Watts, Jeri ",680
"Hamilton, John ",601
"Vaught, Susan ",581
"Edwards, Nicholas ",549
"Schreiber, Joe ",548
" Smith, Matt (ILT)",548
"Harris, Ashley Rae ",459
"Cole, Stephen ",458
Creative Digital (COR),447
"Jones, Diana Wynne ",404
"Wheeler, Jill C. ",395
"Kenner, J. ",372
"Robb, J. D. ",351
"Berenstain, Stan ",346
"Lewis, C. S. ",346
" Berenstain, Jan ",346
"Harvey, Alyxandra ",346
"Saunders, George ",319
"Sotomayor, Sonia ",315
"Bloomberg, Georgina ",309
" Hapka, Catherine ",309
" Baynes, Pauline (ILT)",302
"Pearce, Kate ",300
"Winspear, Jacqueline ",285
"Griffiths, Elly ",285
"Milchman, Jenny ",281
"Ferris, Jean ",265
"Davies, Jacqueline ",265
"Hart, Megan ",262
" Jessell, Tim (ILT)",259
"Klimo, Kate ",254
"Wecker, Helene ",243
 Random House (COR),236
"Worth, Jennifer ",230
"Spinelli, Jerry ",228
"Busby, Cylin ",226
"Marino, Nan ",225
" Riggs, Kate ",224
"Vanderpool, Clare ",216
"Cornwell, Bernard ",211
"Halpern, Julie ",208
"Timberlake, Amy ",208
Seventeen ,199
"Soffer, Jessica ",197
"Man-Kong, Mary ",187
"Lafevers, Robin ",182
" Duarte, Judy ",177
"Macomber, Debbie ",177
" Lamb, Cathy ",177
" Carter, Mary ",177
"Wissinger, Tamera Will ",176
" Cordell, Matthew (ILT)",176
"Camus, Albert ",175
"Lewis, Beverly ",172
"Owings, Lisa ",171
"Bryson, Bill ",171
Meomi ,169
"Webster, Christy ",169
"Haworth, Danette ",162
"Tolkien, J. R. R. ",158
" Scott, Justin ",157
"Cussler, Clive ",157
"Carroll, Lewis ",156
"Hesse, Karen ",154
" Riley, Kellee (ILT)",153
"Bauer, Joan ",146
"Banks, Maya ",143
"Dickerson, Melanie ",140
"Lipman, Elinor ",137
"Feehan, Christine ",137
"Peterson, Tracie ",136
"Paulsen, Gary ",134
" Paulsen, Jim ",134
"Martin, Ann M. ",133
"Fossum, Karin ",127
"Bordo, Susan ",126
"Krentz, Jayne Ann ",125
"Walker, Julie Ann ",124
" Dormer, Frank W. (ILT)",124
"Trine, Greg ",124
"Engle, Margarita ",123
" Baynes, Pauline ",119
Disney Book Group (COR),116
"Adamson, Heather ",114
"Brennan, Herbie ",114
" Frisch, Aaron ",112
Mometrix Test Prep Team (COR),110
"Tolstoy, Leo ",109
" Maude, Louise Shanks (TRN)",109
" Maude, Aylmer (TRN)",109
"Bloome, Indigo ",108
"Dick, Philip K. ",107
"Taylor, Brad ",106
"Markham, Beryl ",96
"Krulik, Nancy E. ",95
 John And Wendy (ILT),95
"Aikman, Becky ",95
" Volokhonsky, Larissa (TRN)",94
" Pevear, Richard (TRN)",94
"Dostoyevsky, Fyodor ",94
"Heppermann, Christine ",93
 Golden Books Publishing Company (COR),92
"Theroux, Paul ",91
"Vande Velde, Vivian ",91
"Tillworth, Mary ",88
"Chin, Oliver ",84
"Awdry, W. ",81
"Grant, K. M. ",81
Seventeen (EDT),80
"Clare, Cassandra ",79
"Singh, Nalini ",77
" Bodden, Valerie ",77
"Florand, Laura ",76
"Gresham, Douglas ",75
"Copeland, Lori ",73
" Smith, Virginia ",73
"Miller, Derek ",69
"Ephron, Nora ",68
"Riley, Zach ",67
"Harper, Charise Mericle ",66
"Freethy, Barbara ",65
"Flynn, Gillian ",65
"Wilson, Robert ",65
"Rupp, Rebecca ",65
"Hugo, Victor ",64
"Carlson, Melody A. ",63
"Ashton, Jeff ",63
"Giff, Patricia Reilly ",62
"Lyne, Jennifer H. ",60
"Brody, Frances ",60
"Jackson, Corrine ",60
"Gitlin, Marty ",57
"Sundin, Sarah ",57
"Kidder, Tracy ",56
" Todd, Richard ",56
"Smith, Andrew ",54
"Rohr, Richard ",53
"Mansbach, Adam ",53
" Cortés, Ricardo (ILT)",53
" Courtney, Richard (ILT)",52
"Shusterman, Neal ",51
"Hamen, Susan E. ",51
"Strasser, Todd ",50
"La Valley, Josanne ",50
Golden Books Publishing Company (COR),49
"Lem, Stanislaw ",48
"Shirvington, Jessica ",48
"Patterson, Valerie O. ",48
"Collamer, Nancy ",46
" Pelzel, Raquel ",45
"Jinich, Pati ",45
