,0
"Wolff, Michael ",2425
"Patterson, James ",896
"Hannah, Kristin ",769
"Knoll, Jessica ",431
"Ware, Ruth ",428
" Pekkanen, Sarah ",413
"Hendricks, Greer ",413
"Comey, James ",400
"Moyes, Jojo ",368
"Benedict, Marie ",361
"King, Stephen ",347
"Scottoline, Lisa ",344
" Bobb, Jeremy ",344
"Baldacci, David ",344
" Brewer, Kyf ",335
"Gookin, Dan ",320
" Muhr, Judith ",303
"Laurence, Tiana ",303
"Hoddinott, Brenda ",263
"Harper, Jane ",262
"Woods, Stuart ",234
" Paetro, Maxine ",227
"Pilkey, Dav ",226
" Pilkey, Dav (ILT)",221
" Jones, Rees ",219
"Evans, Richard Paul ",217
"Berger, William E. ",215
"Weisberger, Lauren ",212
"Weiss, Martin ",205
"Feeney, Alice ",204
"Macomber, Debbie ",200
" Cook, Mike ",192
"McManus, Sean ",192
"Lippman, Laura ",188
" Bennett, Susan ",188
" Patterson, James ",185
"Monroe, Mary Alice ",182
"Clinton, Bill ",174
"Mallery, Susan ",168
"Adeyemi, Tomi ",160
" Davies, Caitlin ",157
"Swanson, Cynthia ",154
"Frazier, Charles ",148
"Yates, Christopher J. ",146
" Sirois, Tanya Eby ",143
" Schure, Pamela ",135
"Lawley, Brian ",135
"Backman, Fredrik ",133
"Connolly, John ",132
"Andrews, Mary Kay ",131
"Jewell, Lisa ",130
" Duff, Helen ",130
"Rosenfelt, David ",117
"Flanders, Cait ",116
"Ward, J. R. ",113
"Graham, Heather ",111
"Gerken, Wolfgang ",108
"Deaver, Jeffery ",107
" Ballerini, Edoardo ",107
"Strawser, Jessica ",104
"Simon, Seymour ",102
"Parrish, Roan ",101
"Paris, B. A. ",100
"Finn, A. J. ",99
"Palmer, Diana ",96
" Lys, Nora (TRN)",96
"Preston, Douglas ",95
" Child, Lincoln ",95
"Kingsbury, Karen ",93
Lonely Planet Publications (COR),91
"Kushner, Rachel ",90
"Albert, Melissa ",90
"Margolin, Phillip ",87
"Neggers, Carla ",86
"Meacham, Jon ",85
"Yates, Maisey ",84
"Bortenlänger, Christine ",82
" Kirstein, Ulrich ",82
"Inman, John ",82
"Itzkoff, Dave ",81
"Tapper, Jake ",81
"Berry, Steve ",81
"Hiaasen, Carl ",78
"Sedaris, David ",76
" Petkoff, Robert ",75
"Carreyrou, John ",75
"Deary, Terry ",74
"Child, Lee ",74
"Daugherty, Christi ",72
" Wilke, Melina (TRN)",72
"Mortimer, Carole ",72
"Crane, Genevieve Sly ",70
"Layton, Mark C. ",70
"Amely, Tobias ",70
"Dallas, Sandra ",68
"Miller, Madeline ",68
" Häuptle-Barceló, Marianne ",67
Pinhok Languages (COR),67
"Görrissen, Margarita ",67
"Wiggs, Susan ",66
" Keteyian, Armen ",64
"Shalvis, Jill ",64
"Benedict, Jeff ",64
"Legrand, Claire ",64
"Lane, Karly ",64
"Fox, Candice ",63
"Brown, Dan ",61
"Hart, John ",61
"Schwabe, Rainer W. ",60
"Albert, Susan Wittig ",60
"Morris, Heather ",60
" Braun, Karl ",60
"Hilderbrand, Elin ",60
" Chast, Roz (ILT)",60
"Leland, John ",57
"Rowling, J. K. ",57
"Farrow, Ronan ",56
" Weeks, Perdita ",56
" Tomski, Michael (TRN)",56
"Kantar, Eddie ",56
"Palmer, Michael ",55
" Palmer, Daniel ",55
"Rao, Shobha ",54
"Reich, Robert B. ",54
"Ruderich, Raimund ",54
"Pekkanen, Sarah ",53
"Koryta, Michael ",53
"Nugent, Liz ",52
"Maas, Sarah J. ",52
"Calmes, Mary ",50
"Isikoff, Michael ",50
"Magnusson, Margareta ",50
" Corn, David ",50
"Strohm, Stephanie Kate ",49
"Butcher, Jim ",49
"Clayton, Dhonielle ",49
"Burd, Barry A. ",48
"Preston, Natasha ",48
"Mosconi, Lisa ",48
"Hillier, Jennifer ",48
" Harding, Jeff ",48
"Poeppel, Amy ",48
"Menon, Sandhya ",47
"Doerr, John ",47
"Tarshis, Lauren ",47
"Nijkamp, Marieke ",46
"Jeffries, Sabrina ",46
"Gerritsen, Tess ",46
"McGarry, Katie ",45
"Center, Katherine ",44
"Roth, Veronica ",44
 Various ,44
"Hurley-moore, Nicole ",44
America's Test Kitchen (COR),43
" Klett, Elizabeth ",43
"London, Stefanie ",43
"Mullins, Olivia J. ",42
"Wells, Maggie ",42
"Shepard, Sara ",42
"Smith, Ronald L. ",42
"Kenyon, Sherrilyn ",42
"Carter, Jimmy ",41
"Breen, Derek ",41
"Hayden, Michael V. ",41
" Atkinson, Brett ",41
" Ash, Greyson ",40
"Stapley, Marissa ",40
"Hari, Johann ",40
"McAnulty, Stacy ",40
"Lynch, Rachel ",40
"Malone, Lily ",40
"Colgan, Jenny ",39
"Kiely, Brendan ",39
"Milchman, Jenny ",38
"Harding, Luke ",38
" Duerden, Susan ",38
"Maden, Mike ",38
"Arnold, Caroline ",38
"Young, Adrienne ",38
"James, Eloisa ",38
" Graham, Holter ",37
"Tunnell, Michael O. ",37
"Cussler, Clive ",37
" White, Karen ",37
"Coben, Harlan ",37
"King, Gayle ",37
"French, Nicci ",37
"Armstrong, Kelley ",36
"Berne, Emma Carlson ",36
"Goff, Bob ",36
"Teagan, Erin ",36
"Riordan, Rick ",36
" Plummer, Therese ",36
"Buckley, Christopher ",36
" Willis, Stephanie ",35
"Hoang, Helen ",35
"Bramley, Cathy ",35
"Sedoti, Chelsea ",35
"McCauley, Stephen ",35
"Levenseller, Tricia ",35
"Fredericks, Mariah ",35
"Bruel, Nick ",35
"Hall, Araminta ",35
"Thayne, RaeAnne ",35
" Simons, Teresa (TRN)",34
"Hepworth, Sally ",34
"Flanagan, Richard ",34
"Garber, Stephanie ",34
" Truman, Lucy (ILT)",34
"Sala, Sharon ",34
"Dolan, Eva ",34
" Hewett, Richard (PHT)",33
"Chupeco, Rin ",33
"Garcia, Kami ",33
"Hayley, Elizabeth ",33
"Bracken, Alexandra ",32
"Farell, Warren, Ph.d. ",32
"Burke, Sue ",32
"Mlynowski, Sarah ",32
"Ashcraft, Tami Oldham ",32
"Sanders, Ella ",32
"Carroll, Leslie ",32
"Hauck, Rachel ",32
" Gray, John, Ph.D. ",32
" Rodino, Heather ",32
" O'Day, Devon ",31
"Barnett, Mac ",31
" Cornell, Kevin (ILT)",31
" John, Jory ",31
 Charlotte North (COR),31
"Laurenston, Shelly ",30
" Kensington, Kasha ",30
"Lynch, Christina ",30
"Roberts, Sheila ",30
"Damore, Leo ",30
"Levinson, Marilyn ",29
"Crosley, Sloane ",29
"Eisenbarth, Peter ",29
"Nielsen, Jennifer A. ",29
"Perry, Karen ",29
"Abrahamson, Emmy ",29
"Gaughen, A. C. ",29
"Stacey, Shannon ",29
"Carter, Ally ",29
" Ahl, Marion ",28
"Sisson, Mark ",28
"Reynolds, Anthony ",28
" Moreau, Christie ",28
" Davis, Sampson ",28
"Bouchet, Amanda ",28
"Clinton, Chelsea ",28
"Jeter, Sharlee ",28
"Owen, Andrea ",28
"Stiefvater, Maggie ",28
" West, Steve ",28
"Witt, L. A. ",27
" Fisher, David ",27
"Abrams, Dan ",27
"Simone, Sierra ",27
"Purman, Victoria ",27
"Sanders, Ben ",26
"Yang, Jimmy O. ",26
"MacManus, James ",26
" Reifgens, Heike (TRN)",26
"Smith, Wilbur A. ",26
"Citro, Asia ",25
"Haig, Matt ",25
"Jordan, Penny ",25
"Novak, Brenda ",25
" Riddell, Chris (ILT)",25
Daily Books (COR),25
"Dasgupta, Sayantani ",25
"Mailhot, Terese Marie ",25
"Heinicke, Thomas ",25
" Lindsay, Marion (ILT)",25
" Page, Larry (FRW)",25
"Lloyd, Amy ",25
"London, Julia ",25
"Harper, Karen ",25
"Helm, Nicole ",25
"Pataki, Allison ",24
"Simon, Coco ",24
"Coffey, Frank ",24
"Graham, Billy ",24
"Manning, Ivy ",24
" Myracle, Lauren ",24
"Phelps, M. William ",24
" Layden, Joseph ",24
"Oliver, Jamie ",24
" Jenkins, Emily ",24
" Grobleben, Jutta (TRN)",24
"Burke, Anna Celeste ",24
" Rage, Elias (TRN)",24
" Mitchell, Rebecca ",24
"Palmieri, Jennifer ",24
"Michaels, Fern ",24
"Francis, Pope ",23
"Denton, Lauren K. ",23
"Reid, Michelle ",23
" Burcell, Robin ",23
Der Querleser (COR),23
" Taylor, Lindsay ",23
" Mcgowan, Layla ",23
"Sheehan-Miles, Charles ",23
"Kidd, Jess ",23
" McMorris, Kelley (ILT)",23
" McNab, Ashford ",23
"Duchovny, David ",23
"Dane, Lauren ",22
" Butler, Stuart ",22
"Ehrenreich, Barbara ",22
"Joukhadar, Jennifer Zeynab ",22
"Allende, Isabel ",22
"Bennett, Jenn ",22
"Fallows, James ",22
"Meader, Kate ",22
" Bandele, Asha ",22
"Khan-Cullors, Patrisse ",22
"Hunt, Lindsay Maitland ",22
"Hilburn, Robert ",22
" Fallows, Deborah ",22
" Johansson, Vanessa ",22
"Greer, Andrew Sean ",22
"Brunstetter, Wanda E. ",21
" Hardin, Lara Love ",21
"Kilmartin, Laurie ",21
"Hinton, Anthony Ray ",21
"Goldman, Matt ",21
"Tracy, P. J. ",21
"Pearson, Allison ",21
"Harris, Robert ",21
"Francis, Wendy ",21
"Sandford, John ",21
" Warren, Rick (AFT)",21
" Kendrick, Dennis (ILT)",21
"Grimes, Martha ",21
"Turton, Stuart ",21
" Adam, Vikas ",21
"Sarvas, Mark ",21
"Le Carre, John ",21
" Ellison, J. T. ",20
"Coulter, Catherine ",20
Insight Guides (COR),20
"Malcolm, Mary ",20
"St. Claire, Francesca ",20
"Mirza, Fatima Farheen ",20
"Coble, Colleen ",20
" Keller, E. G. (ILT)",20
"Twist, Jill ",20
"Dybek, Nick ",20
"Blum, Yoav ",20
"Skye, Obert ",20
"Bailey, Mark ",20
" Bundo, Marlon ",20
"La Plante, Lynda ",20
"Ford, Holly ",20
"Hett, Benjamin Carter ",20
"Carnevale, Vanessa ",20
"Woodhouse, Kimberley ",20
"Pettus, Charlton ",20
"Querleser, Der ",20
" Bentley, Amy Melissa ",20
"Morton, Andrew ",20
"Hendriksen, Ellen ",20
"Swick, Ed ",20
"Maier, Halina ",19
"Box, C. J. ",19
"Rhodes, Ben ",19
"Gonzalez, Christina Diaz ",19
"Holzner, Dieter ",19
"Kagawa, Julie ",19
"Hunter, C. C. ",19
"Hanks, Tom ",19
" Daniels, Luke ",19
" Bainbridge, James ",19
" Holzner, Karsten ",19
" Hardwick, Charlie ",19
"Ruggle, Katie ",19
"Jemisin, N. K. ",19
"Carlan, Audrey ",19
"Lewis, Susan ",19
" Arndt, Andi ",19
"Freeman, Brian ",19
"Ham, Anthony ",19
"Lowe, Fiona ",19
"Jamison, Leslie ",19
"Keyes, Marian ",19
"Fellowes, Jessica ",19
"Ramos, Jorge ",19
"Cleeves, Ann ",19
" Slaven, Scott ",18
"Stilton, Geronimo ",18
"Powers, Kevin ",18
"Forester, Amanda ",18
"Costeloe, Diney ",18
"Loren, Roni ",18
" Whelan, Julia ",18
"Shipman, Viola ",18
"Gale, Avon ",18
"Kardos, Michael ",18
"Roberts, Nora ",18
" Gideon, Ann Marie ",18
"King, Janna ",18
"Spinelli, Robert ",18
"Patton, Shirley ",18
"Zahn, Timothy ",18
"Mott, Jason ",18
"Ross, JoAnn ",18
"Holmes, Jenny ",18
"Graison, Lily ",17
"Cameron, Marc ",17
"Cron, Ian Morgan ",17
"Fergus, Denise ",17
"MacDonald, Patricia ",17
"Young, Matt ",17
"Walker, Shiloh ",17
"Taraborrelli, J. Randy ",17
"Johnstone, William W. ",17
" Stabile, Suzanne ",17
"Grace, Annie ",17
"Lieberman, David J., Ph.D. ",17
"Chozick, Amy ",17
"March, Meghan ",17
"Jackson, Brenda ",17
"Hurwitz, Johanna ",17
" Lee, Ann Marie ",17
"Dorling Kindersley, Inc. (COR)",16
"Picciolini, Christian ",16
" Armstrong, Kate ",16
"Weber, Carl ",16
"Rylant, Cynthia ",16
" Watt, Will M. ",16
Retta ,16
"Park, Tony ",16
"Chmerkovskiy, Valentin ",16
"Allnutt, Luke ",16
"Talbott, Hudson ",16
" Hunt, La Jill ",16
" Spooner, Meagan ",16
"Hein, Cathryn ",16
"Graeber, David ",16
"Bowen, Kelly ",16
"Kaufman, Amie ",16
"O'Connor, George ",15
"Aarssen, Cassandra ",15
"Cunnane, Pat ",15
"Heath, Jack ",15
"Lovering, Carola ",15
"Bader, Bonnie ",15
"Delinsky, Barbara ",15
"Clifford, M. Amos ",15
"Snyder, Stephen, M.d. ",15
" Bender, Andrew ",15
"Harris, Gabrielle ",15
" Porter, Connie ",15
"Masterton, Graham ",15
"Martin, George ",15
"Goldberg, Leonard ",15
"Martin, Kat ",15
"Harris, Sarah J. ",15
"Holt, Anne ",15
"Malpas, Jodi Ellen ",15
"Thomas, August ",15
"London, Jack ",15
"Greene-Dowdell, Shani ",15
"McLayne, Alyson ",14
 Artful Doodlers Ltd. (ILT),14
"Slajerova, Martina ",14
