,0
"Patterson, James ",3890
"Kellerman, Jonathan ",1318
"Steel, Danielle ",1135
" Fox, Candice ",990
"Gardner, Lisa ",979
"Osborne, Mary Pope ",977
"Westover, Tara ",952
"Fielding, Joy ",755
"Mallery, Susan ",747
"Shalvis, Jill ",708
"Kinsella, Sophie ",631
"Higgins, Kristan ",576
"Meltzer, Brad ",542
"Slaughter, Karin ",541
"Todd, Charles ",494
" Harvkey, Mike (CON)",487
" Abramovich, Alex ",487
"Burke, Alafair ",484
"Fluke, Joanne ",468
" Joseph, Alison (CON)",464
"Bishop, Gary John ",447
"Slimani, Leila ",444
"Graham, Heather ",433
"Haddish, Tiffany ",432
"Bradley, Alan ",407
"Deveraux, Jude ",405
"Dailey, Janet ",399
" Clinton, Bill ",383
"McNamara, Michelle ",378
"Molloy, Aimee ",368
"Guillory, Jasmine ",359
"Haig, Matt ",334
"Berenson, Alex ",331
"Hartwig, Melissa ",308
"Frank, Dorothea Benton ",306
" Paetro, Maxine ",303
"James, P. D. ",296
"Tudor, C. J. ",295
"Bradford, Barbara Taylor ",294
"Greaney, Mark ",282
"Meissner, Susan ",277
"Elliott, Lexie ",267
"Rose, Karen ",260
"Goodman, Joanna ",256
"Mangan, Christine ",254
"Spindler, Erica ",229
" Thurston, Charlie ",223
"Kellerman, Faye ",223
"Green, Joshua ",220
"Grippando, James ",218
"Harari, Yuval Noah ",214
"Cleveland, Karen ",210
"Feehan, Christine ",205
" Prebble, Simon ",202
"Bowler, Kate ",201
"West, Kasie ",198
"Lewis, Beverly ",188
"Pink, Daniel H. ",184
"Harper, Jane ",182
" Dubois, Brendan ",179
"Halpern, Sue ",178
"Beaton, M. C. ",175
"Pilkey, Dav ",170
"Mosley, Walter ",169
"Quinn, Julia ",165
"Graves, Sarah ",165
"Neggers, Carla ",165
"Menon, Sandhya ",155
"Eggers, Dave ",151
"Martin, Kat ",150
"Gardiner, Meg ",145
"Roth, Veronica ",144
"Heath, Lorraine ",141
"McCarten, Anthony ",139
"Navin, Rhiannon ",138
" Ziblatt, Daniel ",136
"Schaffhausen, Joanna ",136
"Greger, Michael, M.D. ",135
" Stone, Gene ",135
"Jackson, Brenda ",134
"Fox, Candice ",132
"Macy, Caitlin ",132
"Leigh, Lora ",129
The Late Show With Stephen Colbert ,128
"Mamet, David ",126
"Dorling Kindersley, Inc. (COR)",125
"Elgar, Emily ",125
"Klassen, Julie ",124
"O'Farrell, Maggie ",123
Lonely Planet Publications (COR),123
"Albright, Madeleine Korbel ",121
" Tanzi, Rudolph E. ",117
"Chopra, Deepak ",117
"Aveyard, Victoria ",114
"Kaku, Michio ",114
"Peterson, Tracie ",113
"Bell, Ted ",112
"Henderson, Susan ",112
"Bardugo, Leigh ",111
" Kipin, Sara (ILT)",111
"Johnson, Maureen ",109
"Bennett, Sawyer ",108
"Wiking, Meik ",108
"Sweterlitsch, Tom ",106
"Anderson, M. T. ",102
" Kemp, Peter ",101
"Blaedel, Sara ",98
"Holland, Sara ",98
"Levitsky, Steven ",96
"Frum, David ",94
"Kinney, Jeff ",93
"Bracht, Mary Lynn ",92
"Hunt, Tom ",92
"Horowitz, Anthony ",91
"Allnutt, Luke ",90
" Dean, James (ILT)",90
