,0
"Picoult, Jodi ",3275
"Patterson, James ",2713
"Kelly, Martha Hall ",2285
" Mccarter, Jeremy ",1006
"Miranda, Lin-Manuel ",1006
"Davis, Fiona ",850
"Donoghue, Emma ",804
" Sullivan, Mark ",758
"Macomber, Debbie ",755
"Woods, Stuart ",735
"King, Stephen ",663
"Jahren, Hope ",634
"Gregory, Philippa ",545
"Korte, Steve ",545
"Johansen, Iris ",530
"Dare, Tessa ",515
"Hooper, Kay ",443
"Cooper, Anderson ",414
" Vanderbilt, Gloria ",414
"MacNeal, Susan Elia ",411
"Buxbaum, Julie ",410
"Mead, Richelle ",401
"Pearson, Mary E. ",374
"Hannon, Irene ",371
"Taylor, Laini ",362
"Shalvis, Jill ",357
Lonely Planet Publications (COR),356
"Kery, Beth ",349
"Peterson, Tracie ",301
"Sands, Lynsay ",296
"Andrews, Ilona ",289
"Fisher, Carrie ",280
"DiCamillo, Kate ",278
"Shurtliff, Liesl ",278
"Lu, Marie ",273
"Witemeyer, Karen ",270
"Brody, Jessica ",268
"Martin-Lugand, Agnes ",267
"Newport, Cal ",262
"Hesse, Monica ",259
"Thomas, Sherry ",257
"Grabenstein, Chris ",256
"Carlson, Melody ",240
"Cozzo, Karole ",239
"Brower, Kate Andersen ",223
"Huffington, Arianna ",213
"Brown, Alton ",210
"Gibbs, Stuart ",208
"Goslee, S. J. ",207
"Zeiger, James ",207
"Stephens-Davidowitz, Seth ",206
"McDonough, Yona Zeldis ",206
"Timmer, Julie Lawson ",199
"Cooper, Abby ",198
"Leigh, Lora ",194
"Camden, Elizabeth ",193
"Adams, Leigh ",190
"Oliver, Lauren ",189
"Robotham, Michael ",185
"Brown, Carolyn ",180
"Palacio, R. J. ",176
"Bailey, Tessa ",175
" Christiani, Kerry ",174
"Bass, Jefferson ",170
"Elliott, Rob ",168
"Cook, Eileen ",167
"Rosenfelt, David ",167
"Gray, Shelley Shepard ",166
"Thomas, Sarah Loudin ",165
"Lin, Grace ",163
"Ewing, Amy ",159
"Fisher, Suzanne Woods ",158
"Randel, Weina Dai ",157
"Guskin, Sharon ",156
"Lupica, Mike ",156
"Green, Tim ",150
"Gray, Lucinda ",147
"Oke, Janette ",144
" Logan, Laurel Oke ",144
"Riordan, Rick ",142
"Donovan, Kemper ",141
" Blasi, Abigail ",139
" Clark, Gregor ",137
" Bonetto, Cristian ",137
"Tracy, Brian ",135
"Reichs, Kathy ",135
" Johnston, Aaron ",134
"Card, Orson Scott ",134
"McGinnis, Mindy ",132
"Chomsky, Noam ",132
"Kenner, Julie ",130
"Oakes, Cory Putman ",129
"Blum, Howard ",129
"McPherson, Catriona ",128
"Brown, Holly ",126
"Galdorisi, George ",125
"Cruikshank, Tiffany ",124
"Peck, Richard ",124
"Berry, Julie ",122
"Byrne, Kerrigan ",122
" Berry, Julie Gardner ",122
"Denault, Victoria ",122
"Byrne, Rhonda ",121
"Bromberg, K. ",119
"Jones, Carrie ",117
"Ranney, Karen ",113
"Phelan, Thomas W. ",109
"Carson, Rae ",108
" Hendrix, John (ILT)",108
"Harvey, Steve ",108
"Andrews, Donna ",106
"Banks, Maya A. ",104
"McQuiston, Jennifer ",103
"Castillo, Linda ",99
"English, Christy ",99
"MacIntyre, Ben ",97
"Beverly, Bill ",96
"Johnston, E. K. ",96
"Gonzales, Manuel ",96
"Harbison, Beth ",96
"Barnes, Emily ",95
" Oz, Mehmet, M.D. (FRW)",95
"Breus, Michael ",95
"Blackwell, Lawana ",91
"Jordan, Toni ",91
"Grissom, Kathleen ",90
"Levitin, Daniel J. ",89
"Jennings, Regina ",89
"Priest, Cherie ",89
"Diaz, Cameron ",88
"Mallery, Susan ",88
" Bark, Sandra ",88
"Ward, J. R. ",87
"Childs, Laura ",86
" Moran, Terrie Farley ",86
"Neri, G. ",86
"Mcdaniel, Tiffany ",86
Rough Guides (COR),85
" Dragicevich, Peter ",84
" Harper, Damian ",84
" Filou, Emilie ",84
" Fallon, Steve ",84
"Beaty, Andrea ",83
"Holm, Chris ",83
" Roberts, David (ILT)",83
"Colgan, Jenny ",82
"Me, Tara Sue ",81
"Mcginnis, Patrick J. ",81
"Clark, Mary Higgins ",81
"Lunde, Darrin ",80
" Morris, Steph (TRN)",79
"Rabb, Jonathan ",79
"Conklin, Melanie ",79
"Bock, Charles ",79
"Suter, Martin ",79
"McMillan, Brandon ",78
"Cousteau, Philippe ",77
" Hopkinson, Deborah ",77
"Clare, Jessica ",77
" So, Meilo (ILT)",77
" Scher, Amy B. ",76
" Mikulas, William L. ",76
"Connolly, Sheila ",76
" Butera, Robert ",76
"Deutermann, Peter T. ",76
"Wilde, Lori ",76
"Beckwith, Michael Bernard ",76
" Byron, Erin ",76
"Lackey, Mercedes ",76
"Shakespeare, William ",75
"Kirkman, Jen ",75
"Montgomery, Sy ",75
" Ellenbogen, Keith (PHT)",75
"McGuire, Seanan ",73
"Andrews, Jesse ",72
"Cross, Mason ",71
"Simonson, Helen ",71
"Wu, Tim ",71
"Boilen, Bob ",71
"Tippett, Krista ",71
"Lawrenson, Deborah ",70
"Stahl, Lesley ",70
"Hanauer, Cathi ",70
"Fox, Janet ",69
 Gearbox (COR),69
Various ,69
"Roth, Philip ",68
"Freeman, Don ",68
"Eckel, Wendy Sand ",68
"Winters, Cat ",67
"Hunter, Kristi Ann ",67
"Fuhrman, Joel ",67
"Paige, Danielle ",66
"Davies, Jacqueline ",64
"Lorret, Vivienne ",64
"Toibin, Colm ",64
"Arnold, David ",63
"Woodsmall, Cindy ",62
" Reichs, Brendan ",62
" Balit, Christina (ILT)",61
"Napoli, Donna Jo ",61
"Connealy, Mary ",60
"Bylin, Victoria ",60
" Pettrey, Dani ",60
" Eason, Lynette ",60
"Henderson, Dee ",60
"Tillman, Laura ",59
"Ashenden, Jackie ",59
"Black, Chuck ",59
"Thomas, Louisa ",59
"Aldrin, Buzz ",58
"Christie, Agatha ",58
"Brown, Dan ",58
"Everett, Sarah ",57
"Quinn, Paula ",57
"Hanlon, Abby ",56
"Tennent, Cynthia ",56
"Thore, Whitney Way ",55
"Freedman, Russell ",55
"Livesey, Margot ",55
" Hassan, Hassan ",55
"Gabhart, A. H. ",55
"Flynn, Vince ",55
"Weiss, Michael ",55
"Crawford, Susan ",55
"Gleick, James ",54
"Rosoff, Meg ",54
"Carlsen, William ",54
"Bates, H. E. ",53
"Wexler, Django ",53
"Brown, Jeff ",53
"Allen, David ",53
" Pamintuan, Macky (ILT)",53
"Vidich, Paul ",52
"Chance, Karen ",52
"Willner, Nina ",52
"Reid, Ruth ",52
"Hodge, Rosamund ",52
"Puig, Yvonne Georgina ",52
"Coleman, Ashley ",51
" Coleman, JaQuavis ",51
"Reyn, Irina ",51
"Warner, Kaki ",50
"Zeisler, Andi ",50
"Lyons, Dan ",50
"Arlidge, M. J. ",50
"Grant, Mira ",49
"Montgomery, L. M. ",49
"Eason, Lynette ",48
" Miller, Tim (ILT)",48
"Prince, April Jones ",48
"Deaver, Jeffery ",48
"Brown, Sandra ",48
"Beazley, Lisa ",48
"Passan, Jeff ",48
"Hopkinson, Deborah ",48
"O'Donnell, Tom ",48
"Zink, Nell ",48
"Collins, Billy ",47
"Armstrong, Kelley ",47
"Wade, Becky ",47
"Schatz, Kate ",46
 Who Hq (COR),46
" Hinderliter, John (ILT)",46
"Medina, Nico ",46
" Stahl, Miriam Klein (ILT)",46
" Chapman, Vannetta ",45
"Weiss, Kirsten ",45
" Irvin, Kelly ",45
"Binchy, Maeve ",45
"Clipston, Amy ",45
"Cerato, Mattia ",45
"King, A.s. ",45
" Graham, Lynne ",45
"Kendrick, Sharon ",45
"Burke, James Lee ",45
" Gregory, A. J. ",44
"Levin, Yuval ",44
"Chilton, Ski ",44
"Gulley, Philip ",44
"Kurtagich, Dawn ",44
"Harris, Lisa ",44
" Rukstalis, Margaret ",44
"Billis, Stacie ",43
"Casarett, David ",43
"Parkes, Clara ",43
"Rindell, Suzanne ",43
"Armentrout, Jennifer L. ",43
"March, Meghan ",43
"Belviso, Meg ",43
" Pollack, Pamela ",43
"Clark, Duncan ",42
"Foster, Amy S. ",42
"Noyes, Deborah ",42
"Thier, Robert ",42
"Coh, Smiljana ",42
"Budewitz, Leslie ",41
"Rau, Dana Meachen ",40
"Cosby, Diana ",40
"Hughes, Anita ",40
"Gioia, Ted ",40
"Bouwman, H. M. ",40
" Shimizu, Yuko (ILT)",40
"Johnson, Christine ",40
" Ham, Anthony ",39
"Preston, John ",39
"Maggs, Sam ",39
"Beckett, Sparrow ",39
"Jordan, Neil ",39
"Vonn, Lindsey ",39
" Rodwell, Timothy (PHT)",38
"Dorling Kindersley, Inc. (COR)",38
"Griffin, Ella ",38
"Cabrera, Jane ",38
"O'Connell, Caitlin ",38
"Wise, Stacy ",37
"Hart, Carolyn ",37
"Arce, Julissa ",37
" Tresniowski, Alex ",37
"McVea, Crystal ",37
"Yates, Maisey ",37
"Hunt, Angela Elwell ",36
" Gross-Loh, Christine ",35
" Biggs, Brian (ILT)",35
"Puett, Michael ",35
"Warner, Sally ",35
"Phelan, Thomas W., Ph.D. ",34
" Larsen, Linda ",34
" Schuler, Judith ",34
"White, Wade Albert ",34
"Wright, Jonathan ",34
"Curtis, Glade B. ",34
"Foote, Shelby ",33
"Landau, Rich ",33
"Tremayne, Peter ",33
" Jacoby, Kate ",33
"Kress, Diane ",33
"Aguirre, Ann ",33
"Blake, Deborah ",33
" Paterson, Anna (TRN)",33
"Case, Steve ",33
"Rotner, Shelley ",33
"Prud'Homme, Alex ",33
"Sem-sandberg, Steve ",33
"Westhoff, Ben ",33
"Pomeroy, Naomi ",32
"Carey, M. R. ",32
"Trillin, Calvin ",32
" Chast, Roz (ILT)",32
"Hay, Ashley ",31
"Spencer, LaVyrle ",31
"Tuchman, Gail ",31
"See, Caylie ",31
" Bing, Alison ",31
"Rylant, Cynthia ",31
"Cushman, Kathryn ",31
"Smith, Sherri L. ",30
Osho ,30
"Erickson, Megan ",30
"Green, Sally ",30
"Keating, Lucy ",30
"Waller, Sharon Biggs ",30
" Brace, Eric ",29
" Bucki, Lisa A. ",29
" Vlahides, John A. ",29
"Street, Pat ",29
" Perry, Gail ",29
"McBride, James ",29
" Benson, Sara ",29
" Lettich, Sheldon ",29
"Thayne, Raeanne ",29
"Shotz, Jennifer Li ",29
"Ringstrom, David H. ",29
"Wolff, Tracy ",29
"Jennings, Holly ",29
" Yakin, Boaz ",29
"Doyle, Arthur Conan, Sir ",28
" Mcdowell, Megan (TRN)",27
"Chabon, Michael ",27
"Zambra, Alejandro ",27
"Ahdieh, Renée ",27
"Primavera, Elise ",27
"Tidhar, Lavie ",27
"Siegel, Kate ",26
"Gibbons, Gail ",26
"Davidson, MaryJanice ",26
"Markovics, Joyce ",26
"Jance, Judith A. ",26
" Johnson-Shelton, Nils ",25
"Warner, Gertrude Chandler ",25
"Hamilton, Ally ",25
" Brawer, Michael ",25
"Walker, Shiloh ",25
"Frey, James ",25
"Howes, Elizabeth ",25
"Sheffield, Robert J. ",25
"Kelley, K. C. ",25
"Mass, Wendy ",25
"Jones, Jennie ",25
