"Blake, Maya ",33
"Zephaniah, Benjamin ",33
"de la Pena, Matt ",32
"Jaffarian, Sue Ann ",32
"Bernard, Catherine ",31
"Wyckoff, Edwin Brit ",31
"Jordan, Denise M. ",31
"Winokur, Jon ",30
"Pressfield, Steven ",30
"Kent, Deborah ",30
"Lansdale, Joe R. ",30
"Shin, Kyung-Sook ",30
"Dimon, HelenKay ",29
"Coble, Colleen ",29
"Fine, Sarah ",29
"Saval, Nikil ",29
"Humphreys, Sara ",28
"Stein, R. Conrad ",27
" McPhillips, Robert (ILT)",27
"Pike, Christopher ",27
"Harrington, K.a. ",27
"Beckman, Wendy Hart ",27
"Quinn, Jordan ",27
"Schraff, Anne E. ",27
"Webb, Stephen ",26
"Thompson, Victoria ",26
" Runkle, Toni ",26
Smithsonian Institution (COR),26
Hearst ,26
" Pastan, Amy (EDT)",26
"Gould, Francesca ",25
" Coovert, J. P. (ILT)",25
"Landau, Elaine ",25
"Roselius, J. Chris ",25
" Jury, Walter ",25
"Jones, Darynda ",25
"Schone, Robin ",24
"Banks, Maya ",24
"Kelly, Jim ",24
"Kennedy, Kathryne ",24
"Hyde, Catherine Ryan ",23
"Scarsbrook, Richard ",23
"Dotlich, Rebecca Kai ",23
"Hellman, Erik ",22
"London, Alex ",22
"Gilbreth, Frank B. ",22
" Kravetz, Lee Daniel ",22
"Howell, Cate ",22
" Carey, Ernestine Gilbreth ",22
"Jensen, Danielle L. ",22
"Feldman, David B. ",22
"Ashenden, Jackie ",21
" Moraitis, Dimitri ",21
"Mallory, Alex ",21
"Lasky, Kathryn ",21
"Martin, Barbara Y. ",21
" Bernatene, Poly (ILT)",20
"Burrowes, Grace ",20
"Eccles, Marjorie ",20
"West, Jacqueline ",20
"Coulter, Ann H. ",20
"Beasley, David ",20
"Jackson, Brenda ",19
"Rochon, Farrah ",19
"Dexter, Pete ",19
"Cameron, Sharon ",18
"Shirer, Priscilla ",18
" LaBaff, Tom (ILT)",18
" Cross, David ",17
"Hodkin, Michelle ",17
"Echols, Jennifer ",17
"Odenkirk, Bob ",17
"Doctorow, E. L. ",17
"Kent, Zachary ",17
"McGuire, Seanan ",17
"Mofina, Rick ",17
"Coates, Frank ",17
"Goswami, Amit ",17
"Raabe, Emily ",17
" To, Vivienne (ILT)",16
"Fiedler, Lisa ",16
"Romero, Jordan ",16
"Dufresne, Jim ",16
" Finch, Jackie Sheckler ",16
"Howe, Katherine ",16
"Donaldson, Stephen R. ",16
" Leblanc, Linda (CON)",16
"Constable, Cathryn ",15
"Eldridge, Alison ",15
"Mead, Rebecca ",15
"Deen, Bobby ",15
"Hagberg, David ",15
Anonymous ,15
"Meyer, L. A. ",15
" Eldridge, Stephen ",15
"Beil, Michael D. ",15
"Segan, Francine ",15
"Dessaix, Robert ",15
"Albertsson, Alaric ",14
"Harris, Erin Burke ",14
"Swados, Elizabeth ",14
"Bydlowska, Jowita ",14
"McGee, Randel ",14
"Marrin, Albert ",14
"Mour, Stanley I. ",14
"Downie, David ",14
"Labaff, Stephanie ",14
"Bronston, J. M. ",14
"Scotton, Rob ",14
"Gigliotti, Jim ",13
"Lebbon, Tim ",13
"Kirby, Stan ",13
" Haney, Johannah ",13
LearningExpress (EDT),13
" Brokaw, Tom (FRW)",13
"McGregor, Fiona ",13
"Sigurdardottir, Yrsa ",13
"Tang, Camy ",13
" O'Connor, George (ILT)",13
"Patchett, Ann ",13
