,0
"Grisham, John ",7611
"Patterson, James ",2775
"Connelly, Michael ",2716
"Pilkey, Dav ",1470
"Lagercrantz, David ",1390
"Tyson, Neil deGrasse ",1081
"Clinton, Hillary Rodham ",1075
"Scottoline, Lisa ",1065
"Constantine, Liv ",936
"Carr, Robyn ",892
"Holm, Jennifer L. ",867
" Holm, Matthew (ILT)",867
" Charbonnet, Gabrielle (CON)",640
"Roy, Arundhati ",628
"Karon, Jan ",609
"Arnold, Tedd ",546
"Riordan, Rick ",540
"Coleman, Reed Farrel ",529
"Mallery, Susan ",511
"Lapena, Shari ",489
" Mackenzie, Jassy ",392
"Graham, Heather ",367
"Hatmaker, Jen ",336
"Richmond, Michelle ",336
"Pullman, Philip ",329
" Grabenstein, Chris ",325
" Ebbeler, Jeff ",325
" Arnold, Tedd (ILT)",298
"Grabenstein, Chris ",296
"Colgan, Jenny ",292
" Dilallo, Richard ",287
"Sanderson, Brandon ",281
"Tarshis, Lauren ",257
"Brallier, Max ",255
" Weiss, Mitch ",248
" Hamilton, Martha ",248
"Clements, Andrew ",237
"Spindler, Erica ",237
"Jordan, Penny ",237
"Walker, Wendy ",231
"Warren, Elizabeth ",216
"James, Julie ",206
"Rushdie, Salman ",204
"Sachar, Louis ",203
" McCauley, Adam (ILT)",203
"Perelman, Deb ",201
"Chupeco, Rin ",194
"Morgan, Sarah ",192
"Stilton, Geronimo ",191
"Hornak, Francesca ",188
"Lynn, Stacey ",188
"Irby, Samantha ",182
"Adler-Olsen, Jussi ",182
"Waite, Jen ",178
"Feehan, Christine ",172
" Trump, Eric (FRW)",168
"Gingrich, Newt ",168
"Mortimer, Carole ",168
"Kendal, Claire ",167
"Turner, Megan Whalen ",167
"Gross, Andrew ",166
"Smith, Wilbur A. ",165
"Snyder, Timothy ",164
"Applegate, Katherine ",159
"Palmer, Diana ",159
"Adams, Ellery ",154
"Lockhart, E. ",153
" Santat, Dan (ILT)",152
" Pratt, Chris (FRW)",151
"Faris, Anna ",151
"Osborne, Mary Pope ",149
"Macmillan, Gilly ",146
" Bissinger, Buzz ",143
"Jenner, Caitlyn ",143
"Laurens, Stephanie ",142
"Sala, Sharon ",140
"Union, Gabrielle ",139
"Tan, Amy ",139
"Rey, H. A. ",133
"Roberts, Nora ",131
"Miles, Ellen ",129
"Brennan, Allison ",127
" Webb, Heather ",126
"Sánchez, Erikca L. ",126
" Murray, Chad Michael ",126
"Gaynor, Hazel ",126
" Freidson, Michael ",123
"Zinczenko, David ",123
"Singh, Nalini ",121
" Ford, Ag (ILT)",121
"Jones, Noah Z. ",119
"Saujani, Reshma ",117
" Clare, Cassandra ",116
"Black, Holly ",116
"Sasaki, Fumio ",111
" Blabey, Aaron (ILT)",109
"Blabey, Aaron ",109
"Hearne, Kevin ",105
"Fuhrman, Joel ",104
"Tegmark, Max ",100
" Brown, Leah Marie ",98
" Bennett, Jules ",98
"Michaels, Fern ",98
" Fox, Susan ",98
"Walsh, Peter ",97
"Watson, Renée ",96
"Stone, Nic ",94
"Clemmons, Zinzi ",94
"Wilson, Sarah ",94
"Donnelly, Jennifer ",92
"Kincaid, Greg ",91
"Glines, Abbi ",90
"Scott, Susan Holloway ",90
"Bui, Thi ",90
"Showalter, Gena ",90
"Cleeves, Ann ",89
"Henry, Veronica ",87
"Aslan, Reza ",87
" Kim, Chi-Young ",86
"Sunim, Haemin ",86
"Kent, Hannah ",82
"Moore, David Barclay ",81
"Roberts, Sheila ",79
"Lo, Malinda ",79
"Harari, Yuval Noah ",78
"Coble, Colleen ",77
" Goh, Helen ",76
"Grant, Michael ",76
"Ottolenghi, Yotam ",76
"Brightwell, Emily ",72
"Sacks, Oliver W. ",71
"Foster, Lori ",70
"Destefano, Lauren ",69
"D'Souza, Dinesh ",69
"Clark, Mary Higgins ",67
"Garcia, Mayte ",66
"Barnes, Emily ",65
"Bunting, Eve ",65
" Kabat-Zinn, Jon ",63
"Brewer, Judson ",63
"Monroe, Mary Alice ",62
"Lake, Dianne ",62
" Herman, Deborah ",62
"Lucado, Max ",61
"De Robertis, Carolina (EDT)",60
"Dean, Josh ",59
"Macomber, Debbie ",58
"Holden, Wendy ",57
"Jamieson, Kelly ",56
"Meader, Kate ",55
"Fagone, Michelle ",55
"Jacobs, Alan ",54
"Brown, Rita Mae ",54
"Baron, David ",53
"Walker, Shiloh ",53
"Zappa, Shana Muldoon ",52
" Paillot, Jim (ILT)",51
"Gutman, Dan ",51
"McGinnis, Mindy ",51
"Jewell, Lisa ",49
"Ruggle, Katie ",49
"Murphy, Finn ",49
America's Test Kitchen (COR),48
"Elliott, Rebecca ",47
"Dreher, Rod ",46
"McGregor, Jon ",46
" Graves, Jeremy ",46
" Immergut, Matthew, Ph.D. ",46
"Kadish, Rachel ",46
"Culadasa, John Yates, Ph.d. ",46
"Fischer, Jenna ",45
" Carell, Steve (FRW)",45
Disney Press (COR),45
" Bucholz, Dinah (FRW)",44
"Savage, Michael ",44
"Hooper, Kay ",44
"Harrington, Jamie ",44
"Goins, Jeff ",44
"Carbone, Courtney ",43
"Maxwell, Gina L. ",43
" Lichtenheld, Tom (ILT)",43
"Litwin, Eric ",43
"Woods, Sherryl ",42
"Dell, Kari Lynn ",42
"Limbaugh, David ",42
"Boyers, Lindsay ",41
" Goode, J. J. ",40
"Mansell, Jill ",40
" Krasinski, Nicole ",40
"Colbert, Brandy ",40
"Mipham, Sakyong ",40
"Brioza, Stuart ",40
Blue Apron Culinary Team (COR),40
"Warner, Gertrude Chandler ",40
"Waters, Lea ",39
"Frydenborg, Kay ",39
" Bates, Quentin ",39
"Jónasson, Ragnar ",39
"Cagan, Michele ",39
"Daniels, April ",39
" Barry, Kevin M. (ILT)",38
"D’souza, Dinesh ",38
Princeton Review (COR),38
"Reintgen, Scott ",38
"Feldman, Joshua Max ",38
"Novak, Brenda ",37
"Dickinson, Bruce ",37
" Manuali, Tanya Bastianich ",37
" Antonis, Jason De (ILT)",37
"Bastianich, Lidia Matticchio ",37
"Landvik, Lorna ",37
"Kelly, Clinton ",37
"Nhat Hanh, Thich ",37
"James, Miranda ",37
"Craig, Gretchen ",37
"Box, C. J. ",37
"Reck, Jared ",37
"Cattrell, Bailey ",37
"Lysiak, Hilde ",36
"Van Draanen, Wendelin ",36
" Lysiak, Matthew ",36
"Nyberg, Amanda Jean ",36
" Lew-Vriethoff, Joanne (ILT)",36
"Lehrhaupt, Adam ",35
"Doctorow, Cory ",35
"Schaub, Eve ",35
" Kober, Shahar (ILT)",35
"Thayne, RaeAnne ",35
" Pammi, Tara ",35
"March, Meghan ",35
"Rylant, Cynthia ",35
"Bagley, Desmond ",34
"Josefsberg, Liz ",34
"Moore, Jonathan ",34
"Thompson, George J., Ph.D. ",34
" Hudson, Jennifer (FRW)",34
" Thompson, Pam ",34
" Jenkins, Jerry B. ",34
"Connolly, Sheila ",34
" Moore, Denver ",33
" Bray, R. C. ",33
"Hall, Ron ",33
" Vincent, Lynn ",33
"Digregorio, Sarah ",32
"O'Reilly, Tim ",32
"Holt, Anne ",32
"Brown, Jeffrey ",32
"Buyea, Rob ",32
"Murray, Debra ",32
"Checketts, Cami ",32
"Phelps, M. William ",32
"Hansen, Suzy ",32
"Ellicott, Jessica ",32
" Atkins, Andy (ILT)",31
"Loh-Hagan, Virginia ",31
"Cyrus, Kurt ",31
"St Clair, Kassia ",31
"Carbo, Christine ",30
" Murphy, Myatt ",30
"McPherson, Catriona ",30
"Logan, Drew ",30
"MacBride, Stuart ",29
" Molinari, Carlo (ILT)",29
"Wead, Doug ",29
" Boyce, Natalie Pope ",29
"Heyer, Georgette ",29
"Segel, Jason ",28
"Bogle, John C. ",28
" Kwasny, Karl (ILT)",28
"Taylor, Patrick ",28
"Williams, Beatriz ",28
"Freeman, John ",28
"Reeves, Richard V. ",28
Hasbro (COR),28
" Miller, Kirsten ",28
"Assad, Michele Rigby ",27
" Mack, Jeff (ILT)",27
"Feinstein, John ",27
" Alexander, Elizabeth (FRW)",27
"Chagnot, Annie (EDT)",27
"Chamberlin, Holly ",27
" Ikkanda, Emi (EDT)",27
"Pescatore, Fred ",27
"Lovelace, Sharla ",26
" Century, Douglas ",26
"Mills, Kyle ",26
"Hogan, Andrew ",26
" Flynn, Vince ",26
"Leigh, Lora ",26
" Park, Meg (ILT)",26
"Black, Ashley ",26
"Brockmann, Suzanne ",26
"Katy, Evans ",26
"Boyle, T. Coraghessan ",26
" Hunt, Joanna ",26
"Jemc, Jac ",26
"Connolly, Ray ",25
"Anderson, Justin Lee ",25
"Keller, Julia ",25
"St. Aubyn, Edward ",24
"Binet, Laurent ",24
"Carpenter, Elisabeth ",24
"Lustbader, Eric ",24
"Smith, Nicholas Sansbury ",24
"Moody, David ",24
"Bailey, Rachel ",23
"Martin, James ",23
Lonely Planet Publications (COR),23
"Dunn, Gaby ",23
" Garbera, Katherine ",23
" Fotheringham, Edwin (ILT)",23
" Anderson, Sarah M. ",23
"Wells, Maggie ",23
"Lapine, Phoebe ",23
"Rosenbaum, Andria Warmflash ",23
" Raskin, Allison ",23
"Larsen, Ward ",22
"Ellison, J. T. ",22
"Bonesteel, Elizabeth ",22
"Gill, Tamara ",22
"Cluess, Jessica ",22
"Schow, Betsy ",22
"Noel, Alyson ",22
"Yates, Maisey ",22
"Mather, Adriana ",22
"Podos, Rebecca ",22
"Maaren, Kari ",22
"Sims, Molly ",22
"Baker, Chandler ",22
"Birken, Emily Guy ",22
"Ries, Eric ",22
"Smiley, Patricia ",22
"Giglio, Louie ",22
"McGrath, Mel ",22
"Heubusch, John ",21
" Sunderam, Vikram ",21
" Stewart, Christopher S. ",21
"Blaze, Violet ",21
" Hagedorn, David ",21
"Velicovich, Brett ",21
"West, Tracey ",21
"Jackson, Brenda ",21
"Bajaj, Ashok ",21
"Stavis, Rachel H. ",21
"Poblocki, Dan ",21
" Durand, Sarah ",21
"Adler, David A. ",20
" Douglas, Michael ",20
" Chizmar, Richard (EDT)",20
"Ford, Elizabeth, M.D. ",20
" Marinelli, Carol ",20
"Montillo, Roseanne ",20
" Newberger, Marcia ",20
"Pyper, Andrew ",20
" Douglas, Anne ",20
"Petersen, Anne Helen ",20
"Freeman, Brian James (EDT)",20
"Crowley, Rebecca ",20
"Douglas, Kirk ",20
"Heumann, Suzie ",20
"Coben, Harlan ",20
"Lubar, David ",20
"Carr, Matt ",20
"Booher, Dianna ",20
"Pizzoli, Greg ",19
"Griffiths, Elly ",19
" Osteen, Joel (FRW)",19
"Brown, David O. ",19
" Prentiss, Norman ",19
" King, Stephen ",19
"Galaxy, Jackson ",19
"Solnit, Rebecca ",19
" Pizzoli, Greg (ILT)",19
" Burford, Michelle ",19
"Roth, Sally ",19
"Meloy, Colin ",19
"Rowe, Maggie ",19
"Gray, John ",19
"Smith, Ali ",19
"Ruiz, Miguel (COM)",19
"Romero, R. M. ",19
" Oates, Joyce Carol ",19
"Stevens, Cara J. ",19
"Johnstone, William W. ",19
" Johnstone, J. A. ",19
" Ellis, Carson (ILT)",19
"L’amour, Louis ",18
"Menegaz, Vivica ",18
"Powers, Mark ",18
" Wesson, Tim (ILT)",18
"Craig, Charmaine ",18
"Thomas, Leah ",18
"Stine, R. L. ",18
"Miller, Andy J. ",18
"Coville, Bruce ",18
" Rike, Brandon (INT)",18
"Smith, S. E. ",18
" Brown, Marc Tolon (ILT)",18
"McElwain, Julie ",18
"Doodler, Todd H. ",18
" Dunlop, Barbara ",17
" Novak, Brenda ",17
" Woods, Sherryl ",17
"Baker, E. D. ",17
"Ali, Sabahattin ",17
" Orwig, Sara ",17
"Thomson, Lesley ",17
"Davis, Angela J. ",17
" Schulte-Peevers, Andrea ",17
"Monahan, Hillary ",17
"Wood, Joss ",17
"Strohm, Stephanie Kate ",17
" Wechsler, Doug (PHT)",17
"Wechsler, Doug ",17
"Ware, Ruth ",17
"Carson, Rae ",17
"Lythcott-Haims, Julie ",16
" Norgren, Elias (ILT)",16
"Colins, Katy ",16
"Cullen, Sharon ",16
"Meeker, Meg ",16
"Vickers, Elaine ",16
"Prinstein, Mitch ",16
" Ramsey, Dave (FRW)",16
" Norgren, David (ILT)",16
"Huber, Lia ",16
"Giovanni, Nikki ",16
"Ostow, Micol ",16
