,0
"Gottesfeld, Jeff ",2463
"Peirce, Lincoln ",2117
"Banks, Maya ",1954
"Gruen, Sara ",1876
" Klinenberg, Eric ",1832
"Ansari, Aziz ",1832
"Garwood, Julie ",1720
"Woods, Stuart ",1487
"Carr, Robyn ",1158
"Brown, Brené ",1054
"Andrews, Mary Kay ",1014
"Coulter, Catherine ",976
"Mallery, Susan ",743
"Barrows, Annie ",645
"Stradal, J. Ryan ",595
"Balogh, Mary ",591
"Quick, Amanda ",582
"Heaberlin, Julia ",564
"Taylor, Brad ",564
"Jackson, Lisa ",541
"Ward, J.r. ",533
"Osborne, Mary Pope ",527
"Dessen, Sarah ",510
"Kava, Alex ",494
"Fairstein, Linda A. ",477
"Barclay, Linwood ",448
" Witter, Bret ",429
"Myron, Vicki ",429
" Goulding, Matt ",420
"Zinczenko, David ",420
"Pierpont, Julia ",388
"Chainani, Soman ",383
"Caine, Rachel ",350
"Leigh, Lora ",347
" Murdocca, Sal (ILT)",344
"Fodor's Travel Publications, Inc. (COR)",339
"Klassen, Julie ",321
"White, Karen ",281
"Keyes, Marian ",274
"Berry, Amanda ",270
"Graham, Heather ",266
"Foster, Lori ",260
"McCall Smith, Alexander ",258
"Lord, Cynthia ",248
"Hashimi, Nadia ",244
"Kuskowski, Alex ",241
"Atkins, Ace ",240
" Dejesus, Gina ",235
" Sullivan, Kevin ",235
" Jordan, Mary ",235
"Burton, Jaci ",232
"Andre, Bella ",230
"Evans, Lissa ",226
"Moshfegh, Ottessa ",225
"Grey, Jeanette ",223
"Lancaster, Jen ",218
"Eastman, P. D. ",213
" Weil, Andrew (FRW)",192
" Sonnenburg, Erica ",192
"Sonnenburg, Justin ",192
"Bowen, Rhys ",190
"Hansen, Grace ",190
"Reus, Katie ",185
" Molinari, Carlo (ILT)",183
" Boyce, Natalie Pope ",183
"Howell, Hannah ",177
"Neill, Chloe ",174
"Reisz, Tiffany ",169
"Spielman, Lori Nelson ",163
"Salzmann, Mary Elizabeth ",160
"Singh, Nalini ",158
"Kennedy, Elle ",158
"D'abo, Christine ",156
"Simons, Paullina ",155
"Lamb, Cathy ",152
"Wax, Wendy ",147
"French, Nicci ",143
"Showalter, Gena ",143
"Kagawa, Julie ",141
"Walters, Louise ",135
"Hewitt, Kate ",131
"Bekemeyer, Michele ",131
"Williams, Beatriz ",130
"Armstrong, Kelley ",129
"Meadows, Daisy ",128
"Yates, Christopher J. ",124
 Random House (COR),123
" Kratt, Martin ",123
"Kratt, Chris ",123
"Hedlund, Jody ",122
"Thomas, Mathilde ",121
" McGee, Laurelin ",119
" Walker, Shiloh ",119
"Awdry, W. ",119
" Douglas, Kate ",119
"Snyder, Maria V. ",118
"Steil, Jennifer ",116
"Morgan, Allison ",115
"Goodnight, Linda ",113
"Davis, Jim ",112
"Hamilton, S. L. ",111
" Dewitt, Sarah Hyman (EDT)",111
" Hyman, Laurence (EDT)",111
" Franklin, Ruth (FRW)",111
"Panowich, Brian ",111
"Jackson, Shirley ",111
"Hingle, Richa ",108
"Buist, Anne ",107
"Arlidge, M. J. ",106
"Wiggs, Susan ",106
"Carlisle, Kate ",104
"Jones, Darynda ",103
"Clark, Kristin Elizabeth ",102
"Huber, Anna Lee ",99
"Glatt, John ",97
"Vanderkam, Laura ",97
"McCoy, Shirlee ",94
"Hart, Megan ",93
"Keret, Etgar ",93
"Willig, Lauren ",92
"Daniels, B. J. ",92
"Cain, Susan ",90
" Moroz, Erica ",90
" Mone, Gregory ",90
" Snider, Grant (ILT)",90
"Novak, Brenda ",87
