,0
"Child, Lee ",3471
"Berenstain, Stan ",2164
" Berenstain, Jan ",2164
"Grisham, John ",2130
"Ryder, Chloe ",1670
"Aveyard, Victoria ",961
"Quick, Amanda ",886
" Van Dusen, Chris (ILT)",731
"DiCamillo, Kate ",731
"Ward, J.r. ",532
"Proby, Kristen ",503
"Simon, Carly ",485
"Westerfeld, Scott ",482
"Shurtliff, Liesl ",478
"Kaufman, Amie ",434
" Kristoff, Jay ",434
"Sage, Angie ",431
"Brown, Jennifer ",421
"Perry, Thomas ",420
"Carmon, Irin ",404
" Knizhnik, Shana ",404
"George, Elizabeth ",386
"Faye, Lyndsay ",376
"Teigen, Chrissy ",371
" Sussman, Adeena ",371
"Box, C. J. ",362
"Fink, Joseph ",362
" Cranor, Jeffrey ",362
"Woods, Stuart ",361
"Lauren, Christina ",345
"Cass, Kiera ",341
"Klebold, Sue ",339
" Solomon, Andrew (INT)",339
"Kleypas, Lisa ",326
"Baxter, Mandy ",308
"Spade, David ",294
"Belfoure, Charles ",289
"Maguire, Gregory ",266
"McElwain, Julie ",261
"Mitchell, David ",259
"Barrymore, Drew ",250
"Lewis, Beverly ",249
"Butcher, Jim ",246
"Steinem, Gloria ",246
"Van Dyke, Dick ",245
"Thompson, Kay ",241
"Hallberg, Garth Risk ",235
"Callen, Gayle ",228
"Russell, Rachel Renee ",226
"Lu, Marie ",223
"Amen, Daniel G., M.D. ",216
"Donnelly, Jennifer ",213
"MacNeal, Susan Elia ",210
"Crusie, Jennifer ",203
"Vowell, Sarah ",201
"Dorfman, Andi ",201
"Grady, James ",190
"Mann, Jen ",187
Gmac (Graduate Management Admission Council) (COR),187
"Singh, Nalini ",183
"Franklin, Jonathan ",174
"Kinsella, Sophie ",173
"Thomas, Kara ",171
"Walker, Julie Ann ",169
"Koppel, Ted ",169
"Savage, Kim ",162
"Mallery, Susan ",161
"Schwartz, David ",158
"Springer, Kathryn ",155
"Laskas, Jeanne Marie ",151
"Leotta, Allison ",149
"Trigiani, Adriana ",148
"Bardugo, Leigh ",146
"Rhodes, Morgan ",145
"Benjamin, Arthur ",145
"Raasch, Sara ",142
"Gonzales, Manuel ",139
"Watkins, Claire Vaye ",138
"Grant, Richard ",138
" Allen, Brooke (CON)",137
"Ishida, Sanae ",135
"Summers, Julie ",131
"Dittrich, Luke ",128
"Doerr, Anthony ",127
" Gold, Todd ",127
"Stevension, Noelle ",125
" Ellis, Grace ",125
"Sax, Leonard ",123
"Domingos, Pedro ",122
"Raybourn, Deanna ",122
"Chupeco, Rin ",121
" Killcoyne, Hope (EDT)",121
"Barrington, Richard ",121
"Iserles, Inbali ",117
"Scotton, Rob ",116
"Eagleman, David ",116
"Kadrey, Richard ",115
"Donofrio, Jeanine ",115
"Beaton, M. C. ",114
"Ripert, Eric ",114
" Chambers, Veronica ",114
"Maxton, Lily ",114
" Brown, Ray ",113
"Howell, Dan ",113
"Tyson, Eric ",113
" Lester, Phil ",113
"Oakley, Tyler ",112
"Holmes, Jamie ",112
"Conklin, Melanie ",111
"Dickey, Eric Jerome ",110
"Johns, Audrey ",103
"Leigh, Eva ",103
"Lawton, John ",102
"Mcginnis, Patrick ",101
"Graham, Lynne ",101
" Crews, Caitlin ",101
" Williams, Cathy ",101
" Thomas, Rachael ",101
"Smiley, Jane ",100
"Colgan, Jenny ",98
"Ackerman, Jennifer ",97
"Hunt, Leo ",95
"Randall, Lisa ",95
"Clark, Duncan ",95
"Brownstein, Carrie ",95
"Morey, Allan ",94
"Jones, Darynda ",94
"Sigurdardottir, Yrsa ",94
"Frank, Thomas ",93
" Watters, Shannon ",91
"Rice, Anne ",91
"Stevenson, Noelle ",91
" Barker, Gary (CON)",90
" Evanier, Mark ",90
"Shah, Sonia ",90
"Davis, Jim ",90
"Levin, Adam ",89
" Friedlander, Beau (CON)",89
"Gibbs, Stuart ",89
"Angus, Chris ",88
"Nyad, Diana ",88
"Berry, Julie ",87
"Kirkman, Robert ",85
" Morgan, Sarah ",84
"Highsmith, Patricia ",84
" Vogt, Beth K. ",83
" Ganshert, Katie ",83
"Yates, Maisey ",82
" Shaw, Chantelle ",82
"Ruiz, Don Miguel ",82
" Lawrence, Kim ",82
" Emrys, Barbara ",82
" Collins, Dani ",82
"Tanenbaum, Robert K. ",81
" Bennett, Jules ",81
"Wolff, Tracy ",81
"O'Brien, Caragh M. ",81
" Bevarly, Elizabeth ",81
" Thomas, Jodi ",81
" Rogers, Jacqueline (ILT)",80
"Cleary, Beverly ",80
"Twain, Mark ",80
"Dunn, Matthew ",79
"Strathern, Paul ",78
"Schiff, Rebecca ",78
" Anderson, Sarah M. ",77
"Alexander, Michael ",77
"Lawrenson, Deborah ",77
"Kay, John ",77
" Bailey, Rachel ",77
"Dunlop, Barbara ",77
"Eden, Cynthia ",77
"Keating, Lucy ",76
"Bennett, Jules ",76
"Gingrich, Newt ",75
"Pamuk, Orhan ",75
" Oklap, Ekin (TRN)",75
"Banks, Maya ",75
"Lynch, Jim ",75
" Earley, Pete ",75
"Winchester, Simon ",75
" Steinberg, Jacob (EDT)",75
"Manzano, Sonia ",74
" Priceman, Marjorie (ILT)",74
"Hauser, Thomas ",73
"Burshtein, Karen ",73
"St. Amant, Betsy ",72
"Hamilton, Sheila ",71
"Trentham, Laura ",71
"Wheelan, Charles ",70
"Irvin, Kelly ",70
"Talbot, David ",70
"O'Nan, Stewart ",70
"Clare, Cassandra ",69
"Forsyth, Olivia ",69
"Cross, Mason ",69
" Brennan, Sarah Rees ",69
"Wellings, Nigel ",69
"Hallinan, Timothy ",69
"McCann, Colum ",69
"Hedlund, Jody ",67
"Stiles, T. J. ",67
" Baptiste, Tracey (EDT)",66
"Ciovacco, Justine ",66
" Allen, Brooke A. (CON)",66
"Goodrich, Carter ",65
" Goodrich, Carter (ILT)",65
"Hawkins, Rachel ",65
"Nix, Garth ",64
"Sowell, Thomas ",63
"Bartoletti, Susan Campbell ",63
"Royle, Nicholas ",62
" Gatward, Uschi (CON)",62
" Cleary, Emma (CON)",62
"Lindeen, Mary ",62
" Campbell, Neil (CON)",62
" Ashworth, Jenn (CON)",62
"Perry, Jolene ",61
"Kellerman, Faye ",61
" Strugatsky, Arkady ",61
"Strugatsky, Boris ",61
 Various ,61
"Baker, Jes ",59
"Wilde, Lori ",59
"Ragsdale, Amy ",59
" Fellowes, Julian (FRW)",58
" Rathburn, Cliff (CON)",58
"Connolly, John ",58
"Fellowes, Jessica ",58
"Scheerger, Sarah Lynn ",58
"Service, Robert ",58
"Brunstetter, Wanda E. ",57
"Murphy, Paul Thomas ",57
Various ,57
" Pietsch, Carey (CON)",57
"Alpert, Karen ",57
" Adlard, Charlie (CON)",57
"Gran, Meredith ",57
"Klein, Daniel ",57
" Brunstetter, Jean ",57
"Wilson, Bee ",56
"Cameron, Julia ",56
"Martin, Kat ",56
"Geroux, William ",55
"Holland, Tom ",55
"Cronn-mills, Kirstin ",54
" Johnson, E. Eero (ILT)",54
"Wilson, N. D. ",54
" Gibb, Sarah (ILT)",54
"Kessler, Liz ",54
"Zarkadakis, George ",53
"Pintoff, Stefanie ",53
"Radcliffe, Margaret ",53
"Herjavec, Robert ",53
"Costello, Elvis ",52
"Armstrong, Kelley ",52
" Green, Abby ",52
"Grant, Donna ",52
" Kendrick, Sharon ",52
"Morgan, Sarah ",52
"Miller, Linda Lael ",52
" Yates, Maisey ",52
"Schwartz, Samuel I. ",51
" Staples, Fiona (CON)",51
"Pavitt, Neil ",51
"Vaughan, Brian K. ",51
" Rosen, William (CON)",51
" Von Zumbusch, Amelie (EDT)",50
"Dais, Dawn ",50
"Aaronovitch, Ben ",50
"Norton, Elizabeth ",49
"Ebbin, Michelle ",48
"Woods, Sherryl ",48
"Marshall, Sarah ",48
"Bauer, Belinda ",48
" Thayne, RaeAnne ",48
"Williams, Lesley ",47
" Williams, Tammy ",47
"Marion, Isaac ",47
"Schulz, Charles M. ",47
"Francis, Gavin ",47
"Beck, Glenn ",46
"Selingo, Jeffrey ",46
Not Available (NA),45
"Galen, Shana ",45
"Freeman, Emily P. ",45
" Tyner, Liz ",44
"Spector, Tim ",44
"Goff, Chris ",44
"De Fombelle, Timothee ",44
" Brendan, Mary ",44
"Fardig, Caroline ",44
"James, Sophia ",44
"Monroe, Mary Alice ",44
"Karan, Donna ",43
"Prince, Liz ",43
"Enss, Chris ",43
"Frost, Jeaniene ",43
" Palmer, Evan (CON)",43
" Humphreys, Jessica Dee ",42
" Davila, Claudia (ILT)",42
"Chikwanine, Michel ",42
"Scheier, Leah ",42
"Michaels, Charis ",42
"Morgan, Alexis ",42
"Thomas, Sherry ",42
"Jacobi, Dana ",42
"Dayton, Connor ",42
" Guillory, Rob (CON)",41
"Ginsburg, Melissa ",41
"Wood, Levison ",41
" Dean, Robertson ",41
"Layman, John ",41
"Lowenstein, Roger ",41
" Correll, Gemma (ILT)",41
"Butchart, Pamela ",41
" Campbell, Kathy (EDT)",40
"Doeden, Matt ",40
"Gachman, Dina ",40
"Nagelhout, Ryan ",40
"Walker, Shiloh ",39
" Hamada, Kyoko (PHT)",39
" Greenman, Ben ",39
"Harrison, Kim ",39
" Sookocheff, Carey (ILT)",39
Questlove ,39
" Bourdain, Anthony (FRW)",39
"Fergus, Maureen ",39
"Forkish, Ken ",38
"Mikulencak, Mandy ",38
Avi ,38
" Griffin, Benjamin (EDT)",38
"Dorsey, C. Michele ",38
"Kadinsky, Sergey ",38
" Smith, Harriet E. (EDT)",38
"Toutonghi, Steve ",38
