,0
"Kalman, Bobbie ",17691
"Helmer, Marilyn ",4625
" Deas, Mike (ILT)",4588
"Fradin, Judy ",2148
"Macomber, Debbie ",2119
" Fradin, Dennis B. ",1996
"Osborne, Mary Pope ",1837
" Murdocca, Sal (ILT)",1837
"Stevenson, Robin ",1496
" Parkins, David (ILT)",1493
" Ehlert, Lois (ILT)",1381
"Martin, Bill ",1374
" Charles, Ray (ART)",1374
" Archambault, John ",1374
" Lawson, Jim ",925
"Bausum, Ann ",925
"Bowers, Richard ",900
"Mallery, Susan ",816
"Evanovich, Janet ",700
"Carr, Robyn ",648
"Laurens, Stephanie ",566
"Putney, Mary Jo ",495
"Paolini, Christopher ",479
"Koontz, Dean R. ",431
"Eben Field, Jon ",408
"Palmer, Diana ",352
"Thompson, Kim Mitzo ",341
"Goldbach, Veronica ",326
" Hilderbrand, Karen Mitzo ",326
"Wiggs, Susan ",314
" Dugard, Martin ",276
"O'Reilly, Bill ",276
"Jennings, Patrick ",244
"Beaton, M. C. ",237
"Langston, Laura ",228
"Pearson, Mary E. ",209
"Woods, Sherryl ",207
"Carnegie, Dale ",204
" Cole, Brent (CON)",204
"McCoy, Sarah ",164
"Brockmann, Suzanne ",163
"Flynn, Vince ",158
"Graham, Heather ",155
"Delinsky, Barbara ",154
"Clare, Cassandra ",154
" Fradin, Dennis B. (EDT)",152
"Christelow, Eileen ",143
"Sagan, Carl ",118
"Sherrill, John ",118
" Sherrill, Elizabeth ",118
" Ten Boom, Corrie ",118
"Carlson, Melody ",114
"Gregory, Philippa ",113
" Dahl, Victoria ",112
" Brashear, Jean ",112
"Compestine, Ying Chang ",110
" Polhemus, Coleman (ILT)",110
"Rey, H. A. ",107
"Stevens, Taylor ",107
"Monroe, Mary Alice ",106
"Ward, J.r. ",105
"Micucci, Charles ",102
" Micucci, Charles (ILT)",102
" Rey, Margret ",100
"Peterson, Lois ",99
" Walshe, Dermot (ILT)",97
"Jenkins, Steve ",91
" Jenkins, Steve (ILT)",91
"Gantos, Jack ",90
"Leach, Sara ",88
"Gilstrap, John ",87
"Kearsley, Susanna ",86
"Hand, Cynthia ",84
"Schroff, Laura ",81
" Tresniowski, Alex ",81
" Salembier, Valerie (FRW)",81
"Box, C. J. ",79
"Berry, Steve ",76
"Hoffman, Alice ",75
"Marino, Andy ",73
"Krentz, Jayne Ann ",70
"O'Connor, Barbara ",70
"Cervantes Saavedra, Miguel de ",69
" Dyer, Lois Faye ",69
" Stone, Katherine ",69
"Defede, Jim ",66
"Ellis, Desmond Anthony ",65
" Holm, Sharon Lane ",64
"Hatmaker, Jen ",64
"Citra, Becky ",61
"O'Donnell, Liam ",60
"Jackson, Lisa ",59
" Meissner, Amy (ILT)",57
"Lescroart, John T. ",57
"Jukes, Mavis ",56
"Michaels, Fern ",56
"Alexander, Hannah ",54
" Stott, Dorothy ",54
"Hernandez, Treasure ",54
"Mangum, Erynn ",54
"Telep, Trisha ",53
"Amber, Elizabeth ",53
"Mantchev, Lisa ",52
"Andrews, Ilona ",52
"McNamara, Margaret ",51
" Gordon, Mike (ILT)",51
"Tope, Rebecca ",51
"Daheim, Mary ",51
" Johnson, Karen (ILT)",50
"Blake, Kendare ",50
"Strieber, Whitley ",50
"Gordon, Lynn ",50
"Camp, Candace ",50
"Miller, Linda Lael ",49
" Synarski, Susan (ILT)",49
"Nicol, Mike ",49
" Druyan, Ann (INT)",48
" Tyson, Neil deGrasse (FRW)",48
"Chamberlain, Diane ",47
" Sharkey, Niamh (ILT)",46
" Mazel, Sharon (CON)",46
"Murkoff, Heidi Eisenberg ",46
Chunichi ,46
"Carpio, Felix Lope de Vega y ",45
"Carofiglio, Gianrico ",45
"Krauss, Lawrence ",43
" Dawkins, Richard (CON)",43
" Hitchens, Christopher (FRW)",43
"Phillips, Carly ",42
"Essex, Elizabeth ",41
"Barnes, Jennifer Lynn ",41
"Bridges, Jerry ",41
"Burton, Virginia Lee ",41
 JaQuavis ,41
Ashley ,41
" Liwska, Renata (ILT)",40
"Underwood, Deborah ",40
"Greene, Janice ",39
"Krosoczka, Jarrett J. ",39
American Heritage Publishing Company ,37
"Doyle, Malachy ",36
" Wilson, Anne (ILT)",35
"Blackstone, Stella ",35
"Thor, Brad ",33
 Black & Decker Corporation (EDT),33
"Vinge, Vernor ",33
"Peterson, Chris ",33
"Holub, Joan ",32
"Jackson, Brenda ",32
"Feehan, Christine ",32
"Whitney, Donald ",32
" Williams, Suzanne ",32
"Frank, Jacquelyn ",32
"Bar-El, Dan ",32
"Marton, Sandra ",32
"Van Dusen, Chris ",30
"Novak, Brenda ",30
" Druyan, Ann ",30
"Oke, Janette ",30
" Kauffman, Ron ",30
"Stuart, Anne ",29
"Vanzant, Iyanla ",28
"McCarthy, Meghan ",28
"Brouwer, Sigmund ",28
" McCarthy, Meghan (ILT)",28
" Ross, Graham (ILT)",28
"Tyson, Eric ",28
"Snyder, Maria V. ",27
"Smith, Maureen ",26
"Menounos, Maria ",26
" Mandell, Charlotte (TRN)",25
"Wade, Paul ",25
" Schwartz, Carol ",25
"Asimov, Isaac ",25
"Bates, Quentin ",25
"Iggulden, Conn ",25
"Jensen, Candi ",24
" Fatus, Sophie (ILT)",24
"Hitchcock, Mark ",24
" Rawley, Philip E. ",24
"Gould, Peter ",24
"Kwasney, Michelle D. ",24
" Walvoord, John ",24
"Foster, Alan Dean ",23
"McDowell, Josh ",23
"Roberts, Nora ",23
"Cross, Kady ",23
"Gerritsen, Tess ",23
" Wilson, Bill ",23
"Radish, Kris ",23
"Batt, Tanya Robin ",22
" Ceccoli, Nicoletta (ILT)",22
" Harasimowicz, Ellen (ILT)",22
"Griffin Burns, Loree ",22
" Frazee, Marla (ILT)",21
"Lackey, Mercedes ",21
"Crusie, Jennifer ",21
" Edghill, Rosemary ",21
"Atalay, Bulent ",21
"Souljah, Sister ",20
" Curtis, Howard (TRN)",20
"Coulter, Catherine ",20
Creative Publishing (COR),20
"Gerson, Fany ",19
"Willard, Dallas ",19
"Miller, Paul ",19
" Anderson, Ed (PHT)",19
"Cannon, Dyan ",19
"Fodor's Travel Publications, Inc. (COR)",19
"Whitney, Donald S. ",19
" Girouard, Patrick ",19
"Dietrich, William ",19
" Edelson, Wendy ",19
K'Wan ,18
"Meier, Leslie ",18
"Cavender, Chris ",18
" Regan, Dana ",18
" Kaufman, Ron ",18
"Parks, Electa Rome ",18
"Menzies, Gavin ",18
"Olsen, Gregg ",17
" London, Kelli ",17
" Chapman, Jane (ILT)",17
" Gabriel, Andrea ",17
"Martin, Kat ",17
"Wilson, Karma ",17
"Barton, Beverly ",17
"Showalter, Gena ",17
"Stevens, Chevy ",17
"Simone, Ni-Ni ",17
"Belgue, Nancy ",17
"Baldwin, Debra Lee ",16
"Alvarez, Linda ",16
"Graham, Lynne ",16
Various (COR),16
 Random House (COR),16
"Lawrence, Kim ",16
"McKenna, Shannon ",16
"Scanlon, Liz Garton ",16
"Strasser, Todd ",15
"Enns, Peter ",15
"Anderson, James ",15
"Mayhew, Anna Jean ",15
" Sheikh, Bilquis ",15
"Singh, Nalini ",15
" Kupecky, Regina M. ",15
"Glatt, John ",15
"Schneider, Richard H. ",15
"Keck, Gregory C., Ph.d. ",15
"West, Jacqueline ",15
"Hamilton, Diana ",15
"McCall, Amaleka ",15
"Jordan, Hillary ",15
"Grant, Alexis ",15
" Cole, Mernie-gallagher ",15
" Mansfield, L. G. (EDT)",15
"Leigh, Lora ",14
"Morris, Gilbert ",14
"Blanton, Brad ",14
"Brooks, Helen ",14
"Flaubert, Gustave ",14
"Hopgood, Mei-ling ",14
"King, Laurie R. ",14
" Ortner, Tammy ",14
"Harter, Debbie (ILT)",14
"Jaffrey, Madhur ",14
" Morales, Roberta Collier ",14
"Foster, Lori ",14
"Sterling, Mary Jane ",14
"Van Diepen, Allison ",14
" Viguie, Debbie ",14
"Holder, Nancy ",14
"Archer, Jeffrey ",13
"Myracle, Lauren ",13
"Fitzpatrick, Becca ",13
"Frazee, Marla ",13
"Chadwick, Charles ",13
" Thomas, Jan (ILT)",13
"Mortimer, Carole ",13
"Ayer, Eleanor H. ",13
"Hampton, Brenda ",13
" Larsen, Linda Johnson ",13
"Moss, Marissa ",13
"Carder, Ken ",13
"Rendell, Ruth ",13
"Scott, Thomas C. ",13
"Wright, Jonathan ",13
"Allin, Lou ",13
"Willig, Lauren ",13
"Johnson, Paul ",13
" Stott, Dorothy (ILT)",12
"Hunter, Stephen ",12
Caterpillar Inc. (COR),12
Chronicle Books ,12
"Neggers, Carla ",12
"Bond, Stephanie ",12
"Brunner, John ",12
"Veseth, Mike ",12
"Crum, Shutta ",12
"Baker, Keith ",12
"Lupton, Hugh ",12
" Sterling, Bruce (FRW)",12
" Bowers, Tim (ILT)",12
"Bledsoe, Alex ",12
"Jordan, Penny ",12
"Brett, Simon ",11
"Weitzman, Jacqueline Preiss ",11
"Man-Kong, Mary ",11
" Moss, Marissa (ILT)",11
"Schultz, Patricia ",11
"Balzac, Honore De ",11
"Higgins, F. E. ",11
"Bozarth, Jan ",11
"Noël, Alyson ",11
 Golden Books Publishing Company (COR),11
"Shalvis, Jill ",11
" Barrett, Ron (ILT)",11
"Baird, David ",11
"Marlowe, Mia ",11
"Stockman, Steve ",10
"Porter, Darwin ",10
"Byrn, Anne ",10
"Cameron, W. Bruce ",10
"Moreland, J. P. ",10
"Wright, H. Norman ",10
"Shayne, Maggie ",10
"Dunn, Carola ",10
"Galant, Mark ",10
"Monroe, Mary ",10
Golden Books Publishing Company (COR),10
" Dolan, Brian ",10
"Van Tol, Alex ",10
"Ondaatje, Michael ",10
"Courtney, Vicki ",10
"Howard, Linda ",9
" Guichaoua, Valerie ",9
" Puckett, A. ",9
"Withers, Pam ",9
"Antoinette, Ashley ",9
"Ambrose, Stephen E. ",9
"Radermecker, Sophie ",9
"Abramson, Jill ",9
"McClintock, Norah ",9
"Bianchin, Helen ",9
"Felton, Sandra ",9
" Sims, Marsha ",9
"Small, Bertrice ",9
"Martin, Gail Gaymer ",9
"Damerow, Gail ",9
" Trexler, Carol A. (TRN)",9
"Logue, Dick ",9
"Lunde, Darrin ",9
"Lightfoot, Freda ",9
"Williams, Brenda ",9
"Lee, Miranda ",9
" Wynne, Patricia J. (ILT)",9
"Luper, Eric ",9
"Johnstone, William W. ",8
"Bryant, Niobia ",8
"Challen, Paul ",8
"Jones, Annie ",8
"Smith, Edward C. ",8
" Johnstone, J. A. ",8
"Simon, Coco ",8
"Kelleher, Anne ",8
"Thomas, Jan ",8
"Russo, Richard (EDT)",8
"Lyons, Mary ",8
"Hill, Lewis ",8
"Craven, Sara ",8
"Darcy, Emma ",8
"Yaye, Pamela ",8
"Peters, Elizabeth ",8
"Scavuzzo, Wendy ",8
" O'Sullivan, Penelope ",8
"Dowdy, Penny ",8
"Goss, Shelia M. ",8
"Stone, Carol L. ",8
"Jakubowski, Maxim (EDT)",8
 Knoxy (PHT),7
" Leclaire, Day ",7
"Truman, Margaret ",7
" Saylor, Ann ",7
"Wilhelm, Kate ",7
"McGeorge, Constance W. ",7
"Ray, Rachael ",7
"Rice, Lenny ",7
"O'Brien, Kevin ",7
" Callinan, Brigid ",7
" Whyte, Mary (ILT)",7
"Pratt, George ",7
" Read, Nicholas ",7
" Denosky, Kathie ",7
" Mann, John David ",7
"Lee, Inhae ",7
"Ehlert, Lois ",7
" Alley, R. W. ",7
"McAllister, Ian ",7
"Cameron, Peter ",7
" Lindsay, Yvonne ",7
" Bailey, Rachel ",7
"Newman, Emma ",7
" Lambrou, Peter ",7
"Ciotta, Beth ",7
"Hingle, Metsy ",7
"Rajaniemi, Hannu ",7
"Sharp, Zoe ",7
" Snyder, Joel ",7
"Ragsdale, Susan ",7
Laozi ,7
"Morgan, Karen ",7
"Griffith, Marilynn ",6
"Lorimer, Janet ",6
"Cohen, Marina ",6
"Baer, Marianna ",6
"Konigsburg, E. L. ",6
"Gage, Leighton ",6
"De Wit, Frederick ",6
"Benaron, Naomi ",6
" Konigsburg, E. L. (ILT)",6
" Wright, Hal ",6
"Sala, Sharon ",6
" Stevens, Janet (ILT)",6
" Castaldi, Elicia (ILT)",6
"Mason, Richard ",6
"O’leary, Denyse ",6
"Stevens, Janet ",6
"Nichols, Nikita Lynnette ",6
"Robards, Karen ",6
"Holm, Jennifer L. ",6
"Gross, Michael ",6
"Adams, Gloria ",6
"Rockett, Marilyn ",6
" Klassen, Jon ",6
" Crummel, Susan Stevens ",6
"Griffin, Laura ",6
"Stutson, Caroline ",6
"Greer, Robert ",6
"Cohen, Arianne ",6
"Derting, Kimberly ",6
"Hill, Terry E. ",6
"Saad, Jeffrey ",6
"Boggs, Johnny D ",5
"Hicks, Barbara Jean ",5
"Barnes, Julian ",5
"Elliot, Henry ",5
"Eastman, Wilbur F. ",5
"Willingham, Bill ",5
"Bogdan, D. L. ",5
"Fox, Mem ",5
"Yep, Laurence ",5
"Stacey, Shannon ",5
" Santat, Dan (ILT)",5
"Thompson, Vicki Lewis Thompson ",5
"St. John, Yahrah ",5
"Kelly, Vanessa ",5
"Fullan, Michael ",5
"Wolfe, Thomas ",5
" Engel, Christiane (ILT)",5
" Bond, Stephanie ",5
"Simerson, B. Keith ",5
"Hoeg, Peter ",5
Barefoot Books ,5
" Kelly, Leslie ",5
"Tolstoy, Aleksei ",5
"Tougas, Chris ",5
" Buckingham, Mark (ILT)",5
"Kowalski, William ",5
"Crews, Kambri ",5
"Bertsche, Rachel ",5
"Priest, Cherie ",5
"Ray, Mary Lyn ",5
"Melville, Herman ",5
" Nunnally, Tiina (TRN)",5
"Walker, Richard ",5
"Hardin, Jude ",5
"Daley, Margaret ",4
" Lopez, Rafael (ILT)",4
"Cornick, Nicola ",4
"Evison, Jonathan ",4
"Wilson, John ",4
"Aarsen, Carolyne ",4
"Tsatsouline, Pavel ",4
" Desantis, Susan ",4
"Weber, David ",4
"Sherrod, Leslie J. ",4
"Pickett, Rex ",4
"Haining, Peter ",4
"Rylant, Cynthia ",4
"Hasselbeck, Elisabeth ",4
"Oppenheim, Joanne ",4
