,0
"Russell, Rachel Renee ",8053
" Russell, Rachel Renee (ILT)",7944
" Burris, Priscilla (ILT)",4298
"Coven, Wanda ",4298
" Johnson, Shane L. (ILT)",4140
"Shaw, Natalie (ADP)",4092
"Rylant, Cynthia ",3866
" Denos, Julia (ILT)",3130
"Denton, P. J. ",3130
"Dixon, Franklin W. ",2952
"Cole, Steve ",2744
" Fox, Woody (ILT)",2613
" Biggs, Brian (ILT)",2561
"Katz, Alan ",2018
" Koren, Edward (ILT)",2018
"Holub, Joan ",1575
"Haddix, Margaret Peterson ",1486
" Moss, Marissa (ILT)",1391
"Moss, Marissa ",1391
" Brooks, Bruce (FRW)",1321
"Wells, H. G. ",1321
"Howe, James ",1303
"Night, P. J. ",1258
" Stevenson, Sucie (ILT)",1228
"Redmond, Shirley Raye ",1178
" Sullivan, Simon (ILT)",1178
" Hamlin, Janet (ILT)",1138
" Terry, Will (ILT)",1078
"Hutchins, Pat ",1036
" Hutchins, Pat (ILT)",1036
"London, Jack ",839
"Caputo, Philip ",688
" Daniel, Alan (ILT)",614
" Paulsen, Gary (FRW)",590
" Williams, Suzanne ",497
"Starkey, Scott ",490
 Avi ,469
" Nesbo, Jo ",469
"McMann, Lisa ",469
" Patten, E. J. ",469
" MacLachlan, Patricia ",469
"Barrie, J. M. ",460
" Cooper, Susan (FRW)",460
" Murphy, Jim (FRW)",386
" Burroughs, Scott (ILT)",361
" Ruth, Greg (ILT)",354
Avi ,354
" Giles, Mike (ILT)",342
"Paz, Veronica (ADP)",340
"Sylvester, Kevin ",330
" Sylvester, Kevin (ILT)",330
"Frederick, Heather Vogel ",319
" Barber, Tiki ",295
" Mantell, Paul (CON)",295
"Barber, Ronde ",295
" Howe, James ",267
"Howe, Deborah ",267
"Anderson, M. T. ",256
" Cyrus, Kurt (ILT)",256
"Joyce, William ",222
" Joyce, William (ILT)",222
" Chace, Tara F. (TRN)",215
" Lowery, Mike (ILT)",215
"Nesbo, Jo ",215
"Colum, Padraic ",212
" Pogany, Willy (ILT)",212
"Tooke, Wes ",197
" Fortune, Eric (ILT)",194
"Schroeder, Lisa ",184
" Dion, Nathalie ",184
" Morrill, Leslie (ILT)",170
" Goode, Diane (ILT)",170
"Primavera, Elise ",170
"Verne, Jules ",162
" Yep, Laurence (FRW)",162
" Bush, Timothy (ILT)",154
" Howe, Deborah ",154
" Riley, David (ILT)",151
"Coleman, Evelyn ",151
"Crane, Stephen ",137
" Fowkes, Charlie (ILT)",131
"Davies, Katie ",121
" Shaw, Hannah (ILT)",121
" Nielsen, Cliff (ILT)",112
" Prigmore, Shane (ILT)",107
"Scieszka, Jon ",107
"Barnholdt, Lauren ",106
"Walden, Mark ",97
"Hautman, Pete ",96
" Geringer, Laura ",96
"Gruelle, Johnny ",93
" Gruelle, Kim (INT)",93
" Gruelle, Johnny (ILT)",93
" Pinder, Andrew (ILT)",91
"Patten, E. J. ",91
"Collins, Tim ",91
" Rocco, John (ILT)",91
"Smith, Charles R., Jr. ",90
" Morrison, Frank (ILT)",90
"Barnett, Mac ",83
" Rex, Adam (ILT)",83
" Stevenson, Suie ",76
"Evans, Zoe ",68
" Barrager, Brigette (ILT)",68
" Munsinger, Lynn (ILT)",66
" Faulkner, Matt (ILT)",60
"Anderson, Laurie Halse ",60
"Mundis, Hester ",60
"Perelman, Helen ",58
" Bates, Amy June (ILT)",58
" Waters, Erica-Jane (ILT)",58
"MacLachlan, Patricia ",58
" Frost, Michael ",54
" Slota, Gerald (ILT)",49
"McDoogle, Farrah (ADP)",48
" Ng, James (ILT)",40
"Kingsley, Kaza ",40
 Avi (FRW),35
"Defoe, Daniel ",35
"Twain, Mark ",32
" Staples, Suzanne Fisher (FRW)",32
"Bradbury, Ray ",18
Ripley's Believe It or Not ,16
"King, Stephen ",12
"Saenz, Benjamin Alire ",10
"Stillman, Sarah ",8
" Knight, Hilary (ILT)",5
" Polacco, Patricia (ILT)",5
"Polacco, Patricia ",5
"Simon, Coco ",5
"Martin, Bill ",5
" Archambault, John ",5
"Hoffman, Alice ",5
"Thompson, Kay ",5
" Ehlert, Lois (ILT)",5
"Fletcher, Susan ",4
"Grimes, Nikki ",3
"Milhous, Katherine ",3
"Clare, Cassandra ",3
" Collier, Bryan (ILT)",3
" Milhous, Katherine (ILT)",3
"Gallo, Tina ",2
"Simkin, Penny ",1
"Souljah, Sister ",1
" Stevenson, Suçie (ILT)",1
" dePaola, Tomie (ILT)",1
" Keppler, Ann ",1
" Durham, Janelle ",1
"dePaola, Tomie ",1
" Payne, C. F. (ILT)",1
" Whalley, Janet ",1
"Lithgow, John ",1
