,0
"Peirce, Lincoln ",6764
"Moyes, Jojo ",3130
"Jones, Gareth ",2092
" Finlayson, Luke (ILT)",2092
"Moriarty, Liane ",1870
"Winerip, Michael ",1573
"Brown, Pierce ",1538
"Bodeen, S. A. ",1204
"Evanovich, Janet ",1197
"Flagg, Fannie ",905
"Schneider, Josh ",856
"Child, Lee ",757
"Grisham, John ",638
"Penny, Louise ",568
"Heos, Bridget ",508
" Ang, Joy (ILT)",508
"Koontz, Dean R. ",421
"Macomber, Debbie ",419
"Chee, Alexander ",408
" Pastis, Stephan (ILT)",368
"Pastis, Stephan ",368
Lonely Planet Publications (COR),366
"Ashley, Kristen ",363
"Murphy, Monica ",353
" Austin, Michael Allen (ILT)",341
"Mortensen, Lori ",341
"Ferrante, Elena ",329
" Goldstein, Ann (TRN)",329
"Mallery, Susan ",318
"King, Martin Luther, Jr. ",291
" Myers, Walter Dean ",291
"Bussel, Rachel Kramer (EDT)",288
"Temple, Peter ",284
"Ness, Patrick ",283
"Doyle, Arthur Conan, Sir ",267
"Parker, Robert B. ",254
"Davidson, Diane Mott ",248
"Day, Sylvia ",236
"McCall Smith, Alexander ",236
"Riordan, Rick ",233
"Gracie, Anne ",229
"Feinstein, John ",225
" Venditti, Robert ",223
" Futaki, Attila (ILT)",223
"Velez-Mitchell, Jane ",214
"de la Pena, Matt ",202
"Lore, Pittacus ",200
"Hannah, Kristin ",200
"Wright, Hillary ",198
" Larsson, Linus ",194
"Goldberg, Daniel ",194
" Hawkins, Jennifer (TRN)",194
"Fodor's Travel Publications, Inc. (COR)",185
"Aguirre, Ann ",184
" Ferrell, Keith (CON)",179
"Meltzer, Brad ",179
"Chamberlain, Diane ",171
"Miller, Linda Lael ",168
" McKenna, Lindsay ",168
"Krull, Kathleen ",166
" Kulikov, Boris (ILT)",166
"Chopra, Deepak ",166
"King, Gilbert ",164
"Hart, Christopher ",162
"Garwood, Julie ",159
"Connelly, Michael ",155
"Byrne, Paula ",155
"Groom, Winston ",150
"March, Emily ",149
"Atwood, Margaret Eleanor ",146
"Maynard, Joyce ",144
LearningExpress (COR),142
"McBride, James ",142
Martha Stewart Living (COR),141
"Symon, Michael ",137
" Trattner, Douglas ",137
"Todd, Charles ",137
