,0
"Patterson, James ",4831
"Aveyard, Victoria ",2801
"Lee, Harper ",2506
" Paetro, Maxine ",2270
" Charbonnet, Gabrielle ",1207
"Penny, Louise ",990
"Yousafzai, Malala ",838
" McCormick, Patricia ",838
"Macomber, Debbie ",784
"Hobb, Robin ",763
"Kubica, Mary ",747
" Park, Laura (ILT)",743
" Grabenstein, Chris ",743
"Palmer, Diana ",697
"Higgins, Kristan ",552
"Watson, Jude ",524
"Cavanaugh, Nancy J. ",518
Disney Press (COR),500
"Berk, Sheryl ",460
"Shemilt, Jane ",411
"Korman, Gordon ",399
"Berrow, G. M. ",397
"Lippman, Laura ",391
"Higgins, M. G. ",372
" Velasquez, Eric (ILT)",360
"Tuck, Pamela ",360
"Picoult, Jodi ",342
"Thayer, Nancy ",327
"Perry, Anne ",318
"Myers, Amy, M.D. ",308
" Novak, Brenda ",303
" Child, Lincoln ",303
"Preston, Douglas ",303
" Roberts, Sheila ",303
" Thayne, RaeAnne ",303
"Abercrombie, Joe ",301
"Black, Holly ",292
"Jackson, Lisa ",287
" Bush, Nancy ",287
"Dean, James ",279
" Dean, Kimberly ",279
"Koontz, Dean R. ",276
" Frankenhuyzen, Gijsbert Van (ILT)",265
"Greaney, Mark ",261
"Finder, Joseph ",260
" Bekoff, Marc ",259
"Robinson, Jill ",259
"Hand, Cynthia ",242
"McCall Smith, Alexander ",239
"Wheeler, Alex ",232
"Lieber, Ron ",224
"Gray, Shelley Shepard ",222
"Fuhrman, Joel ",210
"Haynes, Elizabeth ",207
"Young, Judy ",205
" Wesson, Andrea (ILT)",198
"Rollins, James ",196
"Seskis, Tina ",184
"Auxier, Jonathan ",177
"Zander, Joakim ",176
"Heller, Marla ",173
"Meyrick, Denzil ",171
"Woods, Sherryl ",170
"Vail, Rachel ",165
" Cordell, Matthew (ILT)",165
"Lane, Harriet ",165
"Coyle, Cleo ",164
"Aguirre, Ann ",159
"Dorling Kindersley, Inc. (COR)",158
"Luceno, James ",153
"Wiggs, Susan ",151
"Cleese, John ",151
"Carmack, Cora ",149
"Gibson, Rachel ",148
"O'Connor, Jane ",148
" Preiss-Glasser, Robin (ILT)",148
