,0
"Riordan, Rick ",12845
"Kessler, Liz ",3252
"McDonald, Megan ",3095
" Reynolds, Peter (ILT)",3095
"Colfer, Eoin ",2609
"King-Smith, Dick ",2008
" Bruel, Nick (ILT)",2008
 Tk (ILT),1833
" Gurney, John Steven (ILT)",1217
"Roy, Ron ",1217
"Cusick, Richie Tankersley ",1055
"Capucilli, Alyssa Satin ",893
" Schories, Pat (ILT)",893
"Pearson, Ridley ",768
 Duendes del Sur (ILT),728
"Tartt, Donna ",716
"Dolamore, Jaclyn ",689
"Kelly, David A. ",628
" Meyers, Mark (ILT)",628
Disney Book Group (COR),611
" Elwell, Tristan (ILT)",581
"Bartell, Jim ",558
"Carter, Ally ",543
"Carr, Robyn ",535
"Sexton, Colleen ",510
"Thayer, Nancy ",508
"O'Connor, Jane ",453
" Preiss-Glasser, Robin (ILT)",453
"Gelsey, James ",420
"Ford, Michael ",402
"Dare, Tessa ",345
" Enik, Ted (ILT)",341
"Watt, Melanie ",335
"Walker, Karen Thompson ",332
"Kate, Lauren ",331
"Chima, Cinda Williams ",327
"Brunt, Carol Rifka ",294
"Owings, Lisa ",259
"Wylie, Sarah ",254
"Simmons, Walter ",252
"Quindlen, Anna ",247
"Stewart, Mariah ",244
"Bolden, Tonya ",241
"Uris, Leon ",235
"Larson, Erik ",229
"Clare, Cassandra ",217
"Lobel, Arnold ",212
"Briggs, Andy ",208
"Furst, Alan ",205
"Balogh, Mary ",200
"Flake, Sharon ",196
"Mallery, Susan ",193
"James, Eloisa ",180
"Hawley, Noah ",179
"Winspear, Jacqueline ",178
"Zobel, Derek ",175
"Warner, Gertrude Chandler (CRT)",174
"Stone, Adam ",167
"McCall Smith, Alexander ",159
"Agell, Charlotte ",150
"Green, Tim ",149
"Moore, Christopher ",146
Shields Gillian ,140
"Hannah, Kristin ",138
"McCormick, Patricia ",136
"Alender, Katie ",133
"White, Kate ",128
"Hunter, Erin ",124
" McLoughlin, Wayne ",124
"Hearne, Kevin ",122
"Green, Emily K. ",121
"Cunxin, Li ",118
" Papp, Robert (ILT)",110
"Snyder, Maria V. ",109
"Mitchell, Todd ",107
"Hooper, Mary ",106
"Minter, J. ",105
"Kurlansky, Mark ",104
"Dowswell, Paul ",104
"Henderson, Dee ",102
" Ivanov, Aleksey (ILT)",99
" Ivanov, Olga (ILT)",99
"Graves, Sue (RTL)",98
"Cofer, Judith Ortiz ",98
"Clancy, Tom ",97
" Greaney, Mark ",97
"George, Elizabeth ",96
" Chambers, Veronica ",95
"Samuelsson, Marcus ",95
"Peet, Mal ",93
" Bracken, Carolyn (CON)",93
"Collins, B. R. ",93
"Reeve, Philip ",92
"Von Finn, Denny ",90
"Green, Emily ",87
"Hooper, Kay ",85
"McCann, Jesse Leon ",84
" Cowdrey, Richard (ILT)",79
"Grogan, John ",79
"De la Cruz, Melissa ",76
"Nagler, Michelle H. ",76
" Soileau, Hodges (ILT)",75
"Cushman, Doug ",73
"Coben, Harlan ",73
"Parish, Herman ",72
" Avril, Lynne (ILT)",72
"Bondoux, Anne-Laure ",72
"Scotton, Rob ",70
" Scotton, Rob (ILT)",70
"Zettel, Sarah ",64
"Shelton, Dave ",63
"Higson, Charlie ",62
"Woods, Sherryl ",61
"Cadnum, Michael ",59
"Davis, William ",59
"Lockhart, E. ",57
"Greene, Bette ",57
"Perry, Thomas ",57
"Kenyon, Sherrilyn ",56
"Allman, Gregg ",54
"Peters, Julie Anne ",53
"Baum, L. Frank ",53
"Donohue, Meg ",53
" Gulliver, Amanda (ILT)",53
"Christie, Agatha ",51
"Cotler, Steve ",51
" McCauley, Adam (ILT)",51
"Wasserman, Robin ",50
"Dobkin, Bonnie ",50
"Gray, Shelley Shepard ",49
"Banks, Russell ",48
"Black, Shayla ",47
"Bell, Ted ",47
"Barbo, Maria S. ",47
"Moggach, Deborah ",46
"Hughes, Monica (RTL)",46
"Grant, Cecilia ",46
"Mortimer, Carole ",46
" Williamson, Gwyneth (ILT)",45
" Call, Greg (ILT)",45
"Kenah, Katharine ",44
"Berenstain, Jan ",44
" Berenstain, Stan ",44
" Carter, Abby (ILT)",44
" Berenstain, Jan (ILT)",44
" Hansen, Gaby (ILT)",43
"Shoshan, Beth ",43
"Crawford, Brent ",41
"Ambler, Eric ",40
" Daniel, Alan (ILT)",40
"Burpo, Todd ",40
"Jones, Lisa Renee ",40
 Studio Iboix (ILT),38
"Lee, Jeannie ",38
"Wells, H. G. ",38
"Vizzini, Ned ",37
"Campbell, Julie ",37
"Carpender, Dana ",37
"Dostoyevsky, Fyodor ",36
"Laurens, Stephanie ",36
"Stirling, S. M. ",36
"Howe, James ",36
" Hammerness, Paul ",36
"Stolarz, Laurie Faria ",36
"Oates, Joyce Carol ",36
"Moore, Margaret ",36
" Mochulsky, Konstantin (INT)",36
" Macandrew, Andrew R. (TRN)",36
"Steel, Danielle ",35
"Brooks, Terry ",34
"Williamson, Gwyneth (ILT)",33
"Moss, Jenny ",33
"Vincenzi, Penny ",33
"Scott, Michael ",32
"Guidone, Ellen ",31
"O'Keefe, Molly ",31
"Grant, K. M. ",31
"Nguyen, Luke ",31
"Coble, Colleen ",30
"Andersen, Susan ",30
"Ruggles, Lucy ",30
"Graham, Billy ",29
"Sparks, Kerrelyn ",29
" Lamont, Priscilla (ILT)",29
"Howe, Deborah ",28
" Howe, James ",28
"La Plante, Lynda ",28
"Lucas, Jennie ",28
" Dodge, Howard P. ",28
"Graves, Sarah ",28
"Ku, Richard ",28
"Lindeen, Mary ",27
"Barry, Dave ",27
"Julian, Stephanie ",27
" Salgado, Adrienne (ILT)",27
"Richards, Justin ",26
"Forster, Gwynne ",26
"Witherington, Ben III ",25
"Feist, Raymond E. ",25
"Hawkins, Rachel ",25
"Crocker, Betty (COR)",24
"Wilde, Lori ",24
"Mcclellan, Ray ",24
"Gutman, Dan ",24
"Langdon, Libby ",23
"Polisar, Barry Louis ",23
"Gale, Emily ",22
" Marshall, Mark (ILT)",22
"Dean, Josh ",22
" Wilson, Phil (ILT)",22
"Brown, Charlotte Lewis ",22
"Ashworth, Jenn ",22
"Groff, Lauren ",22
" Link, Kelly (EDT)",21
"O'Neal, Barbara ",21
"Grant, Gavin J. (EDT)",21
"Sodenberg, Erin ",20
"Schuetz, Kari ",20
"Mayo, Matthew P. ",20
" Brown, Petra (ILT)",20
"David, Jack ",20
" Loggia, Wendy (EDT)",20
"Neville, Miranda ",19
"Bergen, Lara ",19
"Beil, Michael D. ",19
