,0
" Espinosa, Rod (ILT)",6501
"Dunn, Joeming ",5152
"Ollhoff, Jim ",3809
"Gaarder-Juntti, Oona ",2740
"Hunter, Erin ",2128
"Hamilton, Sue ",1873
" Stevenson, Dave (ILT)",1844
" Dunn, Ben (ILT)",1696
"L'Engle, Madeleine ",1678
"Dunn, Joe ",1658
"Wheeler, Jill C. ",1656
"Larson, Erik ",1444
"Pierce, Alan ",1253
"Bryson, Bill ",1075
"Hamilton, John ",1002
"Furstinger, Nancy ",873
"Card, Orson Scott ",772
"Kleypas, Lisa ",657
"Meister, Cari ",613
"Hamilton, S. L. ",607
"Mishkin, Dan ",592
" Hoberg, Rick (ILT)",592
"Evanovich, Janet ",588
" Allen, Chris (ILT)",539
"Roberts, Nora ",468
"Atwood, Margaret Eleanor ",435
"Koestler-Grack, Rachel A. ",424
"Grafton, Sue ",419
"Scalzi, John ",412
"Slaughter, Karin ",411
"Gunderson, Cory Gideon ",407
"Murkoff, Heidi Eisenberg ",389
" Mazel, Sharon ",389
"Child, Lee ",388
"Hilderbrand, Elin ",370
"Loveland, H. P. ",348
" Kidwell, Mark (ADP)",348
" Kidwell, Mark (ILT)",348
"Burke, Alafair ",344
" Martin, Cynthia (ILT)",339
"Feasey, Steve ",334
"Gipson, Fred ",322
"Mikaelsen, Ben ",317
"Marcovitz, Hal ",308
" Roy, Léna (INT)",297
"Smith, Rich ",294
"Weaver, Will ",290
"Winspear, Jacqueline ",289
" Richardson, Owen (ILT)",284
" Douglas, Allen (ILT)",284
"Howard, Linda ",256
"Dunn, Joerning ",248
"Rivera, Sheila ",248
"Fergus, Jim ",247
"Witmer, Scott ",238
"Feehan, Christine ",229
" Ho, Jason (ILT)",227
"Hannah, Kristin ",211
"Engle, Margarita ",179
"Bowen, Rhys ",176
"George, Elizabeth ",170
"Howell, Hannah ",168
"Andronik, Catherine M. ",167
"Hickey, Caroline ",166
"Mann, Charles C. ",163
"Christie, Agatha ",160
"King, Laurie R. ",160
"Krakauer, Jon ",159
"Shelley, Mary Wollstonecraft ",156
"Cadnum, Michael ",156
"Golden, Arthur ",153
"Stevenson, Robert Louis ",152
" Ho, Jason (ADP)",152
"Gantos, Jack ",145
"Beaton, M. C. ",143
"Box, C. J. ",139
"Meyerhoff, Jenny ",136
"Molnar, Haya Leah ",135
"Gawande, Atul ",133
"Parmalee, Thomas ",124
"Brown, Dan ",123
"Jordan, Robert ",122
"Freitas, Donna ",118
"Coventry, Susan ",112
"Kellerman, Jonathan ",112
"Trigiani, Adriana ",112
"Klass, David ",109
"McCall Smith, Alexander ",108
"Robison, John Elder ",108
"Obama, Barack ",107
"Brooks, Max ",104
"Quindlen, Anna ",103
"Robinson, Marilynne ",99
"Sanderson, Brandon ",98
" Espinosa, Rod ",97
"Weissbluth, Marc ",97
" Dunn, Joe ",97
"Melville, Herman ",97
"Gunderson, Cory ",96
"Turner, Megan Whalen ",93
"Freeman, Brian ",92
"Paolini, Christopher ",92
"Espinosa, Rod ",92
"Castillo, Linda ",91
"Hamilton, Steve ",90
