,0
"Clark, Mary Higgins ",2525
"Kwan, Kevin ",1651
"Steel, Danielle ",1622
"Donohue, Moira Rose ",1495
"Coben, Harlan ",1303
"Creech, Sharon ",1284
"Thayer, Nancy ",1065
" Burke, Alafair ",942
"Rubin, Gretchen ",909
"Curley, Marianne ",900
"Rivers, Glenn ",869
"Deaver, Jeffery ",628
"Ryan, Pam Munoz ",625
" Gilbert, Yvonne (ILT)",603
" Van Leer, Samantha ",603
"Picoult, Jodi ",603
" Mendes, Melissa (ILT)",572
"Greenwald, Tommy ",572
"Diamant, Anita ",569
"James, Julie ",550
"Alkemade, Kim van ",548
"George, Nina ",545
"Hoyt, Elizabeth ",518
"Hilderbrand, Elin ",444
"Balogh, Mary ",438
"Babbitt, Natalie ",397
"Grisham, John ",392
" Layden, Joseph ",391
"Elwes, Cary ",391
"Novic, Sara ",389
"Tarshis, Lauren ",387
"Gutman, Dan ",363
"Durst, Sarah Beth ",332
" Ritz, David (CON)",331
"Robinson, Kim Stanley ",323
"Nelson, Willie ",319
"Kenyon, Sherrilyn ",313
" Paillot, Jim (ILT)",308
"Barneveld, Vanessa ",300
"Gracie, Anne ",299
"Hannon, Irene ",297
"Silvera, Adam ",289
"Trine, Greg ",281
" Burks, James (ILT)",281
"Holden, Wendy ",279
"Benway, Robin ",269
"Hawkins, Scott ",268
"Stine, R. L. ",267
"Patterson, James ",264
"Childs, Laura ",257
"Wolf, Dick ",254
"Reich, Christopher ",254
"Abercrombie, Joe ",251
"Bacigalupi, Paolo ",244
"Martin, Charles ",233
"Du Maurier, Daphne, Dame ",230
"Richardson, Sara ",224
"Robbins, Alexandra ",224
"Durango, Julia ",212
"Palmer, Amanda ",211
"Bolick, Kate ",211
" Sommer, Carolin (TRN)",208
" Sellmair, Nikola ",208
"Teege, Jennifer ",208
"Meadows, Daisy ",202
"O'Reilly, Bill ",195
" Dugard, Martin ",195
"Zink, Nell ",194
"Day, Sylvia ",193
Princeton Review (COR),191
"Shalvis, Jill ",183
"Michaels, Fern ",183
"Johnson, Craig ",181
"White, Kate ",180
"Bosch, Pseudonymous ",176
"Wentworth, Ali ",174
"Cameron, W. Bruce ",173
"Suma, Nova Ren ",172
"Maxwell, John C. ",168
"Roby, Kimberla Lawson ",167
"Indridason, Arnaldur ",166
" Cribb, Victoria (TRN)",166
"Sigler, Scott ",165
"Carr, Robyn ",164
"Evans, Bronwen ",164
"Morgan, Kass ",156
"Vann, David ",154
"Enright, Anne ",154
"Bregman, Peter ",149
"Alameda, Courtney ",149
"Gingrich, Newt ",148
" Earley, Pete ",148
"Harris, Rachel ",147
" Paetro, Maxine ",146
"Brownley, Margaret ",144
"Maffucci, Ali ",143
"Jobb, Dean ",140
"Armstrong, K. L. ",134
" Marr, M. A. ",134
"Schinner, Miyoko ",133
Penthouse International (COR),131
" Spooner, Meagan ",131
"Kaufman, Amie ",131
"Mann, Sally ",130
"Ohanesian, Aline ",129
"Pitlor, Heidi ",129
"Vida, Vendela ",128
"Brackston, Paula ",127
"Nielsen, Jennifer A. ",124
"Sundquist, Josh ",122
" Berger, J. M. ",120
"Mallery, Susan ",120
"Stern, Jessica ",120
"Alvar, Mia ",119
" Grabenstein, Chris ",118
"Gutierrez, Manel ",116
"Deveraux, Jude ",116
"Callihan, Kristen ",116
"Harvey, Michael ",115
"Brown, Jeffrey ",113
" Latsch, Oliver (TRN)",111
"Funke, Cornelia Caroline ",111
" Zukus, Kerry (CON)",111
" Meyer, Kerstin (ILT)",111
"Beam, Christy ",111
"Applegate, Katherine ",110
" Karas, G. Brian (ILT)",110
"Schmidt, Eric ",109
" Rosenberg, Jonathan ",109
"Kumai, Candice ",109
"Mull, Brandon ",103
"Baptiste, Tracey ",102
"Prowse, Amanda ",102
 Dalai Lama XIV ,99
"Goleman, Daniel ",99
"Gerritsen, Tess ",99
 Who Hq (COR),95
"Daheim, Mary ",95
"Demuth, Patricia Brennan ",94
"Patterson, Richard North ",94
"Lende, Heather ",93
"Wiggs, Susan ",93
"Licht, Aliza ",92
"Hay, Sam ",91
"Jones, Lisa Renee ",91
"Salisbury, Melinda ",89
"Krause, Chelsey ",88
"Ryan, Kendall ",88
"Peterson, Tracie ",88
"Tran, Vu ",87
"Dimopoulos, Elaine ",86
"Allen, Rachael ",84
"Thaler, Richard H. ",84
"McDougall, Christopher ",83
" Kenyon, David G (ILT)",82
"Zamora, Francesc ",82
" Anderson, Scott (ILT)",82
" Cooper, Simon (ILT)",79
"Golden, Christopher ",77
"Goodger, Jane ",77
"Macomber, Debbie ",77
"Reavill, Gil ",76
"Olsson, Fredrik T. ",75
"Gibaldi, Lauren ",75
"Gottlieb, Eli ",74
"Coutts, Alexandra ",74
"Benforado, Adam ",73
"Johnston, Joan ",72
"Karjel, Robert ",72
" Hart, Emma ",71
"Kline, T. J. ",71
" James, Clare ",71
"Dinnison, Kris ",71
" Banyas, Stephanie ",70
"Flay, Bobby ",70
"Holder, Nancy ",70
" Jackson, Sally ",70
" Viguie, Debbie ",70
"Beukes, Lauren ",69
"Nichtern, Ethan ",69
"Phillips, Carly ",69
" Salzberg, Sharon (FRW)",69
"Casey, Jane ",69
"Sloan, Holly Goldberg ",67
"Barnholdt, Lauren ",67
"Ryan, Carrie ",66
"Stein, Charlotte ",65
"Griep, Michelle ",65
"Summers, Courtney ",64
"Sugg, Zoe ",64
"Woods, Molly McGuire ",63
"Miller, Judith ",62
"Lemmon, Jessica ",62
"Yourgrau, Barry ",62
"Von Furstenberg, Diane ",61
"Leonard, Elmore ",61
" Mell, Eila ",61
"Zyla, David ",61
"Taylor, Laini ",61
"Cabot, Amanda ",60
"Ngan, Natasha ",60
"Roat, Sharon Huss ",59
"Man-Kong, Mary ",59
"Chandler, Matt ",58
"Sales, Leila ",57
"Foster, Lori ",57
"Pinkney, Andrea Davis ",56
" Evans, Shane W. ",56
"Zail, Suzy ",56
"Markham, Laura ",56
"Todd, Anna ",55
"Lane, Nick ",55
"Pearson, Kris ",55
"Tripp, Ben ",55
"Helbig, Grace ",54
"Winters, Cat ",54
"Presilla, Maricel E. ",53
"Dekker, Ted ",52
"D'Souza, Dinesh ",52
"Hancock, Sheila ",51
"Toksvig, Sandi ",51
"Kaufmann, Carol ",51
"Rhodes, Jewell Parker ",51
"Gooley, Tristan ",51
" Damant, Aurore (ILT)",50
"Butler, Dori Hillestad ",50
"Bailey, Tessa ",50
"Sax, Cynthia ",50
"Stokes, Abby ",49
" Rosen, Gary (ILT)",49
"Weintraub, Robert ",48
"Workman, Katie ",48
"Reeves, Richard ",47
"Murphy, Jim ",46
"Phelps, M. William ",46
" Sandler, Jane ",46
"Martin, Ann M. ",45
" Rankin, Lissa, M.D. (FRW)",45
"Silver, Tosha ",45
"Michie, David ",45
"Edwards, Nicole ",44
"Gerber, Carole ",44
" Mones, Isidre (ILT)",44
"Doescher, Ian ",43
"Davis, Kenneth C. ",43
"Anderson, John David ",43
"Richards, C. J. ",42
"Wachsmann, Nikolaus ",42
"Whelan, Tanya ",42
" Crosby, Tripp ",42
"Stanton, Tyler ",42
" Fujita, Goro (ILT)",42
" Parke Davis, John ",41
"Roe, Andrew ",41
"Hawkins, Paula ",41
"Ozment, Katherine ",41
"Lagonegro, Melissa ",40
"Hrachovec, Anna ",40
"Lang, Rebecca ",40
"McKenzie, Sophie ",40
"Collins, Manda ",39
"Reeve, Philip ",39
"Byler, Linda ",39
"Johns, Rachael ",39
"Jordan, Jonathan W. ",39
"Madhavan, Guru ",39
"Dickens, Charles ",39
" Brazier, Brendan (FRW)",38
"Knopf, Karl ",38
"Sanderson, Ruth ",38
"Crosby, Heather ",38
" Knopf, Chris ",38
"Fischer, Paul ",38
Avi ,37
" Hayden, Teresa Nielsen (EDT)",37
"Wilson, Robert Charles ",37
"Hanlon, Abby ",37
"Gold, Alan ",37
"Deem, James M. ",36
"Lauren, Christina ",36
"Chase, Sarah Leah ",36
"Layne, Lauren ",36
"Dugan, Polly ",36
" Garten, Ina (FRW)",36
"Lynch, Chris ",36
" Witte, George (EDT)",35
"Merullo, Roland ",35
"King, Stephen ",35
"Leckie, Ann ",35
"Riordan, Rick ",35
"Hageseth, Christian ",35
" D'Agnese, Joseph ",35
"Karnad, Raghu ",34
"Crawford, Matthew B. ",34
"Parker, Robert B. ",34
"Alinder, Mary Street ",34
"Schultz, Emily ",34
"Bronte, Charlotte ",34
"Bloomston, Carrie ",34
" Calo, Marcos (ILT)",33
"Wells, Marcia ",33
"Howard, Kate ",33
"King, Mary Anna ",33
" Allen, Rinne (PHT)",32
"Acheson, Hugh ",32
"Viets, Elaine ",31
"Nimura, Janice P. ",31
"Klein, Melanie ",31
"McClintock, Norah ",31
" Kirkman, Robert ",31
" Guest-jelley, Anna ",31
"Glines, Abbi ",31
"Coe, Alexis ",31
"Bonansinga, Jay ",31
"Rhodes, Morgan ",30
"Celt, Adrienne ",30
"Kreamer, Anne ",30
" Marchesi, Stephen (ILT)",29
"Mitenbuler, Reid ",29
"Baker, Amy J. L. ",29
" Barton, Patrice (ILT)",29
" Ludmer, Brian ",29
" Dane, Heather ",29
" Khadro, Ahlea ",29
"Cheng, Andrea ",29
"Hay, Louise ",29
"Livingston, Lesley ",29
" Bone, J. Michael ",29
"Morgan, Ellen ",29
"Shan, Darren ",28
" Zahn, Timothy ",28
"Cadwallader, Robyn ",28
"Gliori, Debi ",28
"Williams, Cathy ",28
" Mattingly, David (ILT)",28
"Cornwell, Bernard ",28
"Schickel, Richard ",28
"Weber, David ",28
"Walters, Eric ",27
"Levine, Gail Carson ",27
"Samit, Jay ",27
"Boccabella, Zoe ",27
"Safran, John ",27
"Yelchin, Eugene ",27
" Cohen, Jeff ",27
"Copperman, E. J. ",27
"Alexander, Tasha ",26
"Howard, Martin ",26
" Janes, Andy (ILT)",26
"Schwartz, Barry ",26
"Bell, Shelly ",26
"Dalglish, David ",25
"Bowers, Mark ",25
"Belleau, Heidi ",25
"Jakes, T. D. ",25
" Henry, Lisa ",25
" Groff, David (ILT)",25
"Quartz, Steven ",24
" Asp, Anette ",24
"Box, C. J. ",24
"Frydenborg, Kay ",23
" Hall, Wynton ",23
"Harrison, Thea ",23
"Rarus, Brandi ",23
"Greenfield, Martin ",23
" Mathias, John (ILT)",23
" Matlin, Marlee (FRW)",23
" Harris, Gail ",23
"Abrams, Brian ",23
"Waites, Martyn ",22
"Newman, Kim ",22
"Medina, Nico ",22
" Putra, Dede (ILT)",22
"Herrman, Heather ",22
"Fletcher, Charlie ",22
"Hunter, Lindsay ",22
"Sinclair, Rob ",22
"Heltzel, Anne ",22
"Estabrook, Barry ",22
" Slonecker, Andrea ",21
"Sewell, Anna ",21
" Harrison, Nancy (ILT)",21
"Reynard, Sylvain ",21
"Hanel, Marnie ",21
"Lieb, Josh ",21
"Gillingham, Sara ",21
"Cohen, Alice Eve ",21
"Hiekkapelto, Kati ",20
"Carey, Anna ",20
" Hackston, David ",20
"Koontz, Dean R. ",20
" Johnstone, J. A. ",20
"Johnstone, William W. ",20
"Nemirovsky, Irene ",20
"Scott, Victoria ",20
"Christoff, Nichole ",20
" Hoare, Jerry (ILT)",19
"O'Brien, Edna ",19
" Banville, John (INT)",19
"Burrows, Annie ",19
"Carlson, Melody ",19
"Maccallum, Mungo ",19
"Marshall, Roger ",19
"Verne, Jules ",19
"Blackwood, Jennifer ",18
"Mansbach, Adam ",18
"Germain, Lili St. ",18
"Crowe, Elizabeth Powell ",18
"Smith, Carlton ",18
"Campbell, Jeff ",18
"Joseph, Annabel ",18
"Stine, Megan ",18
" Brozman, Owen ",18
" Beyer, Ramsey (ILT)",18
"Herrera, Hayden ",17
"Labrecque, Ellen ",17
"Grove, S. E. ",17
" Rogers, Amy K. ",17
"Marrs, Jim ",17
"Slack, Charles ",17
"Walker, Ann Marie ",17
"Brady, Conor ",17
"Pryce, Trevor ",17
"Coe, Amanda ",17
"Carson, David ",17
"Weltman, Joshua ",17
"Miller, Linda Lael ",17
"Annas, George ",17
" Naftali, Joel ",17
"Stanny, Barbara ",17
"Abbott, Tony ",17
" Hamm, Jon (FRW)",17
" Greene, Sanford (ILT)",17
"Bell, Serena ",17
" Elias, Sherman ",17
"McNear, Mary ",16
 American Macular Degeneration Foundation (COR),16
"Stirling, Tricia ",16
"Thompson, Jennifer Trainer ",16
"Savage, J. Scott ",16
"Lin, Grace ",16
"Grayson, Benson ",16
" Janowitz, Sophia ",16
" Holgate, Doug (ILT)",16
"Ashby, Amanda ",16
" Seddon, Johanna M. ",16
"Miller, Megan ",16
"Kay, Sarah ",16
" Child, Lincoln ",15
"Dass, Ram ",15
"Gordon, Noah ",15
" Loftus, David (PHT)",15
"Witemeyer, Karen ",15
"Khoo, Rachel ",15
"Weinberg, Leonard ",15
" Packer, Sarit ",15
"Patrick, Seth ",15
"Title, Sarah ",15
"Srulovich, Itamar ",15
"Preston, Douglas ",15
"Barrett, Colin ",14
"Costello, Mary ",14
"Poe, Edgar Allan ",14
"Brouwer, Sigmund ",14
"Nixon, Lindsay S. ",14
"Siemsen, Michael ",14
"Langbehn, Jenny ",14
"Kincaid, Kimberly ",14
Speedy Publishing (COR),14
"Snider, Lesa ",14
" Doyle, Pat (PHT)",14
"Knight, Bernard ",14
"Urquhart, Jane ",13
"Fishbane, Joel ",13
"Seitz, Christopher R. ",13
"Hass-cohen, Noah ",13
"London, Colette ",13
" Prosek, Jen ",13
" Cozolino, Louis (FRW)",13
"Wright, John C. ",13
"Jay, Debra ",13
"Burton, LeVar ",13
"Herman, Gail ",13
" Hammond, Ted (ILT)",13
"Hewitt, Kate ",13
"Zampatti, Carla ",13
"French, Jackie ",13
" Findlay, Joanna Clyde ",13
"Heinlein, Robert A. ",13
"Warren, Tiffany L. ",13
"Schroeder, Lisa ",13
"Fry, Hannah ",13
"Davies, Peter ",13
" Eggleton, Bob (ILT)",13
"Ross, Howard J. ",13
" Bernardo, Susan Schaefer ",13
"Gach, Michael ",13
"Rende, Richard ",13
"Latham, Jennifer ",13
" Kaplan, Frances (FRW)",13
" Fletcher, Courtenay (ILT)",13
"Leine, Kim ",12
"De Fombelle, Timothee ",12
"Kovacs, Mark ",12
"Geisler, David ",12
"Capucilli, Alyssa Satin ",12
"Grimsley, Jim ",12
" Geisler, Norman ",12
" Aitken, Martin (TRN)",12
"Morais, Fernando ",12
"Outcalt, Todd ",12
" Gordon, Ronni L. ",12
"Bodeen, S. A. ",12
"Fitzgerald, F. Scott ",12
"Smiley, Tavis ",12
"Stillman, David M. ",12
" Hinderliter, John (ILT)",12
"Beakman, Onk ",12
" Stott, Dorothy (ILT)",12
"Maron, Margaret ",12
"Kelley, True ",12
"Boles, Blake ",11
"Clift, Charmian ",11
"Rhoades, J. D. ",11
"Florian, Douglas ",11
"Fletcher, Michael R. ",11
"Steavenson, Wendell ",11
"Ross, Elizabeth ",11
"Fox, Candice ",11
"Woolley, Scott ",11
" Stevermer, Caroline ",11
"Jackson, Lisa ",11
" Lombardi, Federico (FRW)",11
" Le Feyer, Diane (ILT)",11
"Grant, John ",11
"Alexander, Heather ",11
" Florian, Douglas (ILT)",11
Pope Francis ,11
"Wrede, Patricia C. ",11
"Oster, Patrick ",11
" Spadaro, Antonio (EDT)",11
" Cast, Kristin ",11
"Cast, P. C. ",11
" O'Brien, John (ILT)",10
" Foster, Alan ",10
" Hamilton, James (ILT)",10
"Detweiler, Katelyn ",10
"Green, Abby ",10
"Sardar, Ziauddin ",10
"Gray, Amelia ",10
