,0
"Vance, J. D. ",2323
"Woods, Stuart ",2052
"Patterson, James ",1967
"Steel, Danielle ",1814
" Burke, Alafair ",1381
"Clark, Mary Higgins ",1381
"Silva, Daniel ",1263
" Fox, Candice (CON)",1152
"Miranda, Megan ",1037
"Giffin, Emily ",970
"Hartwig, Melissa ",945
"Michaels, Fern ",916
"Steiner, Susie ",910
"McEwan, Ian ",796
"Kendrick, Anna ",753
"Cline, Emma ",739
"Delaney, J. P. ",677
" Dilallo, Richard (CON)",588
" Johansen, Roy ",498
"Johansen, Iris ",498
"Higgins, Jack ",496
"Taylor, Brad ",490
"Rosen, Jane L. ",448
"Lustbader, Eric ",431
"Griffin, W. E. B. ",386
" Butterworth, William E. ",386
"O'Connor, Barbara ",369
"Dean, James ",367
"White, Karen ",334
"Hawley, Noah ",327
"Cottman, Michael ",321
"Stine, R. L. ",309
"Anderson, Catherine ",305
"Brown, Eleanor ",298
"Van Dyken, Rachel ",295
" Child, Lincoln ",288
"Preston, Douglas ",288
"West, Lindy ",283
"Johnson, Lindsey Lee ",279
"White, Kiersten ",274
" Perrine, Stephen ",270
"Zinczenko, David ",270
" Williams, Wendy W. (CON)",249
"Ginsburg, Ruth Bader ",249
" Hartnett, Mary (CON)",249
"Proulx, Annie ",232
"Burrowes, Grace ",232
" Grabenstein, Chris ",227
" Sutphin, Joe (ILT)",227
"Mallery, Susan ",226
"Cranston, Bryan ",211
"Sandford, John ",202
" Cook, Michele ",202
"Meissner, Susan ",198
"Pryor, Liz ",193
"Ephron, Delia ",183
"Wiggs, Susan ",183
"Grebe, Camilla ",182
"Schwab, Victoria ",182
" Wessel, Elizabeth Clark (TRN)",182
"Petrie, Nick ",181
"Picoult, Jodi ",175
"Sanderson, Brandon ",175
"Griffin, Patience ",170
"Lore, Pittacus ",168
"McKenna, Lindsay ",162
"Buckley, James, Jr. ",161
Faithgirlz! (COR),157
"Raybourn, Deanna ",154
"Martinez, Antonio Garcia ",153
"Lakhiani, Vishen ",146
"Chase, Emma ",144
"Valentine, Marquita ",142
"Rodale, Maya ",142
"Dorling Kindersley, Inc. (COR)",141
"Alexander, V. S. ",140
"Hyde, Katherine Bolger ",140
"Bowman, Valerie ",137
"Bowen, Sarina ",136
"Muller, Marcia ",133
"Miranda, Lin-manuel (COP)",132
"Brennan, Allison ",132
"Russo, Meredith ",128
"Woods, Sherryl ",128
" Schwartz, Tony ",127
" Fisher, David ",127
"O'Reilly, Bill ",127
"Trump, Donald ",127
" Fisher, Marc ",125
"Kranish, Michael ",125
America's Test Kitchen (COR),123
Lonely Planet Publications ,123
"Breen, Steve ",119
"Rucka, Greg ",119
"Finch, Charles ",119
"Huntley, Swan ",119
"Singh, Nalini ",118
"Weisberger, Lauren ",117
"Fitzgerald, Laura Marx ",117
"Oliva, Alexandra ",116
"McGuire, Seanan ",113
"Byrne, Paula ",112
"Cook, Blanche Wiesen ",112
"Chokshi, Roshani ",110
"Banner, Catherine ",108
"Shalvis, Jill ",108
Hasbro (COR),107
"Winter, Jessica ",105
Ballantine (COR),104
"Hyman, Mark ",102
" Earley, Pete ",99
"Gingrich, Newt ",99
"Carr, Robyn ",99
"Quick, Matthew ",98
"Cannon, Joanna ",95
