,0
"Grafton, Sue ",2933
"Moyes, Jojo ",2597
"Dahl, Roald ",2139
"Hilderbrand, Elin ",1299
"Child, Lee ",891
"Kellerman, Faye ",830
"Forsyth, Frederick ",744
"Brown, Brene ",743
"Orwell, George ",708
" Blake, Quentin ",707
"Beaton, M. C. ",687
"L'Amour, Louis ",587
"Austen, Jane ",586
"Carr, Robyn ",584
"Monstrata, Nessi ",545
"Graham, Heather ",470
"Wilhelm, Kate ",460
"Albom, Mitch ",448
"Camilleri, Andrea ",439
"Wingate, Lisa ",434
"Stine, R. L. ",405
"Woods, Sherryl ",403
"Stiefvater, Maggie ",397
"Levitin, Daniel J. ",363
" Dixon, Richard (TRN)",362
"Eco, Umberto ",362
"Forstchen, William R. ",349
"Asher, Bridget ",338
"Barrett, Pearl ",326
" Allison, Serene ",326
"Quinones, Sam ",312
"Card, Orson Scott ",307
"Bova, Ben ",307
"Laurens, Stephanie ",299
"Hale, Nathan ",298
" Sartarelli, Stephen (TRN)",291
"Peters, Elizabeth ",286
"Grossman, Lev ",282
"O'Keefe, M. ",270
"Penny, Louise ",262
"Fodor's Travel Publications, Inc. (COR)",260
"King, Stephen ",260
"O'Brian, Patrick ",259
"Horowitz, Anthony ",257
"Higgins, Mary Clark ",257
Fodor's Travel Guides (COR),251
"Hartwell, Sadie ",241
"Dickens, Charles ",239
"Ellenberg, Jordan ",228
"McMorris, Kristina ",220
"Frost, Jeaniene ",217
" Mlynowski, Sarah ",216
"Jenkins, Emily ",216
" Myracle, Lauren ",216
"Han, Jenny ",209
"Novak, Brenda ",206
"Heinlein, Robert A. ",206
"Toibin, Colm ",206
"Foster, Lori ",205
"Bennett, James W. ",195
"Jacobs, Kate ",195
"Ware, Ruth ",184
"Lawson, Mike ",182
"Lemmon, Jessica ",181
"Dostoyevsky, Fyodor ",180
"MacKenzie, Sally ",179
"Weil, Andrew ",176
"Rose, Karen ",174
"McAdams, Molly ",173
"Brokaw, Tom ",168
"Macomber, Debbie ",167
"Hoffman, Alice ",166
"Adams, Richard ",164
"Ferriss, Timothy ",161
"Koryta, Michael ",159
"Amoruso, Sophia ",156
"Wilde, Lori ",155
"Winslow, Don ",149
"Howkins, Angela ",148
" Kattan-Ibarra, Juan ",148
"Yates, Maisey ",143
"Graff, Lisa ",139
"Ghilarducci, Teresa ",139
"Johnson, Cat ",131
"Hynde, Chrissie ",130
"Banks, Maya ",129
"Frankl, Viktor E. ",129
"Mankell, Henning ",129
"Aiken, G. A. ",127
