,0
" Blake, Quentin (ILT)",5419
"Dahl, Roald ",5419
"Baldacci, David ",2607
"Connelly, Michael ",1820
"Holm, Jennifer L. ",1718
"Brown, Sandra ",1626
"Galbraith, Robert ",1536
" Bruno, Iacopo (ILT)",934
"Preller, James ",934
"Sandford, John ",907
"Reichs, Kathy ",894
" Barrager, Brigette (ILT)",789
"Patterson, James ",789
"Rosenthal, Amy Krouse ",789
"Waters, Sarah ",742
"Lu, Marie ",715
"Roth, Veronica ",572
"Baker, E. D. ",547
 Seth (ILT),497
"Snicket, Lemony ",497
"Robb, J. D. ",485
"MacLean, Sarah ",479
"Roberts, Nora ",474
" Ivanov, Aleksey & Olga (ILT)",473
"Broach, Elise ",473
" Cordell, Matthew (ILT)",465
"McDermid, Val ",406
"Parker, Robert B. ",401
"Zevin, Gabrielle ",385
"Jackson, Lisa ",378
"Sternberg, Julie ",374
"Laybourne, Emmy ",374
"James, Marlon ",371
" Costa, Margaret Jull ",366
" Perry, Zoë ",366
"Coelho, Paulo ",366
"Child, Lee ",353
"Foster, Lori ",347
"Dailey, Janet ",346
" Gurney, John Steven (ILT)",319
"Roy, Ronald ",319
"Coleman, Reed Farrel ",311
"Mallery, Susan ",310
"Peters, Ellis ",293
" Ellison, J. T. ",290
"Coulter, Catherine ",290
"Hall, Sandy ",288
" Pastis, Stephan (ILT)",273
"Pastis, Stephan ",273
"Clare, Cassandra ",270
"Schumacher, Julie ",269
"Litwin, Mike ",266
"Warren, Elizabeth ",262
"Dekker, Ted ",223
"Farshtey, Greg ",215
"Kagawa, Julie ",214
"Pearce, Kate ",208
"Michaels, Fern ",206
" Blake, Russell ",199
"Cussler, Clive ",199
"Palmer, Amanda ",190
" Brown, Brene (FRW)",190
"Bodeen, S. A. ",179
" Morris, Jenny S. ",177
 Inklings Literary Agency (COR),177
"Lynn, Kelley ",177
"Higgins, Jack ",168
"Adair, Marina ",161
"Carriger, Gail ",160
"Palmer, Diana ",155
"Larson, Elsie ",154
" Chapman, Emma ",154
"Server, Dale ",147
" Lanzing, Jackson ",147
"Lupica, Mike ",140
"Shields, Charles J. ",139
"Cahoon, Lynn ",138
"Johnson, Steven ",138
"Burns, Jason M. ",135
"Fodor's Travel Publications, Inc. (COR)",135
"Kluger, Jeffrey ",133
" Wertheim, L. Jon ",131
"Michaels, Al ",131
"Frampton, Megan ",127
"Johnstone, William W. ",127
 Scholastic Inc. (COR),126
"Hoena, Blake ",124
" Johnstone, J. A. ",124
" Regan, Dana (ILT)",124
" Burris, Priscilla (ILT)",121
"Ball, Georgia ",121
"Scalzi, John ",121
"Birney, Betty G. ",121
" Mebberson, Amy (ILT)",121
"Delamere, Jennifer ",120
"Gibson, William ",120
"Vail, Rachel ",116
"Lewis, Norman ",113
"Virgin, J. J. ",113
"Kissinger, Henry ",113
"Roby, Kimberla Lawson ",111
"Vreeland, Susan ",111
"Ramsay, Hope ",110
"Green, Jane ",109
"Fluke, Joanne ",109
