,0
"Brown, Sandra ",9804
"Peirce, Lincoln ",6728
"Baldacci, David ",3809
"Sandler, Michael ",2870
"Shalvis, Jill ",2486
"Beaton, M. C. ",1697
"Sparks, Nicholas ",1169
"Patterson, James ",885
"Hoyt, Elizabeth ",683
"Hale, Christy ",657
"Person, Stephen ",583
"Baker, Jo ",543
"Ramsay, Hope ",529
"DeMille, Nelson ",515
"Silva, Daniel ",499
"Duprau, Jeanne ",457
"Connelly, Michael ",440
"Myers, Anna ",400
"Aslan, Reza ",382
"Lunis, Natalie ",380
"Delinsky, Barbara ",332
"Preston, Douglas ",331
" Child, Lincoln ",331
"Haymore, Jennifer ",317
"Carson, Clayborne ",306
" Hadadi, Hoda (ILT)",294
"Cunnane, Kelly ",294
" Pearson, Mark ",289
"Callihan, Kristen ",275
"Keller, Gary ",273
" Papasan, Jay ",273
"Graeber, Charles ",269
"Osteen, Joel ",257
"Baggott, Julianna ",253
"Lane, Katie ",252
"Snelling, Lauraine ",215
"Newport, Cal ",215
"Hanson, Rick ",213
"Richard, Shannon ",205
"Goldish, Meish ",198
"Kingsbury, Karen ",179
"Beals, Melba Pattillo ",158
"Castillo, Linda ",155
"James, Lorelei ",143
"Maxwell, John C. ",142
"Aiken, Ginny ",139
" Dugard, Martin ",138
"Ashley, Kristen ",134
"Hopkinson, Deborah ",132
"Anaya, Rudolfo A. ",129
"Pappano, Marilyn ",123
"DeGeneres, Ellen ",122
"Scott, Elizabeth ",122
"Runcie, James ",121
"Maron, Margaret ",120
"Roby, Kimberla Lawson ",114
"Dalton, Lily ",113
" Pulitzer, Lisa (CON)",110
"Drain, Lauren ",110
"Gleason, Colleen ",107
"Aronin, Miriam ",105
"Scott, Amanda ",104
"Campbell, Anna ",100
"Dekker, Ted ",99
"Card, Orson Scott ",98
" Johnston, Aaron ",98
"Kellerman, Faye ",97
"Armstrong, K. L. ",94
" Lane, Katie ",94
" Ramsay, Hope ",94
" Marr, M. A. ",94
"Abbott, Jeff ",93
" Lustbader, Eric ",92
"Ludlum, Robert ",92
"Ludwig, Trudy ",90
" Zeines, Victor (FRW)",90
"Delamere, Jennifer ",90
" Barton, Patrice (ILT)",90
"Artemis, Nadine ",90
"Barnard, Neal D. ",80
"Alers, Rochelle ",79
"Anderson, Kevin J. ",76
"Adams, Scott ",75
"Meyer, Joyce ",74
"Lehrer, Jim ",72
"Ione, Larissa ",69
"O'Reilly, Bill ",65
"Hartmann, Thom ",64
"Percy, Benjamin ",63
"King, Dean ",62
"Barton, Anne ",62
"Cody, Matthew ",61
"Hosp, David ",60
"Weiner, Eric ",59
" Lee, Tosca ",55
"Wells, H. G. ",54
"Jarzab, Anna ",53
"Sullivan, Anna ",52
"Garrity, Mary Carol ",52
"Brunstetter, Wanda E. ",52
"Attenberg, Jami ",51
"Cooper, Brenda ",49
"Carlisle, Kate ",49
"Austen, Jane ",47
"Vachss, Andrew H. ",47
"Brown, Eli ",47
" Schacht, Jennie ",46
"Costantino, Rosetta ",46
" Greenman, Ben ",46
Questlove ,46
"Palahniuk, Chuck ",46
"Aguirre, Blaise, M.D. ",45
" Galen, Gillian ",45
"Mitchard, Jacquelyn ",45
"Neggers, Carla ",45
"McElroy, Ken ",45
"Andrews, Donna ",44
"Maine, Kelli ",43
"Surovec, Yasmine ",43
"Garlock, Dorothy ",43
"Ellroy, James ",43
" Sheehy, Gail (FRW)",42
"Graves, Jane ",42
"Ware, Ciji ",42
"Bulawayo, Noviolet ",41
"White, Kate ",41
"Sutton, Garrett ",41
"Shapiro, Dani ",40
"Byrne, Christopher ",40
"Burnett, Frances Hodgson ",40
"Conrad, Joseph ",39
"Alden, Jami ",39
"Hill, Sandra ",39
"Hart, Carolyn ",39
"Brennan, Allison ",38
"Kern, Erin ",38
"Alcott, Louisa May ",37
"Castle, Kendra Leigh ",36
"Markovics, Joyce ",36
"London, Jack ",35
"Hitchens, Christopher ",35
"Meltzer, Brad ",35
"Tatulli, Mark ",34
"Lieberman, Matthew D. ",34
"Collins, Jackie ",34
"Cameron, Stella ",33
"Barkley, Russell A. ",32
"Matthews, Jane ",32
"Scaletta, Kurtis ",32
"Clare, Cassandra ",31
"Breitbarth, Wayne ",31
"Heller, Marla ",31
" Brennan, Sarah Rees ",31
"Quinn, Paula ",30
" Baker, Kevin ",30
"Letts, Billie ",30
"Hope Murray, Angela ",30
"Jackson, Reggie ",30
"Yogananda, Paramahansa ",29
"Handler, Chelsea (FRW)",29
" Chelsea's Family, Friends, and Other Victims ",29
" Hill, Christopher T. ",29
"Lederman, Leon M. ",29
"Dreiling, Vicky ",28
"Brumwell, Stephen ",28
"Wiesel, Elie ",28
" Lansdale, Joe R. (CON)",27
"Bennie, MaryAnne ",27
" Corey, James S. A. (CON)",27
" Moorcock, Michael (CON)",27
"Martin, George R. R. (EDT)",27
Sun-tzu ,27
" Dozois, Gardner R. (EDT)",27
LearningExpress (COR),27
" Bernofsky, Susan (TRN)",26
"Wald, Elissa ",26
" Levinson, Mark ",26
"Vaughn, Carrie ",26
"Cattrall, Kim ",26
"Wharton, Edith ",26
"Gotthelf, Jeremias ",26
"Cannon, Molly ",25
"Patrick, Seth ",25
"Thompson, Victoria ",25
"Douglass, Frederick ",25
"Dreher, Rod ",25
"Young, Robert O. ",24
" Young, Shelley Redford ",24
"Kuprenas, John ",24
"Goodman, Clio ",24
" Sussman, Adeena ",24
"Baum, L. Frank ",24
" Frederick, Matthew ",24
"Foxlee, Karen ",23
"Edelson, Stephen B. ",23
"Frederick, Matthew ",23
" Mitchell, Deborah ",23
"Rycroft-Malone, Jo (EDT)",22
" Bucknall, Tracey (EDT)",22
"Dickinson, Emily ",21
"Elliott, Cara ",21
"Weber, Mark M. ",21
"Serrano, Richard A. ",21
"Díaz, Junot ",20
"Schlosser, S. E. ",20
"Brett, Regina ",20
"Carr, Isobel ",20
"Dow, Candice ",20
" Hoffman, Paul G. (ILT)",20
"Wempen, Faithe (EDT)",20
"Kery, Beth ",20
" Walker, Jim (FRW)",19
"Gail, Stacy ",19
"Wellock, David G. ",19
Aesop ,19
"Thoreau, Henry David ",19
"Cherry, Alison ",19
"Shakespeare, William ",19
"Mosley, Walter ",18
"Green, Tim ",18
" Lee, Tosca (CON)",18
"McFedries, Paul (EDT)",18
"Dreyer, Eileen ",18
"Ryan, R. C. ",18
"Withee, Ken ",18
"Clines, Peter ",18
"Santana, Lily ",18
"Buckley, Fiona ",18
"McCorkle, Jill ",18
"Harmel, Kristin ",17
"Bova, Ben ",17
"Dauber, Jeremy ",17
"McQuein, Josin L. ",17
"Feehan, Christine ",17
"Zeland, Vadim ",17
"Rowan, Nina ",17
"Lazebnik, Claire ",17
"Meltzer, Brad (EDT)",17
"Northup, Solomon ",17
"Martin, Steve ",17
"Woods, Janet ",16
"James, Richard ",16
"Khan, Salman ",16
"Weiss, Brian L. ",16
"Du Bois, W. E. B. ",16
"Hamilton, Ian ",16
"Nylund, Eric ",16
"Grindle, Lucretia ",16
"Burroughs, Edgar Rice ",15
" Gazella, Karolyn A. ",15
"Ryan, R.c. ",15
"Cervantes Saavedra, Miguel de ",15
" Schneider, Sherrie ",15
"Bradley, Marion Zimmer ",15
"Fein, Ellen ",15
"Rose, Karen ",15
" Keown, Tim (CON)",15
"Brett, Simon ",15
"Hamilton, Josh ",15
"Alschuler, Lise N. ",15
"Creed, Therese ",15
"Pelecanos, George P. ",14
"Drew, Libby ",14
"Klaus, Peggy ",14
"Sutton, Robert I. ",14
"DiSpirito, Rocco ",14
"Tanenbaum, Robert K. ",14
"Rubenhold, Hallie ",13
" Goldman, Francisco ",13
"Ruhlman, Michael ",13
"Dana, Richard Henry ",13
"Salatin, Joel ",13
" Ugaz, Daniela Maria ",13
"Browning, Kelsey ",13
"Phillips, Carly ",13
"Bronte, Charlotte ",13
"Muller, Marcia ",13
"Lashinsky, Adam ",13
" Solovyev, Yevgenity (ILT)",13
"Recitas, Lyn-Genet ",13
" Polcyn, Brian ",13
"Martinez, Oscar ",13
"Davis, Dee ",13
"Harris, Rosie ",13
" Washington, John ",13
"Wodehouse, P. G. ",12
"Cannell, Dorothy ",12
"Bentley, Sue ",12
" Swan, Angela (ILT)",12
"Kusek Lewis, Kristyn ",11
"Thackeray, William Makepeace ",11
"Ohlsson, Kristina ",11
"Gaige, Amity ",11
"Powers, Rod ",11
"Smiley, Jane ",11
"Stewart, Carla ",11
"Green, Abby ",11
"MacGregor, Roy ",11
"DuPree, Kia ",11
Disney Book Group (COR),11
"Harker, Leesa ",11
"Martin, Demetri ",11
"Gee, Darien ",11
"Silver, Eve ",11
"Welfonder, Sue-Ellen ",10
"Lai, Thanhha ",10
"Corby, Gary ",10
"Castro, Joy ",10
"Stohl, Margaret ",10
"LaHaye, Tim F. ",10
"Bianco, Margery Williams ",10
Honeyb ,10
"Senft, Adina ",10
"Duecy, Erica ",10
"Hardy, Thomas ",10
