,0
"Dellaira, Ava ",6329
"Powell, Martin ",2033
"Dahl, Michael ",1585
"Bohjalian, Christopher A. ",1414
"Guillain, Charlotte ",1347
" Beacon, Dawn (ILT)",1235
" Vidal, Oriol (ILT)",1136
"Irvine, Alex ",1116
"Patterson, James ",1111
" Grabenstein, Chris ",1111
" Park, Laura (ILT)",1111
"Grabenstein, Chris ",1045
" Blecha, Aaron (ILT)",1002
"Scottoline, Lisa ",926
"Bracken, Beth ",888
"Anders, Charlie Jane ",629
" Busby, Ailie (ILT)",601
" Dietrich, Sean (ILT)",597
" Valdez Y Alanis, Erik (ILT)",552
"Wiggs, Susan ",544
"Shalvis, Jill ",533
"Lemke, Donald ",492
"Anderson, Catherine ",482
"James, Lorelei ",479
"Sanderson, Brandon ",449
"Colfer, Chris ",409
"Ghigna, Charles ",404
" Jatkowska, A. G. (ILT)",402
"Andersen, Hans Christian ",393
" Feldman, Luke (ILT)",382
"Thor, Brad ",376
"Graham, Benjamin ",373
"Edison, Erin ",367
" Doescher, Erik (ILT)",366
"Dane, Lauren ",365
"Graves, Sarah ",351
" Rivas, Victor (ILT)",350
"Osborne, Mary Pope ",348
" Coverly, Dave (ILT)",341
"Coverly, Dave ",341
"Hoffman, David E. ",340
"Brown, Carolyn ",338
"Black, Peter Jay ",326
" Lamoreaux, M. A. (ILT)",313
"Spilsbury, Richard ",304
"Chamberlain, Mary ",291
"Denault, Victoria ",282
"Walker, Sarai ",277
"Ludwig, David ",271
"Robinson, Kim Stanley ",268
"Guard, Anara ",265
"Maddox, Jake ",254
" Murdocca, Sal (ILT)",251
"Carbone, Courtney ",249
"Barrows, Annie ",237
"Shotz, Jennifer Li ",237
" Lettich, Sheldon ",237
" Rodriquez, Pedro (ILT)",236
"Trumbauer, Lisa ",230
" Tiffany, Sean (ILT)",228
"Alkemade, Kim van ",228
" Timmins, Jeffrey Stewart (ILT)",224
"Marks, Jennifer L. ",223
"Riehecky, Janet ",218
"Shaskan, Trisha Speed ",209
"Crownover, Jay ",208
"Skye, Obert ",206
"Meacham, Jon ",206
" Skye, Obert (ILT)",206
"Selfors, Suzanne ",202
" Tayal, Amit (ILT)",201
"Pierpont, Julia ",200
"Mina, Denise ",200
"Whittemore, Jo ",194
"Shakespeare, William ",187
"Youn, Anthony ",179
"Hoena, Blake A. ",179
" Adamson, Eve (CON)",179
