,0
"Patterson, James ",2926
"Finn, A. J. ",2685
"King, Stephen ",1593
"Egan, Jennifer ",1537
"Connelly, Michael ",1327
" King, Owen ",1214
"Weir, Andy ",1163
"Brown, Sandra ",1106
" Born, James O. (CON)",948
" Born, James O. ",943
"Clinton, Hillary Rodham ",892
"Maden, Mike ",793
"Moore, Kate ",792
"Krentz, Jayne Ann ",689
"Rollins, James ",679
"Beaton, M. C. ",628
" Mills, Kyle ",529
"Flynn, Vince ",529
"Campbell, Michele ",491
" Charbonnet, Gabrielle ",491
"Slaughter, Karin ",472
"Cameron, Marc ",457
"Peirce, Lincoln ",454
" Burke, Alafair ",454
"Clark, Mary Higgins ",454
"Le Carre, John ",429
"Allende, Isabel ",426
" Chizmar, Richard ",379
"Dalio, Ray ",342
"Johansen, Iris ",334
" Rotstein, Robert ",331
"Black, Holly ",327
"Messud, Claire ",316
"Aciman, André ",278
"Sisson, Mark ",263
" Kearns, Brad ",263
" Andersen, Kurt ",253
" Butterworth, William E. ",238
"Chiaverini, Jennifer ",238
"Griffin, W. E. B. ",238
"Graham, Heather ",230
"Hannah, Kristin ",226
"Chamberlain, Diane ",225
" Adler, Carlyle ",223
"Cameron, W. Bruce ",223
" Warren, Jeffrey ",223
"Harris, Dan ",223
"Clinton, Chelsea ",208
"Walker, Matthew ",205
"Novak, Brenda ",202
"Lee, Mackenzi ",199
"Henderson, Dee ",192
"Michaels, Fern ",188
"Winfrey, Oprah ",179
"Erdrich, Louise ",178
"Dobson, Melanie ",175
"Reynolds, Jason ",175
"Harris, Neil Patrick ",169
"Francis, Felix ",165
"Coonts, Stephen ",163
"Simons, Paullina ",161
Lonely Planet Publications (COR),155
"Sasse, Ben ",153
"Foster, Lori ",151
"Macgregor, Janna ",148
"Ignatius, David ",140
"Anderson, Kurt ",140
"Castillo, Linda ",140
"Evans, Richard Paul ",138
America's Test Kitchen (COR),137
"Gibson, Rachel ",133
"Fisher, David ",133
"Trump, Ivana ",133
" Kirschner, Elliot ",128
"Rather, Dan ",128
" Thwaites, Lilit (TRN)",127
"Iturbe, Antonio ",127
"Walsh, Courtney ",125
"Morante, Coco ",125
"Nevins, Sheila ",124
"Andrews, Donna ",124
"Maxwell, Cathy ",124
"Sands, Lynsay ",120
" Kilmeade, Brian ",119
"Yaeger, Don ",119
"Doughty, Caitlin ",114
"Baldwin, Alec ",113
"Kenyon, Sherrilyn ",112
"Gardin, Diana ",107
"Marzano-lesnevich, Alexandria ",106
"Eugenides, Jeffrey ",105
"Gudenkauf, Heather ",99
"Dean, James ",98
" Dean, James (ILT)",98
"Brunstetter, Wanda E. ",97
"Gutman, Dan ",97
"Ahdieh, Renée ",96
" Miller, John Jackson ",96
" Okorafor, Nnedi ",96
" Tahir, Sabaa ",96
" Cabot, Meg ",96
"Paige, Laurelin ",94
"Holland, Sara ",93
"Muller, Marcia ",93
"Page, Katherine Hall ",92
"Ladd, Linda ",92
"Gessen, Masha ",92
"Bunn, T. Davis ",91
"Roy, Arundhati ",90
"Walker, Julie Ann ",90
"Johns, Rachael ",90
"Simpson, Dana ",90
" Paillot, Jim (ILT)",89
"Burton, Jaci ",87
"Rosenberg, Joel C. ",87
" Slaven, Scott (CON)",87
"McCarten, Anthony ",87
"Maron, Margaret ",87
"Rogerson, Margaret ",86
"Branson, Richard ",86
"Barnes, Sophie ",83
"Slater, Dashka ",83
" Scott, Drew ",82
"Kluger, Jeffrey ",82
"Scott, Jonathan ",82
"McDermid, Val ",80
"Wingate, Lisa ",80
"Cullinan, Thomas ",80
"Carver, Courtney ",78
"Mcdonald, Fleur ",77
" Mone, Gregory ",77
"Nye, Bill ",77
" Iluzada, Nicholas (ILT)",77
"Bruder, Jessica ",76
"Beatty, Robert ",75
"Higgins, Ryan T. ",75
"Korda, Michael ",75
"Runcie, James ",74
"Hay, Ashley ",72
"Howard, Kate ",72
"Holahan, Cate ",72
"Fisher, Joely ",70
"Macomber, Debbie ",70
"MacBride, Stuart ",69
"Ballis, Stacey ",69
"Marsh, Henry ",69
"Gundry, Steven R. ",69
" Solimene, Christopher ",69
" Press, Marvel (COR)",67
"McCann, Jim ",67
" Clare, Cassandra ",66
"Kerrison, Catherine ",66
"Mezrich, Ben ",65
"Vaughan, Sarah ",65
"Cole, Alyssa ",65
"Spinney, Laura ",64
"Parker, Natalie C. ",64
"Adams, Scott ",64
"Lauren, Christina ",64
"Burnett, Frances Hodgson ",63
" Orban, Jani (ILT)",63
"McKibben, Bill ",63
Gmac Graduate Management Admission Council ,63
"Johnson, Terry Lynn ",63
"Sands, Charlene ",63
"Levin, Mark R. ",63
"Julien, Maude ",62
"Lackey, Mercedes ",62
"Richardson, Cheryl ",62
"Lord, Emery ",61
"Afshar, Tessa ",61
"Krahn, Betina ",60
" Lee, John ",59
"Geron, Eric ",59
"James, Peter ",59
" Garcia, Kyla ",59
"Leonard, Dion ",59
"Cornwell, Bernard ",58
"Sanderson, Brandon ",58
"Meyer, Joyce ",56
"Alexander, Tasha ",56
"Steves, Rick ",56
"Alexander, Victoria ",54
" Mukherjee, Siddhartha (FRW)",54
"Shelton, Paige ",54
"Satyal, Rakesh ",54
"Rutherford, Adam ",54
"Grace, Chantelle ",53
"Kix, Paul ",53
"Delany, Vicki ",53
" Nankani, Soneela ",52
"McBride, James ",52
"Greenblatt, Stephen ",52
"Chakraborty, S. A. ",52
"Grant, Andrew ",52
"Mills, DiAnn ",51
"Flynn, Avery ",50
"Manning, Kirsty ",50
"Simsion, Graeme ",49
"Cogman, Genevieve ",49
"Hoffman, Alice ",49
"Maupin, Armistead ",49
 Who Hq (COR),49
" Mayo, Keenan ",48
"Zinczenko, David ",48
"Taylor, Kathryne ",48
"Furlong, Susan ",47
"Hawkins, Paula ",47
"Bailey, Tessa ",46
" Sainsbury, Brendan ",46
"Boyd, Natasha ",46
" Maarleveld, Saskia ",46
" Brash, Celeste ",46
"Reynolds, John Lawrence ",46
"Cruz, Melissa De La ",45
"Kiyosaki, Robert T. ",45
"Berenstain, Mike ",45
" Perrine, Stephen ",44
"Mclemore, Anna-Marie ",44
"Patrick, Danica ",44
"Foster, Alan Dean ",44
