,0
"Gabaldon, Diana ",10898
"Child, Lee ",3606
"Zusak, Markus ",2884
"Martin, George R. R. ",1962
"Hannah, Kristin ",1807
"Jance, Judith A. ",1413
"Coben, Harlan ",1271
"Scottoline, Lisa ",1243
"Crais, Robert ",1105
"Grisham, John ",1091
"Skloot, Rebecca ",1068
"Roberts, Nora ",975
"Larsson, Stieg ",931
"Woods, Stuart ",878
"Andrews, Mary Kay ",692
"Phillips, Susan Elizabeth ",654
"Cleary, Beverly ",648
" Rogers, Jacqueline (ILT)",648
"Strout, Elizabeth ",626
"King, Stephen ",612
"Kleypas, Lisa ",602
"Kellerman, Jonathan ",528
"Brown, Dan ",518
"Bradley, Alan ",516
"Ford, Jamie ",490
"Harrison, Kim ",485
"Kinsella, Sophie ",474
"Green, Tim ",433
"James, Eloisa ",381
"Gardiner, John Reynolds ",377
" Hargreaves, Greg (ILT)",377
"Verghese, Abraham ",349
"Pratchett, Terry ",331
"Simonson, Helen ",324
"Ferriss, Timothy ",321
"McCall Smith, Alexander ",312
"Stewart, Mariah ",288
"Frost, Jeaniene ",284
"Grann, David ",282
"Steel, Danielle ",260
" Shaffer, Mary Ann ",249
"Barrows, Annie ",249
"Hobbs, Will ",242
"Grippando, James ",227
"Barclay, Linwood ",213
"Kellerman, Faye ",206
"Davidson, Diane Mott ",204
"Lehane, Dennis ",202
"Laurens, Stephanie ",175
"See, Lisa ",175
"Crusie, Jennifer ",168
"McCarthy, Cormac ",168
"Lowell, Elizabeth ",167
"Gaiman, Neil ",165
"McCarty, Monica ",163
"McDougall, Christopher ",160
"Amen, Daniel G. ",147
"Myers, Walter Dean ",145
"Hooper, Kay ",138
"Dorsey, Tim ",116
"Berenson, Alex ",116
"Delinsky, Barbara ",113
"Maxwell, Cathy ",111
"Lippman, Laura ",110
"Stephenson, Neal ",106
"Margolin, Phillip ",100
"Follett, Ken ",97
" Sands, Lynsay ",94
"Quinn, Julia ",91
"Balogh, Mary ",91
"Jeffries, Sabrina ",89
" Fox, Elaine ",88
" Frost, Jeaniene ",88
" Warren, Tracy Anne ",88
"Allende, Isabel ",88
" Nash, Sophia ",88
"Child, Julia ",84
" Prudhomme, Alex ",84
"Smithson, Ryan ",84
"Gross, Andrew ",83
"Brown, Dale ",81
" McKean, Dave (ILT)",80
"McCann, Colum ",79
"Michaels, Jess ",79
"Chase, Loretta Lynda ",78
"Day, Sylvia ",76
"Brown, Jeff ",76
" Pamintuan, Macky (ILT)",76
"Ebershoff, David ",74
"Daheim, Mary ",72
"Block, Lawrence ",66
"Evanovich, Janet ",65
"Yardley, Cathy ",65
"Halpern, Justin ",64
"Allen, Sarah Addison ",64
"Martini, Steve ",64
"Rutherfurd, Edward ",62
"Peters, Elizabeth ",62
"Robinson, Peter ",59
"Frank, Dorothea Benton ",59
"Cornwell, Bernard ",58
"Rollins, James ",57
"Heath, Chip ",53
" Heath, Dan ",53
" DeFelice, Jim ",53
"Leonard, Elmore ",52
" Kleypas, Lisa ",52
" Armstrong, Kelley ",51
" Handeland, Lori ",51
"Conroy, Pat ",51
"Davis, Kenneth C. ",46
"Hillerman, Tony ",45
"Kimmel, Elizabeth Cody ",45
" Pettersson, Vicki ",43
"Gruen, Sara ",43
"Abrahams, Peter ",43
"Bohjalian, Christopher A. ",43
" Wudunn, Sheryl ",43
" Liu, Marjorie M. ",43
"Kristof, Nicholas D. ",43
"Siddons, Anne Rivers ",41
"de Musset, Alfred ",40
"Hobb, Robin ",37
"Andersen, Susan ",36
"Rennison, Louise ",35
" Dodd, Christina ",35
" Boyle, Elizabeth ",35
"Tyler, Anne ",34
"Fried, Jason ",32
" Hansson, David Heinemeier ",32
"Hinton, Lynne ",31
