,0
"Kaling, Mindy ",1897
"Evanovich, Janet ",1590
" Sutton, Phoef ",1590
"Macomber, Debbie ",1588
"Larson, Erik ",1512
"Allen, Elise ",1332
" Pooler, Paige (ILT)",1332
" Stanford, Halle ",1332
"Yanagihara, Hanya ",1161
"Child, Lincoln ",1071
Saddleback Educational Publishing (COR),1034
"Patterson, James ",984
" Child, Lee (CON)",898
" Parker, T. Jefferson (CON)",898
" Cook, Thomas H. (CON)",898
" Deaver, Jeffery (CON)",898
"Clark, Mary Higgins (EDT)",898
"Fielding, Joy ",869
"Black, Peter Jay ",861
"Dweck, Carol ",784
" Sanghi, Ashwin ",762
"Robbins, Tony ",672
"Ishiguro, Kazuo ",644
"Castle, Richard ",601
" Ryder, Joanne ",599
" GrandPre, Mary (ILT)",599
"Yep, Laurence ",599
"Scottoline, Lisa ",538
"Finnegan, Amy ",500
"Watson, Tom ",487
"McCall Smith, Alexander ",469
"Freer, Alison ",452
"Singh, Nalini ",448
"Selfors, Suzanne ",446
"Harvey, Alyxandra ",429
" Piazza, Jo ",401
"Sykes, Lucy ",401
"Fodor's Travel Publications, Inc. (COR)",399
"Harris, Neil Patrick ",386
"Irvine, Alex ",380
"Baker, E. D. ",353
"Barrows, Annie ",345
"Miglore, Kristen ",338
" Hesser, Amanda (FRW)",338
" Stubbs, Merrill (FRW)",338
"Johnston, Joan ",335
"Shurtliff, Liesl ",321
Princeton Review (COR),319
"Ellis, Joseph J. ",296
"Grabenstein, Chris ",291
"Perry, Anne ",274
"Robinson, Peter ",263
" Silver, Nan ",259
"Gottman, John, Ph.D. ",259
"Wallman, James ",250
"King, Laurie R. ",248
"Chase, Bethany ",246
"Kenner, J. ",245
"Baldacci, David ",236
" Reiter, Mark ",224
"Goldsmith, Marshall ",224
"Nielsen, Susin ",224
"Joyce, Rachel ",217
"Cotterill, Colin ",205
"Auerbach, Annie ",204
"Hoffman, Alice ",197
"Brown, Rita Mae ",193
"Harbison, Beth ",193
"Knight, Renee ",192
"McCoy, Sarah ",187
" Perlmutter, David (FRW)",184
"Mercola, Joseph ",184
"George, Jessica Day ",177
"Black, Cara ",175
"Goodman, Marc ",174
"Kennedy, Stacey ",173
"Abbott, Christmas ",169
"Kennedy, Eliza ",166
"Parker, C. L. ",163
"McKinty, Adrian ",155
"Mosley, Walter ",153
"Grey, Melissa ",148
" Kath, Katie (ILT)",147
"Jones, Kelly ",147
"Coleman, Rowan ",143
"Farquhar, Michael ",142
"Katcher, Brian ",140
"Walker, Martin ",139
" Tetzeli, Rick ",138
" Andreessen, Marc (FRW)",138
"Schlender, Brent ",138
"Wolff, Tracy ",134
"Harper, Bob ",132
" Critser, Greg ",132
"Hammer, Maxwell ",131
"Duffy, Brendan ",130
"Toten, Teresa ",126
"O, the Oprah Magazine (COR)",126
