,0
"Kalanithi, Paul ",3855
" Verghese, Abraham (FRW)",3855
"Simms, Rosie ",2196
"Haney, Jill ",1729
"Hannah, Kristin ",1701
"Evanovich, Janet ",1689
" Goldberg, Lee ",1689
"Aveyard, Victoria ",1602
"Higgins, Melissa ",1419
"Preston, Douglas ",950
" Child, Lincoln ",950
"Riordan, Rick ",898
"Ferrante, Elena ",804
" Goldstein, Ann (TRN)",804
"Macomber, Debbie ",668
"Weiner, Jennifer ",608
"Meyer, Marissa ",597
Saddleback Educational Publishing (COR),544
"Grant, Adam M. ",508
" Sandberg, Sheryl (FRW)",508
"Coble, Colleen ",472
"Dower, Laura ",458
"Roberts, Christa ",454
"Berenson, Alex ",439
"Powell, Huw ",410
"Fry, Jason ",399
"Tahir, Sabaa ",399
"Cruz, Calvin ",386
"Gray, P. J. ",382
"Frankopan, Peter ",357
"Kerr, Philip ",331
"Cleeves, Ann ",329
" Harrison, Nancy (ILT)",322
"Gortner, C. W. ",319
"McGuire, Seanan ",318
" Harris, Lee (EDT)",318
"Dickerson, Melanie ",301
"Colfer, Chris ",292
"Day, Felicia ",288
"Lemke, Donald ",274
"Jacobs, Evan ",270
"Castle, Richard ",270
"Todd, Charles ",270
"Koryta, Michael ",259
"Rosenfelt, David ",249
"Sendker, Jan-Philipp ",246
"Bracken, Alexandra ",244
"Shakespeare, William ",244
"Lackey, Mercedes ",233
"Damour, Lisa ",231
"Hatcher, Robin Lee ",227
" Qiu, Joseph J. M. (ILT)",222
 Who Hq (COR),220
"Carver, Raymond ",218
" Toccaceli, Alessandro (ILT)",214
"Stroud, Jonathan ",214
"Webster, Christy ",211
"Clopton, Debra ",211
"Buckley, James ",209
"Stine, Megan ",207
"Smith, Alexander Gordon ",207
"Korman, Gordon ",204
"Cabot, Meg ",198
"Nhat Hanh, Thich ",195
"Chase, Eve ",195
"Kaplan, Janice ",195
"Wells, H. G. ",189
"Carter, Jimmy ",188
"Kenneally, Miranda ",186
"Pears, Iain ",181
"March, Emily ",177
"Thomas, T. R. ",176
"Garvin, Jeff ",175
"Brill, Calista ",175
"Le Guin, Ursula K. ",172
" Copeland, Gregory (ILT)",169
"Diffenbaugh, Vanessa ",168
"Sanderson, Brandon ",167
"Poe, Edgar Allan ",164
"Jordan, Sophie ",160
"Black, Shayla ",157
"Elliott, Kate ",156
" Marchesi, Stephen (ILT)",151
"Lupton, Rosamund ",148
"Hobb, Robin ",147
"Maxwell, John C. ",142
" Putra, Dede (ILT)",140
"Peters, Ellis ",138
"Finn, Katie ",138
"Pollan, Michael ",138
"Gidwitz, Adam ",133
"Lawhon, Ariel ",133
"Fitzpatrick, Huntley ",131
"Tulathimutte, Tony ",127
"Stone, Tamara Ireland ",127
" Hinderliter, John (ILT)",126
"Cahoon, Lynn ",125
"Wolff, Tracy ",124
"Bennett, Sawyer ",124
"Connolly, John ",123
" Thomson, Andrew (ILT)",120
" Groff, David (ILT)",118
"Robinson, Peter ",118
" Blake, Lexi ",117
"McGuire, Jamie ",117
"Du Brul, Jack B. ",115
"Mosley, Michael ",114
"Kinney, Patrick ",114
"Crownover, Jay ",114
"Penzler, Otto (EDT)",114
"Valentine, Tamara ",113
"Vane, Victoria ",113
"McCarry, Charles ",111
"Montes, Raphael ",110
"Straub, Peter ",109
"Gottesfeld, Jeff ",108
"Boyes, Alice ",107
"Brennan, Allison ",107
"Cobb, Thomas ",106
 Disney Digital Books (ILT),103
"Knaflic, Cole Nussbaumer ",103
"Leavitt, Martine ",102
"Rankin, Ian ",102
"Anastasio, Dina ",101
" Mcveigh, Kevin (ILT)",101
"Ahiers, Sarah ",99
"Frederick, Heather Vogel ",96
"Gigliotti, Jim ",95
"Wiseman, Beth ",95
"Baggott, Julianna ",94
" Powell, Corey S. (EDT)",94
"Nye, Bill ",94
"Robbins, Tony ",93
"Bova, Ben ",92
"Warlick, Ashley ",92
"Scott, A. O. ",92
"Sanders, Eli ",91
"Mcgovern, Kate ",91
"Williamson, Marianne ",91
"Brizzi, Fausto ",88
"Johnson, Adam ",85
"Carew, Opal ",85
" Sellmair, Nikola ",85
"Teege, Jennifer ",85
"Les Becquets, Diane ",83
"Hawksley, Lucinda ",82
"Bannister, Jo ",82
"Ewan, Chris ",81
" Stuart, Sebastian (CON)",81
"Wiehl, Lis W. ",81
"Kim, Sue ",79
"Brown, Dinah ",78
"Sakamoto, Pamela Rotner ",77
"Sloan, Holly Goldberg ",76
" Zappa, Shana Muldoon ",75
"Beaver, Kevin ",75
"Houck, Colleen ",75
"Citro, Asia ",75
"Pascal, Janet ",75
"Zappa, Ahmet ",75
"Braswell, Liz ",74
"Walker, Julie Ann ",74
"Adams, Jane A. ",74
"Kain, Jamie ",72
"Grace, Samantha ",71
"Fondin, Michelle S. ",71
"Jansma, Kristopher ",71
"Reay, Katherine ",69
"Cannell, Dorothy ",69
"Picoult, Jodi ",69
" Van Leer, Samantha ",69
"Alpert, Mark ",68
"Cantrell, Julie ",67
Speedy Publishing (COR),66
"Zappa, Shana Muldoon ",66
"Bukowski, Charles ",66
" Zappa, Ahmet ",66
"Labrecque, Ellen ",66
"Edgers, Geoff ",65
" Hempel, Carlene ",65
"Lane, Andrew ",62
"Mortimer, Carole ",62
"Cadjan, Nancy ",61
"Welsh, Louise ",60
"Fuller, Sue ",60
"Angleberger, Tom ",59
"Poyer, David ",59
"Kennedy, Joanne ",58
"Roseman, Bruce ",58
" Rosenberg, Kenneth Paul (FRW)",58
"Tigay, Chanan ",58
"Jones, Jennie ",58
"Fairstein, Linda A. ",57
"Johnston, E. K. ",56
"Hong, Deuki ",55
"Cleland, Jane K. ",55
"Donnelly, Jennifer ",55
"Tucholke, April Genevieve ",55
" Rodbard, Matt ",55
" Harvey, Katherine ",54
"Harvey, Ryan ",54
"Barnes, Linda ",53
"Heuvelt, Thomas Olde ",53
"Bowman, Chris ",52
"Everett, Alyssa ",51
"Hawkins, Scott ",51
"Hunter, Denise ",51
"Smith, Ashley ",50
"Lutz, Lisa ",50
" Mattingly, Stacy ",50
"Goldberg, Paul ",49
"Douglas, Kate ",49
"Sears, Michael ",48
Reader's Digest Association ,48
"Rosenblatt, Roger ",47
"Jayne, Hannah ",46
"Lerangis, Peter ",46
"Garner, Marissa ",45
" Mellom, Robin ",45
"Montgomery, Sy ",45
"Gregory, Philippa ",45
"Foroutan, Parnaz ",45
"Leavitt, Lindsey ",45
" Ellenbogen, Keith (ILT)",45
" Dening, Abby (ILT)",45
"Nesteroff, Kliph ",45
" Brennan, Sarah Rees ",44
"Clare, Cassandra ",44
"Suzuki, David ",44
"Ashton, Edward ",43
"Ostrovski, Emil ",43
"Beaton, M. C. ",43
"Toro, Guillermo del ",43
"Evans, Rachel Held ",43
" Kraus, Daniel ",43
"Martin, James ",43
