,0
"Macomber, Debbie ",1961
"Crouch, Blake ",1712
"Quindlen, Anna ",1552
"Jance, Judith A. ",1238
"Patterson, James ",1132
"Kubica, Mary ",978
"Connelly, Michael ",960
"Aveyard, Victoria ",951
"Baldacci, David ",912
"Backman, Fredrik ",823
"Mayer, Jane ",731
" Brown, Brene (FRW)",648
"Niequist, Shauna ",648
"Howard, Linda ",629
"Fairstein, Linda A. ",584
"Nijkamp, Marieke ",560
"Walker, Wendy ",556
"Galbraith, Robert ",534
 Who Hq (COR),533
"Taylor, Brad ",526
"Deutsch, Stacia ",521
"Ashford, Jane ",509
"Williamson, Lisa ",501
Mattel (COR),484
"Johnson, Craig ",480
"Feehan, Christine ",433
"Brown, Eleanor ",417
"James, Lorelei ",385
"Alexander, Heather ",383
" Putra, Dede (ILT)",383
"Jackson, Lisa ",374
" Jones, Linda ",337
"Child, Lee ",322
" Finder, Joseph ",322
"Allende, Isabel ",319
"Doiron, Paul ",313
"Hauck, Rachel ",312
" Nguyen, Phuong Anh ",307
"Nguyen, Jenn P. ",307
"Olsen, Rena ",304
"Blackstock, Terri ",287
"Schiff, Stacy ",270
"Pryor, Mark ",269
"Wolff, Tracy ",255
"Tripp, Dawn ",247
" Child, Lincoln ",230
"Preston, Douglas ",230
"Bowen, Rhys ",228
"Schine, Cathleen ",226
"Heilig, Heidi ",222
"Bradford, Barbara Taylor ",212
"Monstrata, Nessi ",212
"Solomon, Anna ",212
"Rosoff, Meg ",210
"Hale, Shannon ",209
"Coble, Colleen ",209
" Hale, Dean ",207
"Hilderbrand, Elin ",207
"Summerscale, Kate ",201
" Grabenstein, Chris ",197
"Yee, Lisa ",194
"Gortner, C. W. ",193
" Russell, Rachel Renee (ILT)",192
"Russell, Rachel Renee ",192
"Gout, Leopoldo ",189
"Umminger, Alison ",189
"McLaughlin, Jen ",188
"Klebold, Sue ",187
"Wiggs, Susan ",184
"Garwood, Julie ",182
"Maxwell, John C. ",180
"Layne, Lauren ",177
"Robinson, Peter ",174
"Mallery, Susan ",173
"TerKeurst, Lysa ",172
"Brower, Kate Andersen ",171
"Way, Camilla ",171
"Beaton, M. C. ",167
"Nesbø, Jo ",164
"Cambron, Kristy ",164
"Miller, Linda Lael ",164
"Morgan, Allison ",164
"Rathbone, Emma ",154
"Hunter, Denise ",153
"Martel, Yann ",151
"Boyne, John ",144
"Osteen, Joel ",141
"Pears, Iain ",140
"Peirce, Lincoln ",136
"Chase, Eve ",136
"Botton, Alain De ",134
" Mcveigh, Kevin (ILT)",133
"Woods, Stuart ",128
"Roberts, Caroline ",126
"Bradley, Anna ",125
"Matthews, Jason ",124
"Berenson, Alex ",124
" Adkins, Jan (ILT)",123
"Adkins, Jan ",123
"Coes, Ben ",121
"Boudia, David ",120
" Ellsworth, Tim (CON)",120
"Todd, Charles ",118
"Drake, Olivia ",118
"Fuller, Kathleen ",118
"Smith, J. J. ",116
"Strobel, Lee ",116
"Kendi, Ibram X. ",114
Princeton Review (COR),113
" Fossen, Delores ",112
"Carriger, Gail ",112
"Agee, Jonis ",111
"Covey, Stephen R. ",107
"Berry, Mary ",107
"Tanquary, Kathryn ",106
" Horner, Doogie (ILT)",105
"Stabler, David ",105
"Matson, Lynne ",103
"Haymore, Jennifer ",102
"Lane, Karly ",102
"Jackson, Joshilyn ",101
"Palmer, Diana ",101
"Shultz, Dana ",100
"Damour, Lisa ",100
"Avieson, Bunty ",100
" Barnes, Steven (CON)",99
"Byrne, Rhonda (EDT)",99
" Due, Tananarive (CON)",99
"Miéville, China ",97
"Jonasson, Jonas ",97
"Hertmans, Stefan ",95
" McKay, David (TRN)",95
"Dekker, Ted ",94
"Woodcock, Jon ",94
"Shirer, Priscilla C. ",92
"Blake, Lexi ",89
"Lecesne, James ",89
"Farshtey, Greg ",89
"Islington, James ",88
Kaplan ,88
" Groff, David (ILT)",88
" Howard, Arthur (ILT)",87
"Rylant, Cynthia ",87
" Copeland, Gregory (ILT)",86
"Black, Michael Ian ",86
"Buckley, James ",86
"Lahiri, Jhumpa ",86
"West, Catherine J. ",85
" Sheinmel, Alyssa (CON)",85
"McKenzie, Paige ",85
"Jensen, Jane ",84
"Chase, Bethany ",84
"Pamfiloff, Mimi Jean ",84
"Bennett, Sawyer ",84
" Cassidy, Carla ",84
"Milburne, Melanie ",82
"Bennett, Claire-Louise ",81
"Clipston, Amy ",80
"Oppel, Kenneth ",80
" Klassen, Jon (ILT)",80
" Curtis, Howard ",80
"Carofiglio, Gianrico ",80
"Sittenfeld, Curtis ",79
"Lorret, Vivienne ",79
"Bright, Crystal B. ",78
" Paroline, Shelli (CON)",76
"North, Ryan ",76
"Singh, Nalini ",76
" Lamb, Braden (CON)",76
"Petrucci, Kellyann ",76
"Ashley, Kristen ",75
"Keltner, Dacher ",74
"Magary, Drew ",74
"Cotterill, Colin ",72
"Iles, Greg ",72
"Voskamp, Ann ",71
"Wilber, Del Quentin ",71
"Jenkins, Jo Ann ",70
"Garvin, Jeff ",69
"Jefferson, Margo ",69
"Maskame, Estelle ",68
" Hoare, Jerry (ILT)",67
"Stephens, S. C. ",67
"Kucharski, Adam ",67
"Harris, Michael C. ",67
"O'Connor, Jim ",66
" Hammond, Ted (ILT)",66
" Perlmutter, David (FRW)",66
"Gedgaudas, Nora ",66
"Taylor, C. L. ",66
"Goldberg, Whoopi ",65
"Anderson, Kirsten ",64
"Hoffman, Alice ",64
" Foley, Tim (ILT)",64
" Bain, Donald ",63
"Truman, Margaret ",63
"Medina, Nico ",63
"Swank, Denise Grover ",61
"Morris, Monique W. ",61
"Manzini, Antonio ",61
"Margolin, Phillip ",61
"Lerangis, Peter ",60
"Michaels, Melissa ",60
" Stevenson, Suçie ",59
"Shusterman, Neal ",59
" Bush, George (FRW)",58
"Priess, David ",58
"Cox, Josephine ",58
"Warlick, Ashley ",58
"Wells, Dan ",58
"Adams, Ellery ",57
Lonely Planet Publications ,57
" Yates, Maisey ",57
"Price, Adam O'Fallon ",57
"Kealing, Bob ",57
"Woods, Sherryl ",57
" Marsh, Anne ",56
"Cron, Lisa ",56
" Weber, Tawny ",56
"Foster, Lori ",56
"Noble, Kate ",54
"Brenner, Jamie ",54
"Mazur, Joseph ",54
" Anderson, Alison (TRN)",54
" West, Annie ",54
"Perkins, John ",54
"Tucker, K. A. ",54
"Mcinerney, Lisa ",54
" Hunter, Kelly ",54
"Barbery, Muriel ",54
"Gallagher, Winifred ",53
"Gray, Shelley Shepard ",52
"Hoover, Colleen ",52
"Bar-Joseph, Uri ",52
" Mather, Anne ",52
" Lee, Miranda ",52
"Stine, R. L. ",51
"Mabbitt, Will ",51
"Meyer, Joyce ",51
" Thomson, Andrew (ILT)",50
" Waterfield, Robin ",50
"Sawyer, Kim Vogel ",50
"Wainwright, Tom ",50
"Waterfield, Kathryn ",50
"Segal, Adam ",49
"Winn, Whee ",49
"Passarlay, Gulwali ",49
"Basile, Giambattista ",49
"Rains, Annie ",48
"Watson, Robert P. ",48
"Shanker, Stuart ",48
"Wiseman, Beth ",48
"Abram, Carolyn ",47
"Love, Dorothy ",47
"Crowley, Chris ",47
"Balcombe, Jonathan ",47
"Blackwell, Juliet ",47
"Lord, Susanne ",47
"Down, Jennifer ",47
" Lodge, Henry S. ",47
"McClanahan, Brion ",47
" Fabrocini, Bill (CON)",47
"Hepworth, David ",46
"Jester, John ",46
"Engler, Mark ",46
" Engler, Paul ",46
"Hicks, Faith Erin ",46
" Allen, Brooke (CON)",46
"Kope, Spencer ",45
"Irvin, Kelly ",45
"Rebellow, K. ",45
"Rodriguez, Deborah ",44
"Mueller, John Paul ",43
"Kristoff, Jay ",43
" Massaron, Luca ",43
"Cole, Teju ",43
"Levin, Janna ",43
" Cyrus, Kurt (ILT)",42
"Shriver, Lionel ",42
"Kunetka, James ",42
"Gibbons, Leeza ",42
"Wilkes, Jason ",42
"Hatton, Lindsay ",42
"Luurtsema, Nat ",41
"Houck, Colleen ",41
"Mather, Anne ",41
"Potter, Beatrix ",41
"Johnson, Sadeqa ",40
"Jones, Cleve ",40
"Wood, Tom ",40
"Collier, Marsha ",40
"Wingate, Marty ",40
"Marinelli, Carol ",40
"Seligman, Scott D. ",39
"Bailey, Christine ",38
" Moore, Denver ",38
" Vincent, Lynn (CON)",38
"Ehrenreich, Ben ",38
"Bagshawe, Tilly ",38
"Hall, Ron ",38
"Weaver, Tim ",37
"Leckie, Ann ",37
"Kenner, J. ",37
"Martin, Jamie C. ",37
" Oxenreider, Tsh (FRW)",37
"Qureshi, Nabeel ",36
"Lea, Caroline ",36
"Harris, Shaun ",36
"Dietert, Rodney ",36
"Siebel, Kathryn ",35
Hollywood 360 (COR),35
"Tougas, Chris ",35
"Fraser, Anthea ",35
None,35
"Paulsen, Gary ",35
"Schild, Susan ",35
"Terrell, Whitney ",35
"Picoult, Jodi ",34
"Heinlein, Robert A. ",34
"Haag, Pamela ",34
"Calhoun, Anne ",34
"Burns, Eric ",34
"Fernando, Chantal ",33
"De Villiers, Gerard ",33
"Rosenthal, Amy Krouse ",33
"Fradkin, Barbara ",33
"Harrison, Kim ",33
" Atkinson, Brett ",33
" Goldberg, Lee ",33
" Armstrong, Kate ",33
"Evanovich, Janet ",33
"Fitzsimons, Peter ",33
"Mignogna, Liesa ",33
"Seneviratne, Samantha ",32
"Hobbs, Jeff ",32
"Stanisic, Sasa ",31
"Stone, Danika ",31
"Mcclellan, Marisa ",31
" Wright, Annabel (ILT)",31
"Donahue, Tina ",31
" Bell, Anthea (TRN)",31
"Davies, Nicola ",31
"Peters, Ellis ",30
"Reichs, Kathy ",30
"Carnegie, Dale ",30
"Williams, Joy ",30
" Rathburn, Cliff (CON)",29
"Kirkman, Robert ",29
"Deveraux, Jude ",29
"Ebershoff, David ",29
"Cass, Kiera ",29
" Adlard, Charlie (CON)",29
"Williams, Terry Tempest ",29
"Wilder, Jasinda ",28
"Ivy, Alexandra ",27
"Elliott, Kate ",27
"Hammel, Sara ",27
"Zahn, Timothy ",27
"Parkin, Simon ",26
Kaplan (COR),26
"Perry, Roland ",26
"Isaacson, Walter ",26
"Morton, Kate ",26
"Stein, Jean ",26
"Mcconnon, Maggie ",25
"Dodd, Michael ",25
"Fabiny, Sarah ",25
" Colon, Daniel (ILT)",25
"Yoder, Lena ",25
"Kelly, Julia ",25
"Metcalfe, Josie ",25
"Langowski, Mark ",25
"Patterson, Michael C. ",25
"Burrows, Annie ",25
"Zander, Rosamund Stone ",25
"North, Freya ",25
"Hernandez, Treasure ",24
"Wade, Becky ",24
"Evans, Robert ",24
"Rickloff, Alix ",24
"An, Jacqueline ",24
" An, Helene ",24
"Chapman, Vannetta ",24
" Johnson, Nicholas L. ",24
"Foxlee, Karen ",24
"Jeffery, Keith ",24
"Moazed, Alex ",24
"Kepler, Lars ",23
"Toibin, Colm ",23
" Chapman, Vannetta ",23
"Kramer, Peter D. ",23
"Jansma, Kristopher ",23
"Pretorius, Michelle ",23
" Clipston, Amy ",23
" Fuller, Kathleen ",23
"Dane, Lauren ",23
"Chapman, Drew ",23
"Herrman, Nathalie W. ",23
"Pataki, Allison ",23
"Caine, Christine ",22
" Nichols, John ",22
"Tucker, Neely ",22
" Worby, Meg ",22
"Kelling, Lynn ",22
" Brash, Celeste ",22
"McChesney, Robert W. ",22
"Graham, Heather ",22
"Blake, Jennifer ",22
"Foster, Juliana ",21
"Braden, Elisa ",21
"Sanders, Ben ",21
"Connolly, John ",21
"Glines, Abbi ",21
" Feith, Gregory A. ",21
" Enright, Amanda (ILT)",21
"Jameson, W. C. ",21
"O'Brien, Caragh M. ",21
"Parris, S. J. ",21
"Kepnes, Caroline ",21
"Traub, James ",21
"Vapnyar, Lara ",20
"Dixon, Franklin W. ",20
"York, Sabrina ",20
"Britton, Fern ",20
"French, Kat ",20
"Shaw, Candace ",20
"Todd, Janet ",20
"Hall, Rachel Howzell ",20
"Jones, Diana Wynne ",20
" Appel, Anne Milano (TRN)",19
"Tyler, Paige ",19
"Faber, Adele ",19
"Hart-Davis, Guy ",19
"Corp, Carey ",19
" Langdon, Lorie ",19
"Winters, Elia ",19
"Delany, Vicki ",19
"Erens, Pamela ",19
"Mayer, Shannon ",19
"Catozzella, Giuseppe ",19
"Hitchens, Christopher ",19
"Holland, Jesse ",19
" Ridyard, Jennifer ",18
" Hatmaker, Jen (FRW)",18
"Voskuil, Hannah ",18
"Newman, Peter ",18
"Hamilton, Victoria ",18
"Blumberg-Kason, Susan ",18
"Jelen, Bill ",18
" Juhasz, Szilvia ",18
"Jewell, Lisa ",18
"Clarke, Cassandra Rose ",18
"Thomsen, Amari ",18
"Carney, Dee ",18
"Eggers, Dave ",17
Discovery (COR),17
"Barth, Christi ",17
" Stohl, Margaret ",17
"Lucado, Max ",17
" Haldorson, Sally ",17
"Day, Elizabeth ",17
" Brockenbrough, Martha ",17
"Abson, Maureen ",17
"Harper, Steven ",17
"Cass, Laurie ",17
"Wallace, Robert Keith ",17
" Daniels, B. J. ",17
