,0
"Moriarty, Liane ",5601
"Child, Lee ",2878
"Macomber, Debbie ",2613
"Rayban, Chloe ",1894
" Chambers, Mark ",1536
"Frost, Adam ",1536
"Jones, Gareth P. ",1454
"Jemisin, N. K. ",987
"Connelly, Michael ",859
" McCormick, Patricia (CON)",808
"Yousafzai, Malala ",808
"Patterson, James ",794
" White, Michael ",794
"Hooper, Mary ",791
"Phillips, Susan Elizabeth ",785
"Parker, Robert B. ",736
" Christie, Agatha ",734
"Hannah, Sophie ",734
"Harvey, Alyxandra ",519
"Benway, Robin ",467
"See, Lisa ",443
"Shalvis, Jill ",433
"Lore, Pittacus ",420
"Preston, Douglas ",418
"Chen, Justina ",407
"Abercrombie, Joe ",405
" Child, Lincoln ",382
"Ewing, Amy ",367
"Lu, Marie ",366
"MacNeal, Susan Elia ",357
" Barry, James L. ",343
"Hunter, Erin ",343
" Jolley, Dan ",343
" Avril, Lynne (ILT)",314
"Parish, Herman ",314
"Gannett, Ruth Stiles ",301
" Gannett, Ruth Chrisman (ILT)",301
"Hobb, Robin ",292
"Shull, Megan ",285
"Kidd, Sue Monk ",278
"Sovern, Megan Jean ",275
"Furst, Alan ",274
"Michener, James A. ",260
"Gibson, Rachel ",250
" Berry, Steve (INT)",243
"Heath, Lorraine ",240
"McHugh, Laura ",238
"Harvey, Steve ",222
"Henríquez, Cristina ",222
"Carew, Opal ",220
"Kenner, J. ",218
"Gregory, Philippa ",210
 John And Wendy (ILT),209
"Krulik, Nancy E. ",209
 Scholastic Inc. (ILT),202
"Howard, Kate ",202
" Dane, Lauren ",184
"Andrews, Mary Kay ",184
"Wright, Kristina ",184
"Harrington, Karen ",182
"Nielsen, Jennifer A. ",181
"Beaton, M. C. ",176
"Harrop, Graham ",174
"Hyman, Mark ",174
" Calvi, Nuala ",171
"Barrett, Duncan ",171
"Campbell, Anna ",165
"Shafer, David ",163
" Raz, Tahl ",161
"Ferrazzi, Keith ",161
"Sloan, Holly Goldberg ",160
" Tyler, Alison ",154
"Bussel, Rachel Kramer ",154
"Brooks, Terry ",151
"Howard, A. G. ",141
"Andrews, Ilona ",140
" Spires, Ashley (ILT)",139
"Spires, Ashley ",139
"Strobel, Lee ",137
"Dean, James ",136
"Foster, Thomas C. ",133
"Brown, Jennifer ",129
"Bardugo, Leigh ",129
"Scott, Kylie ",126
"Hirst, Catherine ",122
"Hoover, Colleen ",122
"Roux, Madeleine ",121
"Riordan, Rick ",119
"Rutkoski, Marie ",119
"Carrington, Jim ",117
"Grippando, James ",114
"Laurens, Stephanie ",113
" Delaine, Alison ",113
"Maron, Margaret ",113
"Koch, Herman ",112
"King, D. L. (EDT)",111
" Caraway, Rose (FRW)",111
" Legramandi, Francesco (ILT)",110
"Wrecks, Billy ",110
"Oliver, Lauren ",109
"Weeks, Brent ",107
" Benjamin, Ali ",106
" Asher, Jay ",106
"Rawl, Paige ",106
Better Homes and Gardens Books (COR),104
"Bly, Stephen A. ",103
Spectrum (COR),103
"Omartian, Stormie ",102
"White, Kiersten ",101
"Pavone, Chris ",100
"Green, Julia ",99
"McBride, Laura ",97
"Harrison, Kim ",96
"Lyons, Greg ",96
"Michaels, Mark A. ",95
"Salvatore, R. A. ",95
" Johnson, Patricia ",95
"Boyle, T. Coraghessan ",95
" Schoening, Dan (ILT)",94
"Grindley, Sally ",94
"Carbone, Courtney ",94
"Kaye, Laura ",93
"Andersen, Laura ",93
"Ashley, Kristen ",91
"Rosbottom, Ronald C. ",90
"McKevett, G. A. ",90
"Brown, Jeff ",89
" Pamintuan, Macky (ILT)",89
"Brown, Sandra ",87
"Thompson, David ",84
"Emet, Joseph ",83
"Taleb, Nassim Nicholas ",82
"Redwine, C. J. ",81
"MacFarlane, Seth ",80
