,0
"Brown, Daniel James ",1994
"Adichie, Chimamanda Ngozi ",1542
" Puybaret, Ëric (ILT)",1448
"Berne, Jennifer ",1448
"Priestley, Chris ",1372
" Davenier, Christine (ILT)",1032
"Guest, Elissa Haden ",1032
" Goldberg, Lee ",969
"Evanovich, Janet ",969
"George, Jessica Day ",689
"Stilton, Geronimo ",669
"Berenstain, Stan ",589
" Berenstain, Jan ",589
"Baldacci, David ",557
"Gaffigan, Jim ",532
"Stiefvater, Maggie ",435
"Michaels, Fern ",399
"Higgins, Kristan ",394
"Lake, A. J. ",387
"Hunt, Elizabeth Singer ",379
"Korman, Gordon ",360
"Mallery, Susan ",355
"Bardugo, Leigh ",353
"Caletti, Deb ",353
"Gabaldon, Diana ",350
"MacNeal, Susan Elia ",349
"Myss, Caroline ",343
"Stine, R. L. ",342
"Day, Sylvia ",327
"Rutherfurd, Edward ",326
"Weiner, Jennifer ",320
"Vawter, Vince ",300
"Patterson, James ",279
"Sotomayor, Sonia ",275
"Miller, Linda Lael ",270
"Ladd, Sarah ",269
"Silva, Daniel ",260
"Center, Katherine ",257
"Adeline, L. Marie ",255
"Brown, Sandra ",251
"Sutherland, Tui ",241
"Harvey, Alyxandra ",236
"Wright, Lawrence ",234
" Tashjian, Jake (ILT)",233
"Tashjian, Janet ",233
"Marra, Anthony ",225
"McLain, Paula ",216
" Pearson, Mark ",215
"Perkins, Mitali ",213
"King, Stephen ",207
"McCullough, Colleen ",206
"Meadows, Daisy ",205
" Hogan, Jamie (ILT)",204
"Messud, Claire ",202
"Martin, Ann M. ",200
"Mathis, Ayana ",199
"Benjamin, Melanie ",197
"Gregory, Philippa ",195
"Myers, Anna ",191
"Hosseini, Khaled ",186
"Carman, Patrick ",184
"Walker, Julie Ann ",182
"Laurens, Stephanie ",181
"Dessen, Sarah ",179
"Milchman, Jenny ",179
"Reeve, Philip ",173
"Thor, Brad ",172
"McIntosh, Fiona ",171
"Ferriss, Timothy ",171
"Brooks, Geraldine ",169
"Shaara, Jeff ",168
"Howell, Hannah ",166
"Kellerman, Jonathan ",166
"DeMille, Nelson ",162
" Wyatt, David (ILT)",162
"Jackson, Lisa ",161
"Maxwell, John C. ",160
"Stewart, Amy ",160
"Arnold, Tedd ",158
"Guelzo, Allen C. ",158
"Meier, Leslie ",157
"Stoker, Shannon ",157
"Challinor, Deborah ",153
" Dahl, Victoria ",152
"Crusie, Jennifer ",152
" Stacey, Shannon ",152
"Wiggs, Susan ",151
"Huang, Eddie ",148
" Whamond, David (ILT)",147
"Bishop, Anne ",147
"Brouwer, Sigmund ",147
"Bradley, Alan ",147
"Hauck, Rachel ",146
"Deraniyagala, Sonali ",143
"Wiehl, Lis W. ",142
"Child, Lee ",141
"Ellis, Joseph J. ",141
" Hapka, Catherine ",140
"Bloomberg, Georgina ",140
"Balliett, Blue ",138
"Lupica, Mike ",138
" Helquist, Brett (ILT)",138
"Graham, Heather ",136
"Currey, Mason (EDT)",135
"Warner, Gertrude Chandler ",131
"Peterson, Tracie ",131
" Miller, Judith A. ",131
"Johansen, Iris ",131
"Lasky, Kathryn ",130
"McCorkle, Jill ",129
"Mosley, Walter ",128
"Berry, Steve ",128
"March, Emily ",127
"Palmer, Diana ",126
"Rosenberg, Aaron ",125
"Hilderbrand, Elin ",125
"Panchyk, Richard ",124
"Colbert, Stephen ",124
"Alexandra, Belinda ",122
"Alexander, Lacey ",121
"Fichera, Liz ",118
"Ray, Reginald A. ",117
"Barrows, Annie ",116
"Carson, Rae ",116
" Blackall, Sophie (ILT)",116
"Williams, Nicole ",115
" Wiggs, Susan ",115
"Fitzsimons, Peter ",112
"Billingham, Mark ",109
"Monk, Ray ",109
"Campbell, Anna ",109
"Laurenston, Shelly ",109
" Carr, Robyn ",108
" Mallery, Susan ",108
" Woods, Sherryl ",108
"Sage, Angie ",107
"Dashner, James ",107
"Thomas, M. E. ",107
" Zug, Mark ",107
"French, Jackie ",106
"Harper, Bob ",104
" Critser, Greg ",104
"Moss, Tara ",104
"Smith, Roland ",104
"Weisberger, Lauren ",102
"Twain, Mark ",100
"Graves, Sarah ",100
"Shalvis, Jill ",100
"Lee, Ashton ",99
"Park, Linda Sue ",99
"Stewart, Martha ",98
"Carr, Robyn ",98
"Dare, Tessa ",97
"Christensen, Emma ",94
" McDavid, Cathy ",94
"Hobbs, Roger ",93
"Cole, Joanna ",92
"Crichton, Michael ",91
"Levine, Alanna Dr ",91
"Ryan, Anthony ",87
"Lu, Marie ",86
"Clark, Mary Higgins ",86
"Lebbon, Tim ",86
"Thompson, Neal ",85
"Chu, Wesley ",85
"Bridwell, Norman ",84
"Watson, Jude ",84
"Dais, Dawn ",84
Various ,82
"Lee, Alan (ILT)",82
"Michaels, Mark A. ",82
" Tolkien, J. R. R. ",82
" Johnson, Patricia ",82
"Riordan, Rick ",82
"Goldstein, Joseph ",81
"Trueit, Trudi ",78
"Neill, Chloe ",78
"Neggers, Carla ",77
"Turtledove, Harry ",76
"Woods, Sherryl ",75
"Garcia, Kami ",74
" Stohl, Margaret ",74
"Williamson, Marianne ",74
"Condie, Allyson Braithwaite ",74
"Johnson, Craig ",73
"Oster, Emily ",72
"Thomsett, Michael C. ",71
"Karbo, Karen ",71
"Rice, Morgan ",71
"Peck, Richard ",70
"Chan, Doris ",70
"Miles, Ellen ",69
" Reid, Paul ",68
"Worth, Jennifer ",68
"Manchester, William ",68
" Murray, Williamson ",67
"Ashe, Katharine ",67
"Lacey, James ",67
"Grace, Ella ",66
"Copeland, Lori ",66
"Canavan, Trudi ",66
"Russell, Karen ",66
"Fusco, Kimberly Newton ",63
"Daywalt, Drew ",61
" Jeffers, Oliver (ILT)",61
"Ashford, Jane ",60
"Borgenicht, David ",60
 Spectrum (COR),59
"Kornfield, Jack ",58
"Williams, Beatriz ",58
"Walker, Martin ",57
"Wattenberg, Laura ",56
