,0
"Brenner, Martha ",8817
" Cook, Donald (ILT)",8817
"Halls, Kelly Milner ",4757
"Felix, Rebecca ",2456
"Benway, Robin ",2027
"Beaton, M. C. ",1343
"Bankes, Liz ",1265
Saddleback Educational Publishing (EDT),1264
"McKissack, Pat ",1189
" McKissack, Fredrick ",1189
" Apple, Margo (ILT)",901
"Catling, Patrick Skene ",901
"Rowell, Rainbow ",777
"Bohjalian, Christopher A. ",685
"Steel, Danielle ",631
"Patterson, James ",614
"Sincero, Jen ",583
"Farrar, Josh ",576
"Dahl, Roald ",562
" Blake, Quentin (ILT)",561
"Roberts, Nora ",555
"Coyle, Cleo ",492
"Evanovich, Janet ",488
" Kelly, Dorien ",488
"West, Kasie ",485
"Schraff, Anne E. ",476
"Baldacci, David ",461
"Macomber, Debbie ",432
"Tarshis, Lauren ",429
" Murdocca, Sal (ILT)",425
"Osborne, Mary Pope ",425
"Taylor, Mildred D. ",408
"Connelly, Michael ",379
" Sullivan, Mark ",378
"Carter, Caela ",367
"Brown, Dan ",335
"Dunant, Sarah ",333
"Sloan, Robin ",320
"Lowell, Elizabeth ",288
"John Micklos, Jr. ",270
"Gross, Andrew ",266
"Kava, Alex ",264
"Black, Yelana ",243
"Bauer, Joan ",239
Lonely Planet Publications ,215
"Michaels, Fern ",205
"Howard, A. G. ",192
"Carriger, Gail ",191
"Martin, Kat ",186
"Woods, Sherryl ",178
" Dunster, Matthew (ADP)",174
"Orwell, George ",174
"Mallery, Susan ",173
"Lerangis, Peter ",171
"McGarry, Katie ",164
"Snow, Carol ",159
"Cassidy, Anne ",156
"Clark, Bridie ",154
"Kenneally, Miranda ",152
"Meltzer, Brad ",152
"Miranda, Megan ",151
"Rice, Anne ",150
"Harvey, Alyxandra ",149
"Toffler-corrie, Laura ",147
" Klass, Perri ",138
"Klass, David ",138
"Hale, Shannon ",137
"Laurens, Stephanie ",133
"Scahill, Jeremy ",133
"Conklin, Tara ",130
"Foster, Lori ",127
"Miles, Ellen ",117
"Palmer, Diana ",115
"Zevin, Gabrielle ",114
"Hill, Jenna Miscavige ",111
"Kehret, Peg ",110
"Smith, Alexander Gordon ",110
"Erotopoulos, Zoe ",108
"Brooks, Terry ",107
" Stohl, Margaret ",106
"Garcia, Kami ",106
"Grout, Pam ",105
"Heaberlin, Julia ",99
"Tucker, K. A. ",97
"Green, Jane ",95
"Todd, Charles ",94
"Meyer, L. A. ",90
"Sanders, Lawrence ",88
"Rutherfurd, Edward ",87
" Tebbetts, Chris ",86
"Probst, Jeff ",86
"Porot, Daniel ",85
"Kagawa, Julie ",83
 Dynamo Limited (ILT),82
"Meadows, Daisy ",82
"Picarazzi, Teresa L. ",76
"Papademetriou, Lisa ",76
"Griffin, Adele ",75
" Haynes, Frances Bolles ",73
"Collins, Jackie ",71
" Filou, Emilie ",70
"Jennings, Ken ",68
"Klein, Stefan ",67
" O'Neill, Gerard ",67
"Swick, Edward ",67
" Benjamin, Ross (TRN)",67
"Lehr, Dick ",67
"Kizzia, Tom ",66
"Banks, Maya ",64
"Sharmat, Marjorie Weinman ",64
"Wolfe, Tom ",62
"Leary, Ann ",61
"Brown, Carolyn ",61
"Warner, Gertrude Chandler ",59
" Hrabovsky, George ",56
"Polansky, Daniel ",56
"Bolton, Lesley ",56
American Bar Association (COR),56
"Susskind, Leonard ",56
"Beddor, Frank ",54
" Simont, Marc (ILT)",53
" Willson, Rob ",53
"Branch, Rhena ",53
"Thompson, Richard ",53
"Stockman, David ",51
" Vlahides, John a ",51
"Williamson, Jeanne ",51
"Schwager, Jack D. ",51
" Mendés, Melissa ",50
"Sato, Eriko ",50
"Kann, Victoria ",50
"Greenwald, Tommy ",50
"Rose, Karen ",49
"Pronzini, Bill ",49
" Muller, Marcia ",49
"Graham, Lynne ",48
"Pyle, Howard ",48
"Mehr, Bob ",48
"Stroud, Carsten ",47
"Alidina, Shamash ",46
" Fallon, Steve ",45
"Muller, Marcia ",45
" Maric, Vesna ",45
"Clark, Mary Jane ",45
" Harper, Damian ",45
"Rakoff, David ",44
"Williams, Cathy ",43
" Lott, Lynn ",43
" Glenn, H. Stephen ",43
" Kaufman, Nicole (ILT)",43
"Mortimer, Carole ",43
"Maron, Marc ",43
"Nelsen, Jane ",43
"English, Karen ",41
" Freeman, Laura (ILT)",41
"Landau, Rich ",41
"Parry, Richard Lloyd ",41
" Yonan, Joe ",41
" Jacoby, Kate ",41
"Hampton, Brenda ",41
"Stabenow, Dana ",40
"Miller, Olivia H. ",40
" Baglio, Matt ",39
"Briggs, Patricia ",39
"Mendez, Antonio ",39
"Lindsay, Jeffry P. ",39
"Korman, Gordon ",38
"Purdie, Jeni ",38
"Yates, Maisey ",37
"Cash, Adam ",37
"Gray, Peter ",37
"Keil, Melissa ",35
"Ryan, Carrie ",35
"Nolan, Jeanne ",34
"Mafi, Tahereh ",34
" Waters, Alice ",34
"Raybourn, Deanna ",34
" Simonis, Damien ",33
"Cook, Julia ",33
"Rice, Morgan ",33
"Hallinan, Timothy ",33
" Berkmoes, Ryan Ver ",33
" Christiani, Kerry ",33
" O'Brien, Sally ",33
"Hart, Megan ",32
"Harvey, Jacqueline ",32
"Morozov, Evgeny ",31
"White, Ruth ",31
"Slaughter, Karin ",31
" Chow, Chung Wah ",30
"Stack, Jack ",30
" Chen, Piera ",30
"Buchanan, Cathy Marie ",30
"Attenberg, Jami ",30
" Packevicz, Mike ",30
" Burlingham, Bo ",30
"Liu, Mengjun ",30
"Sales, Leila ",30
"Langemeier, Jessica ",29
"Neuhaus, Nele ",29
"Pogrebin, Letty Cottin ",28
"Stewart, Ian ",28
"Worthington, Everett, Jr. ",28
"Powers, Shane ",28
" Cegielski, Jennifer (CON)",28
" Chng, Victor ",27
"Posen, David ",27
"Perlman, Elliot ",27
"Ang, Rusmin ",27
"Disher, Garry ",27
" Bing, Alison ",26
"Balko, Radley ",26
" Krause, Mariella ",26
"Chase, Loretta Lynda ",26
"Richards, Emilie ",26
"Block, Lawrence ",26
" Davis, Laura ",25
" Averbuck, Alexis ",25
"Radin, Dean ",25
"Brzezinski, Mika ",25
"Jantz, Gregory L. ",25
" McMurray, Ann ",25
"Warren, Susan May ",25
"Fossen, Delores ",25
"Staniszewski, Anna ",25
"Bass, Ellen ",25
"Summitt, Pat Head ",24
" Jenkins, Sally ",24
"Sanchez, Alex ",24
"Galen, Shana ",24
"Cross, Kady ",24
" Grosberg, Michael ",23
"Mcewen, Adrian ",23
" Bonetto, Cristian ",23
"Allen, Louise ",23
" Miranda, Carolina a ",23
"Bowden, Jonny, Ph.D. ",23
" Cassimally, Hakim ",23
"Wiesel, Elie ",23
Anonymous ,23
" Presser, Brandon ",23
" Sinatra, Stephen T. ",23
"Gott, Robert ",23
"Law, Jerel ",23
"Kelly, Leslie ",22
"Culbertson, Melissa ",22
"Hofmekler, Ori ",22
"Myers, Walter Dean ",22
" Hetland, Beth (ILT)",22
"Latham, Donna ",22
" Furrow, James ",21
"Simms, Brendan ",21
"Bradley, Brent ",21
"Perillo, Jennifer ",21
"Little, Kimberley Griffiths ",21
Avi ,21
" Shelton, Tom ",20
" Morre, Derrick ",20
"Collins, Paul ",20
"Hunter, Susan C. ",20
"Sorensen, Virginia ",20
"Shlaes, Amity ",20
"Kaufman, Scott Barry ",20
" Brink, Carol Ryrie ",20
"Moore, Stephanie Perry ",20
"Cooper, John ",20
"Kerner, Ian ",19
"Rohm, Elisabeth ",19
"Wolf, Angela ",19
"Micklos, John, Jr. ",19
"Hopkins, Karen Ann ",19
" Adamson, Eve ",19
"Chesney, Marion ",19
"Hill, Susan ",19
"Kelly, Carla ",18
"Kerouac, Jack ",18
