,0
"Coben, Harlan ",3068
"Child, Lee ",2510
"Evanovich, Janet ",1619
" Reynolds, Peter H. (ILT)",961
"McDonald, Megan ",961
"Fisher, Carrie ",920
"Shalvis, Jill ",914
"Rhimes, Shonda ",895
"Flynn, Gillian ",891
"Peterson, Tracie ",882
" Burke, Alafair ",828
"Clark, Mary Higgins ",828
"Berry, Steve ",828
"Erdrich, Louise ",757
"Grisham, John ",754
"Martini, Steve ",560
" Brown, Graham ",524
"Cussler, Clive ",524
"White, Karen ",500
"Albom, Mitch ",451
"Litwin, Mike ",448
"White, Roseanna M. ",403
"Jemisin, N. K. ",375
"Brown, Rita Mae ",375
"Hesse, Monica ",364
Fodor's Travel Guides (COR),362
"Hamilton, Steve ",351
"Dare, Tessa ",344
"Hamilton, Alwyn ",319
" Woodhouse, Kimberley ",308
"Evans, Richard Paul ",308
"Hannon, Irene ",300
"Roth, Bernard ",292
"Cervantes, Angela ",291
"Seay, Martin ",287
"Klassen, Julie ",286
"Fielding, Joy ",285
"Schlitz, Laura Amy ",278
"Lewis, Beverly ",273
"Camden, Elizabeth ",263
"Philbrick, Nathaniel ",257
"Skye, Evelyn ",257
"Disclafani, Anton ",254
"Rivers, Karen ",233
"Hoover, Colleen ",226
"Kortemeier, Todd ",226
"McCall Smith, Alexander ",220
"Snelling, Lauraine ",212
"Sutherland, Tui ",211
"Wilson, Rainn ",210
"Mason, Susan Anne ",209
"Montefiore, Simon Sebag ",206
"Whaley, John Corey ",204
"Loigman, Lynda Cohen ",198
"Pettrey, Dani ",194
"O'Reilly, Bill ",190
" Dugard, Martin ",190
"Layne, Lauren ",187
"Watson, Larry ",184
"Dashner, James ",179
" Krosoczka, Jarrett J. (ILT)",173
"Krosoczka, Jarrett J. ",173
"Hyatt, Michael ",172
" Harkavy, Daniel ",172
"Cadnum, Michael ",166
"Turano, Jen ",165
"Hastings, Max ",163
"Hauck, Rachel ",159
"Baratz-Logsted, Lauren ",157
"Brockmole, Jessica ",153
"McCreight, Kimberly ",150
"Novik, Naomi ",149
"Voss, Christopher ",148
"Constantine, Robin ",146
"Smith, Lee ",142
"Faiola, Anne-Marie ",141
"Romesha, Clinton ",136
"Jackson, Laura Lynne ",135
" Chambers, Veronica ",134
" Tate, Tim ",133
"Von Oelhafen, Ingrid ",133
"Strahan, Michael ",130
"Church, Elizabeth J. ",129
"McCallum, David ",128
"Ryder, Dawn ",126
"Kogge, Michael ",125
"Parker, Mary -louise ",125
"Ashenden, Jackie ",125
"Gray, Shelley ",123
"Graham, Winston ",123
"Mallory, Ashlee ",118
"Brendan, Maggie ",116
"White, Beth ",114
"Strutzel, Dan ",113
"Grey, Amelia ",112
"Konen, Leah ",112
"Cerasi, Chris ",111
"Carroll, Sean ",111
"Hedlund, Jody ",111
"Strohmeyer, Sarah ",108
"Ashford, Jane ",107
"Byrne, Kerrigan ",105
"Parker, T. Jefferson ",105
" Dietz, Christie ",103
"Allen, Dan ",103
"X., Malcolm ",102
"Adams, Ellery ",101
"Kenyon, Sherrilyn ",101
"Fodor's Travel Publications, Inc. (COR)",100
"Baxter, Mandy ",99
"Maxwell, Cathy ",97
"Fisher, Helen ",97
"Cornell, Paul ",97
"Kay, Guy Gavriel ",96
"Abramovich, Alex ",96
"Vincent, Isabel ",94
"Jennings, Regina ",91
"Farrey, Brian ",89
"Monnig, Alex ",89
"Kate, Lauren ",87
"Ballance, Sarah ",87
"O'Shaughnessy, Tam ",87
"Chopra, Deepak ",86
"Klaussmann, Liza ",85
"Porter, Max ",85
"Adair, Marina ",85
"Evison, Jonathan ",83
"Noel, Alyson ",82
"Berland, Mike ",82
" Tapscott, Alex ",81
"Schulman, Michael ",81
"Meacham, Jon ",81
"Tapscott, Don ",81
"Bailey, Tessa ",80
"Martel, Yann ",80
"Frew, Peggy ",79
"Baldacci, David ",79
"Barbieri, Maggie ",78
"Clare, Cassandra ",78
" Wasserman, Robin ",78
"Lotz, Sarah ",78
"Baker, Jo ",78
"Wohlsdorf, Gina ",77
" Winokur, Jon ",76
"McMorris, Kristina ",76
"Alexander, Johnnie ",76
"Reynolds, Burt ",76
" Halm, Brad ",76
"McCrate, Colin ",76
"Martin, Madeline ",75
"Martin, Laura ",74
"Strecher, Victor J. ",73
"Archer, Dale ",73
"Bradley, Patricia ",73
"Mead, Richelle ",72
"Smith, Jill Eileen ",71
"Portes, Andrea ",71
"Walsh, Joanne ",70
"Fitzpatrick, Becca ",70
"Bainbridge, David A. ",70
"Ellison, J. T. ",69
"Smith, Lauren ",68
"Baker, E. D. ",67
"Temple, John ",67
"Newmark, Amy ",65
"Andrew, Sally ",65
"Jester, John ",63
"Gilbert, Elizabeth ",63
"Barclay, Linwood ",63
"De Gramont, Nina ",62
"Buckley, Gail Lumet ",62
"Morgan, Robert ",62
"Duncan, Elizabeth J. ",61
"Neilson, Kelsey ",61
"Wayman, Tom ",61
"Parr, Delia ",61
"Jonasson, Jonas ",60
" Willson-Broyles, Rachel ",60
"Brackston, Paula ",59
"Adams, Marilee G. ",58
"Purmort, Nora McInerny ",58
"Roux, Madeleine ",58
"Carr, Viola ",58
" Goldsmith, Marshall (FRW)",58
"McBride, Susan ",58
" Katz, Sandor Ellix (FRW)",57
" Besl, Joey ",57
"Redmond, Lea ",57
"Ballas, Teeka ",57
" Lagory, Alex ",57
"Goldstone, Nancy ",57
"Crum, Hannah ",57
"Eason, Lynette ",56
"Greene, Melissa Fay ",55
"Conley, Garrard ",55
"Haddon, Mark ",55
"Gordon, Jon ",55
"Fiore, Neil ",55
"Garrels, Anne ",54
"Lieberman, David J. ",54
"Scott, Melanie ",54
"Abbott, Tony ",53
"Hunt, Angela Elwell ",53
"McGarrity, Michael ",53
"Greenidge, Kaitlyn ",53
"Mabry, Samantha ",52
"Foroohar, Rana ",52
"Sweeney, Cynthia D'Aprix ",52
"Smith, Laura Harris ",52
"Paige, Danielle ",51
"Gilstrap, John ",51
"Furtick, Steven ",51
" Latsch, Oliver (TRN)",50
" Hannaway, Dorian ",50
"Pope, Kristen ",50
"Huber, Anna Lee ",50
"Funke, Cornelia Caroline ",50
"Reynolds, Debbie ",50
"Blake, Toni ",50
"Eat This, Not That (COR)",49
"Johnson, Susan ",49
"Zabo, Anna ",49
"Fowlkes, Frances ",48
" McPhee, Stephen J. ",48
" Rabow, Michael W. ",48
"Bond, Michael ",48
" Hockensmith, Steve ",48
"Papadakis, Maxine A. ",48
" Fortnum, Peggy (ILT)",48
"Pflugfelder, Bob ",48
" Burke-charvet, Brooke ",47
"McNally, Dennis ",47
"Trentmann, Frank ",47
"Segar, Michelle, Ph.D. ",47
"Asher, Bridget ",46
"Kelly, Cathy ",46
"Nutt, Amy Ellis ",46
"Bailey, Rachel ",46
"Barry, Dan ",45
"Garcia, Mia ",45
"Williams, Kate ",45
" Bagshawe, Tilly ",45
"Sheldon, Sidney ",45
"Hoffmeister, Peter Brown ",44
"Howland, Leila ",44
"Staub, Wendy Corsi ",44
"Woods, Darcy ",43
"Adrian, Lara ",43
"Wrede, Patricia C. ",43
"Burrowes, Grace ",42
"Ford, Jeanne Marie ",42
"Ma, William ",42
" Peete, Ryan Elizabeth ",42
"Dickey, Bronwen ",42
" Peete, R. J. ",42
"Anner, Zach ",42
"Phillips, Michael ",42
"Peete, Holly Robinson ",42
"Kaplan, Matt ",41
"Mitchell, Syne ",41
"Halle, Karina ",41
"Rantissi, Michael ",41
" Frawley, Kristy ",41
"Thayne, RaeAnne ",40
"Elliott, L. M. ",40
"Louv, Richard ",40
"Friedman, Matti ",39
"Thompson, Victoria ",39
" Adamson, Heather ",39
"Dubecki, Larissa ",39
"Laurence, Andrea ",39
" Jessell, Tim (ILT)",39
"Adamson, Thomas K. ",39
Lonely Planet Publications ,38
"Rove, Karl ",38
"Kelly, Erika ",38
"Tourles, Stephanie L. ",38
"Friend, Natasha ",38
"Rice, Anne ",38
"Fenster, Julie M. ",37
"Hiebert, Michael ",37
Disney Book Group (COR),37
"Brandus, Paul ",36
"Bova, Ben ",36
"Deering, Julianna ",36
"Reus, Katie ",36
"Roesler, Jill ",36
"Moggach, Deborah ",36
"Meier, Susan ",35
"Flynn, Alex ",35
" Henn, Sophy ",35
"Henn, Sophy (ILT)",35
"Kennedy, Elle ",35
" McLachlan, Craig ",35
"Holmes, Lauren ",35
" Huang, Sonia (CON)",34
"Bone, James ",34
" Gomez, Max (FRW)",34
" Gelb, Philip (CON)",34
"Martin, Nancy ",34
"Chesnut, Mark ",34
"Dorling Kindersley, Inc. (COR)",34
"Eicher, Jerry S. ",34
" McGee, Laurelin ",34
" Mcgee, Kayti ",34
"Paige, Laurelin ",34
"Burke, Jason ",34
"Tracy, Brian ",34
"Schmatz, Pat ",34
" Dudenhoefer, David ",34
"Zwonitzer, Mark ",34
"Koufman, Jamie ",34
"Mar, Alex ",34
"Levy, Dana Alison ",34
"Johnstone, William W. ",33
"Vanderbilt, Tom ",33
"Turner, Nikki ",33
"Hamilton, Duncan ",33
"Gardner, Mark Lee ",32
"Egan, Sophie ",32
"Leaf, Caroline ",32
"Cabot, Amanda ",32
"Hepola, Sarah ",32
"Tosches, Nick ",32
"Ventura, Marne ",31
"Mcqueen, Hannah ",31
"Brin, David (EDT)",31
"Hemstreet, Patrick ",31
" Stover, Matthew Woodring (EDT)",31
"Condon, Matthew ",31
"Rowe, Lauren ",31
"Butcher, Shannon K. ",30
"Connealy, Mary ",30
"Warren, Christine ",30
"Faderman, Lillian ",30
"Mehl, Nancy ",30
"McVoy, Terra Elan ",30
"Derting, Kimberly ",30
"Cremer, Andrea ",30
"Schmitz, Rob ",30
"Schepper, Anna ",29
"Wood, Karen ",29
"Maurer, Tim ",29
"Drummond, Ree ",29
"Ondra, Nancy J. ",29
"Morrissey, Di ",29
"Moore, Wes ",29
"Brown, Judy ",29
"Hewson, David ",29
" Karlin, Adam ",29
"Boecker, Virginia ",29
" Balfour, Amy C. ",29
" Benson, Sara ",29
" Goodman, Shawn ",29
" Schepper, Lene ",29
" Cardillo, Rob (PHT)",29
"Corey, James S. A. ",29
"Harding, Thomas ",29
"Atkinson, Jay ",28
"Young, Suzanne ",28
"Kirby, Matthew J. ",28
"Lee, Jade ",28
"Passarlay, Gulwali ",27
"Roberts, Nora ",27
"Stevens, Christopher ",27
"Brown, Tracy ",27
"Adamson, Heather ",26
"Murphy, Daniel P. ",26
" Paley, Rebecca ",26
"Bielman, Robin ",26
"Cuddy, Robbin ",26
"Grecian, Alex ",26
"Bones, Bobby ",26
"Bryan, Daniel ",25
"Greenaway, R. M. ",25
"Druchunas, Donna ",25
"Riccoboni, Adam ",25
"Astle, David ",25
"Michell, Tom ",25
"Ackland, Jenny ",25
"Brotherton, Rob ",25
"Viskic, Emma ",25
"Wiseman, Ellen Marie ",25
" Tello, Craig ",25
"Marx, Patricia ",25
" Callaghan, Daniel ",25
"Angell, Roger ",25
" Langley, Richard H. ",24
"Kalen, Cat ",24
"Adams, Jane A. ",24
"Willman, Marianne ",24
"Frank, Christy ",24
"Bailey, Christine ",24
"Luiselli, Valeria ",24
"Malone, Lily ",24
"Gucci, Patricia ",24
"Labud, Pamela ",24
"Moore, John T. ",24
"Lyndhurst, Rachel ",23
"Maynard, Janice ",23
"Kline, Suzy ",23
"Schmetterer, Jerry ",23
" Vecchione, Michael ",23
"Simonson, Helen ",23
" Wummer, Amy (ILT)",23
"Lloyd, David W. ",23
"Dodge, Eric R., Ph.D. ",23
"Long, Susan Hill ",23
"Bartsch, Jeffrey ",23
"Hunt, Mary ",23
"Tagg, Melissa ",23
"West, Melissa ",22
"Witwer, Michael ",22
"Edwards, Yvvette ",22
"Dunlap, Susan ",22
"Bailer, Darice ",22
" Spooner, Andrew ",22
" Stahl, Miriam Klein (ILT)",22
"Schatz, Kate ",22
"Mckenney, Sally ",22
"Birch, Tony ",22
"Sato, Eriko ",22
"Brady, Conor ",22
"Smith, Carrie ",22
"Grant, Stan ",22
"Dalton, Annie ",21
"Leslie, Clare Walker ",21
" Denosky, Kathie ",21
"Palmer, Alex ",21
"Hill, Napoleon ",21
"Jackson, Brenda ",21
"Stokes, Paula ",21
" Grady, Robyn ",21
"West, Kasie ",21
"Foley, Lucy ",21
"Caravantes, Peggy ",20
" McCullough, Peter (PHT)",20
