,0
"Robins, Eleanor ",5683
Saddleback Educational Publishing (EDT),5048
"Dickens, Charles ",3954
Saddleback Educational Publishing (COR),3654
" Gott, Barry (ILT)",2706
"Knudsen, Michelle ",2691
"Kuskowski, Alex ",1723
"Robbins, Trina ",1684
" Page, Tyler (ILT)",1683
"Schraff, Anne E. ",1632
"Friedman, Laurie B. ",1268
"Lorimer, Janet ",1167
"Hutchinson, Emily ",1123
"Carlson, Nancy L. ",1049
" Kalis, Jennifer (ILT)",772
"Szpirglas, Jeff ",728
" Saint-onge, Danielle ",728
"Forward, Toby ",684
" Carlson, Nancy L. (ILT)",544
"Roth, Veronica ",474
"Hengel, Katherine ",460
"Cowell, Cressida ",399
"Schorr, Loretta ",359
"Michelle, Sara ",359
"McMahon, Jennifer ",359
"Peterson, Tracie ",347
"Heos, Bridget ",314
" Pollak, Barbara (ILT)",311
"Elliott, Rob ",302
"Hutt, Sarah ",300
"Kellerman, Jonathan ",287
"Suter, Joanne ",285
"Henderson, Dee ",280
" Reynolds, Adrian (ILT)",279
"Willis, Jeanne ",279
"Arnold, Caroline ",250
"Hannon, Irene ",242
" Monroe, Chris (ILT)",229
"Monroe, Chris ",229
"Kaplan, Arie ",221
"Kabat-Zinn, Jon ",221
"Pettrey, Dani ",220
" Gable, Brian (ILT)",205
" Moran, Mike (ILT)",203
"Greene, Ross W., Ph.D. ",193
"Snelling, Lauraine ",186
"Felix, Rebecca ",184
"Oke, Janette ",179
" Logan, Laurel Oke ",179
"Crais, Robert ",177
"Wright, Kristina (EDT)",170
"Jones, Patrick ",170
"Witemeyer, Karen ",166
"Lippman, Laura ",153
"Derubertis, Barbara ",153
"Beauman, Sally ",152
"Camden, Elizabeth ",150
"DiCamillo, Kate ",147
" Swain, Holly (ILT)",144
"Singleton, Debbie ",144
" Kulka, Joe (ILT)",144
"Kulka, Joe ",144
"Force, Marie ",142
"Cass, Kiera ",137
"Corrigan, Kelly ",133
"Linnihan, Ellen ",133
"Tingle, Tim ",132
"Lahey, Jessica ",130
"Armstrong, Cathleen ",128
"Bacskai, Andrew ",128
"Hergel, Katherine ",127
