,0
"Moriarty, Liane ",6221
"Sparks, Nicholas ",1833
"Cline, Emma ",1651
" Reynolds, Peter H. (ILT)",1590
"McDonald, Megan ",1582
"Howard, Linda ",1271
"Remini, Leah ",1233
"Chabon, Michael ",1228
"Frank, Dorothea Benton ",1145
"Thayer, Nancy ",868
"Roberts, Nora ",768
"Pastis, Stephan ",750
"Tyler, Anne ",720
"Weeks, Sarah ",671
" Varadarajan, Gita ",671
"Greaney, Mark ",649
"Alam, Rumaan ",624
" Pastis, Stephan (ILT)",612
"McMillan, Terry ",566
"Cronin, Justin ",550
"Hoyt, Elizabeth ",547
"Macmillan, Gilly ",538
"Foster, Alan Dean ",519
"Smith, Dominic ",484
"Ahern, Cecelia ",398
"Johansen, Erika ",389
"Finder, Joseph ",388
"Wendig, Chuck ",333
" Griffiths, Tom ",318
"Christian, Brian ",318
"Leon, Donna ",317
"Hand, Cynthia ",305
" Meadows, Jodi ",305
" Ashton, Brodi ",305
"Harper, Karen ",295
"Noble, Shelley ",289
"Millar, Margaret ",288
"Mlynowski, Sarah ",280
"Trump, Donald ",276
Random House (COR),276
"Korman, Gordon ",275
" Myracle, Lauren ",259
"Jenkins, Emily ",259
" Mlynowski, Sarah ",259
"Mcguire, Ian ",251
"Burrowes, Grace ",221
"Becker, Joshua ",220
"Brooks, Terry ",217
"Gudenkauf, Heather ",209
"Brennan, Allison ",208
"Livingstone, Natalie ",208
"Mortimer, Carole ",201
"March, Emily ",192
"Banks, Maya ",192
"Tremblay, Paul ",182
"Wood, Charlotte ",181
" Thompson, Keith (ILT)",180
"Skye, Obert ",180
"Cahoon, Lynn ",178
"McNear, Mary ",178
"Macomber, Debbie ",175
"Hogan, Mary ",172
"Kennedy, Elle ",171
"Penny, Louise ",169
"Klosterman, Chuck ",169
"DuLong, Terri ",166
"Bryson, Bill ",166
"Mallery, Susan ",164
"Scott, Kylie ",162
"Anderson, M. T. ",160
" Witter, Bret ",160
"McFate, Sean ",160
"Carlisle, Kate ",158
"Colin, Beatrice ",157
"Hunter, Erin ",155
" Kubinyi, Laszlo (ILT)",155
"Stratford, Sarah-Jane ",146
"Strasser, Todd ",146
"Jackson, Brenda ",138
"Gephart, Donna ",138
"Perkins, Stephanie ",138
 Hansen Literary Agency ,138
"Deutsch, Barry ",138
"Ehrlin, Carl-Johan Forssén ",137
"Johnson, Varian ",135
"Valenti, Jessica ",132
"Hoover, Colleen ",130
"Mcginnis, Maggie ",130
"Pratchett, Terry ",126
"Quinn, Spencer ",126
